################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   9.2090959199263167E-01   2.1882514955589294E-01   4.5828366898878974E-02
         1          2   0.0000000000000000E+00   3.2047721737822260E-01   4.0143692115733251E-02   9.5162040139988423E-03
         1          3   0.0000000000000000E+00   4.4401810087304766E-01   2.8495270861559269E-01   5.9443425132026231E-02
         1          4   0.0000000000000000E+00   3.9588723455232350E-01   2.2941066615176489E-02   6.0876563677527418E-02
         1          5   0.0000000000000000E+00   2.3271123124088930E-01   1.9687306765991075E-01   4.1166800419760848E-02
         1          6   0.0000000000000000E+00   2.2492944523532679E-01   1.2775868371835621E-02   3.3290866070568567E-02
         1          7   0.0000000000000000E+00   3.9091484864020685E+00   1.4343130252499201E+00   2.4549877304860349E-01
         1          8   0.0000000000000000E+00   2.2746590889279972E+00   1.1991514521643447E-01   3.1624759886290327E-01
         1          9   0.0000000000000000E+00   9.7655335092448023E+00   3.8546957823831058E+00   6.1879393533903049E-01
         1         10   0.0000000000000000E+00   2.1935565647603128E+00   9.0329457463884899E-01   1.3931894335755865E-01
         1         11   0.0000000000000000E+00   1.3417828985776314E+00   6.6746098131158532E-02   1.7384873740751411E-01
         1         12   0.0000000000000000E+00   4.1348168499336531E+00   1.7980853852914001E+00   2.9638099425016340E-01
         1         13   0.0000000000000000E+00   2.5727598244927128E+00   1.3195799473635167E-01   3.4192623131773808E-01
         1         14   0.0000000000000000E+00   5.8691357610322967E+00   2.2359253844271989E+00   3.0998848874554386E-01
         1         15   0.0000000000000000E+00   3.4206431818762484E+00   1.6027814577237118E-01   4.2143211625766236E-01
         1         16   0.0000000000000000E+00   1.9438183691750769E+01   7.8675840306778904E+00   1.2299943198746701E+00
         1         17   0.0000000000000000E+00   1.1848257510797865E+01   5.9917952808709274E-01   1.5557523000551654E+00
         1         18   0.0000000000000000E+00   1.3485734028761600E+01   5.3938581358866458E+00   8.5373917372533958E-01
         1         19   0.0000000000000000E+00   8.1732623251287997E+00   4.1607511450148149E-01   1.0820536760604864E+00
