################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1181814981034872E+01 a         1     0     1     1     1
  8.1425725729509999E+00 a         2     0     1     1     2
  1.1027947997896323E+01 a         3     0     1     1     3
  6.9797774341463938E+00 a         4     0     1     1     4
  1.3295813848576518E+01 a         5     0     1     1     5
  1.3659450974681205E+01 a         6     0     1     1     6
  9.4178903283089959E+00 a         7     0     1     1     7
  9.7680523970468247E-01 a         8     0     1     1     8
  3.4619218789284019E+00 a         9     0     1     1     9
 -1.0089083687640388E+01 a        10     0     1     1    10
  8.7394013761873826E+00 a        11     0     1     1    11
  6.1406165640246773E+00 a        12     0     1     1    12
  1.0600211963647846E+01 a        13     0     1     1    13
  4.3167374312819833E+00 a        14     0     1     1    14
 -5.5610765835106681E+00 a        15     0     1     1    15
 -9.2656270720628680E+00 a        16     0     1     1    16
 -1.0656068215386977E+01 a        17     0     1     1    17
 -5.3951906866598975E-01 a        18     0     1     1    18
 -1.5152134374268062E+01 a        19     0     1     1    19
 -6.3694200046015430E+00 a        20     0     1     1    20
 -1.0335880050096286E+01 a        21     0     1     1    21
 -1.2196374325161031E+01 a        22     0     1     1    22
  2.6874827262034810E+01 a        23     0     1     1    23
  1.8145424432106927E-01 a        24     0     1     1    24
 -7.1243581245817857E+00 a        25     0     2     1     1
 -4.1318070288066373E+00 a        26     0     2     1     2
 -3.6881840679615352E+00 a        27     0     2     1     3
 -2.4039840589113162E+00 a        28     0     2     1     4
 -2.8079545534427099E+00 a        29     0     2     1     5
 -3.7248582493456381E+00 a        30     0     2     1     6
 -1.7398990798920864E+00 a        31     0     2     1     7
 -5.2640074364028377E-01 a        32     0     2     1     8
 -1.1903508549579005E+00 a        33     0     2     1     9
  5.9564543621029147E+00 a        34     0     2     1    10
 -5.5557597888249335E+00 a        35     0     2     1    11
 -2.2651061548341693E+00 a        36     0     2     1    12
  1.9825641026858103E+00 a        37     0     2     1    13
 -2.0700006988973274E+00 a        38     0     2     1    14
  3.0313447032442338E+00 a        39     0     2     1    15
 -1.7776311514921004E+00 a        40     0     2     1    16
  6.5963577096540797E+00 a        41     0     2     1    17
  5.0058210861995867E-01 a        42     0     2     1    18
  5.9102975789894154E+00 a        43     0     2     1    19
  2.4325221928735443E+00 a        44     0     2     1    20
 -2.0074158415056669E+00 a        45     0     2     1    21
  4.6796920197687699E+00 a        46     0     2     1    22
 -8.0561326113607521E+00 a        47     0     2     1    23
 -1.8732820204912943E+00 a        48     0     2     1    24
 -2.1420336585484847E+00 a        49     0     3     1     1
 -2.5848606679186453E-01 a        50     0     3     1     2
 -7.8001462286770606E-01 a        51     0     3     1     3
  5.8805869841225267E-01 a        52     0     3     1     4
  3.4753290160125844E-01 a        53     0     3     1     5
 -1.4180781627718229E+00 a        54     0     3     1     6
  1.1827273827093681E+00 a        55     0     3     1     7
 -1.9994611202259882E+00 a        56     0     3     1     8
 -1.4861236888531839E+00 a        57     0     3     1     9
  2.1767098979030455E+00 a        58     0     3     1    10
 -1.6046695208263551E+00 a        59     0     3     1    11
 -6.8162663223377407E-01 a        60     0     3     1    12
  5.9909775201086457E-01 a        61     0     3     1    13
 -1.0722804989005796E+00 a        62     0     3     1    14
  5.3634272471737932E-01 a        63     0     3     1    15
 -4.3937382379531403E-01 a        64     0     3     1    16
  9.6729023056453922E-01 a        65     0     3     1    17
 -6.2967868027609419E-01 a        66     0     3     1    18
  2.3065615707252607E+00 a        67     0     3     1    19
  2.4024263731938946E+00 a        68     0     3     1    20
 -5.0655402630298951E-01 a        69     0     3     1    21
  1.4261921313077115E+00 a        70     0     3     1    22
 -1.7495858523491650E+00 a        71     0     3     1    23
 -3.2910214469311359E+00 a        72     0     3     1    24
 -2.4144939192164463E+00 a        73     0     4     1     1
 -1.5638704256957325E+00 a        74     0     4     1     2
 -1.4787904440783164E+00 a        75     0     4     1     3
 -1.7282715386853995E+00 a        76     0     4     1     4
  5.3436514160752280E-01 a        77     0     4     1     5
 -5.1899163621203286E+00 a        78     0     4     1     6
 -1.6881635381219322E+00 a        79     0     4     1     7
 -7.2217961042453960E-01 a        80     0     4     1     8
  4.8324331201584121E+00 a        81     0     4     1     9
  2.5376630731445382E+00 a        82     0     4     1    10
  2.0966354471789561E-01 a        83     0     4     1    11
 -2.2129361247390320E+00 a        84     0     4     1    12
 -2.2586147337667356E-01 a        85     0     4     1    13
 -4.3341268810991362E+00 a        86     0     4     1    14
  4.3968747264102254E-01 a        87     0     4     1    15
  4.9478339920635883E-01 a        88     0     4     1    16
  4.1263618086996889E-01 a        89     0     4     1    17
  3.0004871926483871E+00 a        90     0     4     1    18
 -1.2317880260360163E+00 a        91     0     4     1    19
  6.8680425047807026E-01 a        92     0     4     1    20
  2.6974260945442335E-01 a        93     0     4     1    21
 -3.8417306688068292E-01 a        94     0     4     1    22
  7.7788574218397211E-01 a        95     0     4     1    23
 -8.4642415740528210E-01 a        96     0     4     1    24
  1.7383620021284278E+00 a        97     0     5     1     1
  8.4379478931529595E-01 a        98     0     5     1     2
  5.1794598557508964E-01 a        99     0     5     1     3
  8.1864469935937401E-01 a       100     0     5     1     4
  7.3074389546188934E-01 a       101     0     5     1     5
  3.7929917529517959E-01 a       102     0     5     1     6
 -3.8271857551977378E-01 a       103     0     5     1     7
  2.8852117524894916E-01 a       104     0     5     1     8
  6.4973058380204185E-01 a       105     0     5     1     9
 -3.1692458521941331E+00 a       106     0     5     1    10
  1.1422016334426688E+00 a       107     0     5     1    11
 -2.3919655390826991E-01 a       108     0     5     1    12
 -1.1314648405925156E+00 a       109     0     5     1    13
 -6.8312272137661845E-01 a       110     0     5     1    14
 -1.0003244033226566E+00 a       111     0     5     1    15
  6.4805828937636423E-01 a       112     0     5     1    16
 -2.4561518475931208E+00 a       113     0     5     1    17
 -4.3299636751977733E-01 a       114     0     5     1    18
 -1.5475969373647913E+00 a       115     0     5     1    19
  2.6301487991196032E-01 a       116     0     5     1    20
 -8.1142363314563615E-01 a       117     0     5     1    21
 -1.2971720562644005E+00 a       118     0     5     1    22
  1.6673890295733020E+00 a       119     0     5     1    23
 -5.3816883687885519E-01 a       120     0     5     1    24
  1.0524848170163337E+00 a       121     0     6     1     1
  1.7493448236376474E+00 a       122     0     6     1     2
  3.4382931336488759E-01 a       123     0     6     1     3
  9.5238245319717652E-01 a       124     0     6     1     4
  3.1153981219222304E-01 a       125     0     6     1     5
  2.5192452909670839E+00 a       126     0     6     1     6
  2.2070149893801561E-01 a       127     0     6     1     7
 -5.3230580298276268E-03 a       128     0     6     1     8
 -1.7607406923726614E+00 a       129     0     6     1     9
 -1.8807969194832166E+00 a       130     0     6     1    10
  4.4774027942566813E-01 a       131     0     6     1    11
 -4.7189576838454489E-01 a       132     0     6     1    12
 -9.4972635606703826E-01 a       133     0     6     1    13
  1.4191721751045485E+00 a       134     0     6     1    14
 -9.5936087356983224E-01 a       135     0     6     1    15
 -1.3520922234656693E-01 a       136     0     6     1    16
 -1.0853613147077938E+00 a       137     0     6     1    17
 -1.5343389440382289E+00 a       138     0     6     1    18
 -3.5988691944720619E-01 a       139     0     6     1    19
 -8.3374996489061026E-01 a       140     0     6     1    20
 -7.2640637149381559E-01 a       141     0     6     1    21
 -3.5490090069318520E-01 a       142     0     6     1    22
  4.6579591905032108E-01 a       143     0     6     1    23
 -2.3228370684732449E-01 a       144     0     6     1    24
 -3.2841826007099018E+00 a       145     0     7     1     1
  1.6068248346987247E+01 a       146     0     7     1     2
 -3.3398145098537988E+01 a       147     0     7     1     3
 -9.8145535589979822E+00 a       148     0     7     1     4
 -1.9933485990691096E+01 a       149     0     7     1     5
 -4.5424366552604866E+01 a       150     0     7     1     6
 -1.9776134624374549E+01 a       151     0     7     1     7
 -2.3141726503272597E+01 a       152     0     7     1     8
 -2.0425996407789757E+01 a       153     0     7     1     9
  1.2896325305898165E+01 a       154     0     7     1    10
