################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   5.4414663632939020E-01   2.1869373682101298E-01   4.5193889931336273E-02
         1          2   0.0000000000000000E+00   2.6209722337312669E-01   4.0110163680394322E-02   9.0608028508014672E-03
         1          3   0.0000000000000000E+00   3.8763105535747278E-01   2.8481223422529917E-01   5.9499095091703862E-02
         1          4   0.0000000000000000E+00   3.9588723455232350E-01   2.3050670704282381E-02   6.1038336334718300E-02
         1          5   0.0000000000000000E+00   2.3271123124088930E-01   1.9674021601310607E-01   4.1301083186230610E-02
         1          6   0.0000000000000000E+00   2.2492944523532679E-01   1.2850192710118179E-02   3.3395150385969449E-02
         1          7   0.0000000000000000E+00   2.1967093197738148E+00   1.4334826292399627E+00   2.4435347859729145E-01
         1          8   0.0000000000000000E+00   2.2746590889279972E+00   1.2031735911640172E-01   3.1644158807249656E-01
         1          9   0.0000000000000000E+00   5.6379893840025259E+00   3.8523287810953919E+00   6.1632898343972942E-01
         1         10   0.0000000000000000E+00   1.2948295472136868E+00   9.0265199122951889E-01   1.3895193419444704E-01
         1         11   0.0000000000000000E+00   1.3417828985776314E+00   6.7176828185251045E-02   1.7412143312200459E-01
         1         12   0.0000000000000000E+00   2.4788026748550154E+00   1.7966572294880438E+00   2.9616268133114937E-01
         1         13   0.0000000000000000E+00   2.5727598244927128E+00   1.3302777826142290E-01   3.4279987004563367E-01
         1         14   0.0000000000000000E+00   3.2755674224044569E+00   2.2347925189947673E+00   3.0791357379564627E-01
         1         15   0.0000000000000000E+00   3.4206431818762484E+00   1.6075058575136159E-01   4.2118334298784327E-01
         1         16   0.0000000000000000E+00   1.1231895622640767E+01   7.8625795897750548E+00   1.2254624969570393E+00
         1         17   0.0000000000000000E+00   1.1848257510797865E+01   6.0237297445566518E-01   1.5570705222749037E+00
         1         18   0.0000000000000000E+00   7.7871468337985332E+00   5.3904808622941580E+00   8.5046033568667978E-01
         1         19   0.0000000000000000E+00   8.1732623251287997E+00   4.1815624788417149E-01   1.0828498732056404E+00
