################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2070319608128557E+01 a         1     0     1     1     1
  6.8870295146270877E-01 a         2     0     1     1     2
  3.5250510637005776E+00 a         3     0     1     1     3
 -7.1933838424422465E+00 a         4     0     1     1     4
  4.0264329875944915E-02 a         5     0     1     1     5
 -9.6840945939240566E+00 a         6     0     1     1     6
 -2.1089781073431126E+00 a         7     0     1     1     7
  4.1034903490983181E+00 a         8     0     1     1     8
 -2.9082766686609616E+00 a         9     0     1     1     9
 -6.8565813886363616E+00 a        10     0     1     1    10
  8.8774767668530563E-01 a        11     0     1     1    11
  1.5749857175141615E+00 a        12     0     1     1    12
 -6.2470982909297970E+00 a        13     0     1     1    13
 -1.0044715652929979E+00 a        14     0     1     1    14
  1.4264394529195729E-01 a        15     0     1     1    15
  7.7602809746289978E+00 a        16     0     1     1    16
  9.2651657077505991E+00 a        17     0     1     1    17
  4.2684433545464923E-01 a        18     0     1     1    18
 -6.9978562575661813E+00 a        19     0     1     1    19
  2.0827073634848330E+00 a        20     0     1     1    20
 -4.9525442047232877E+00 a        21     0     1     1    21
  5.7942072829673696E+00 a        22     0     1     1    22
 -1.4378255923593357E+00 a        23     0     1     1    23
 -3.7515456565666438E+00 a        24     0     1     1    24
 -7.5007182546600915E-01 a        25     0     2     1     1
  3.6490545126873736E-01 a        26     0     2     1     2
  1.3713678993209524E+00 a        27     0     2     1     3
  3.5193621784469027E+00 a        28     0     2     1     4
 -2.5023164902687339E-01 a        29     0     2     1     5
  4.7970352904580817E+00 a        30     0     2     1     6
  9.8467714186980038E-01 a        31     0     2     1     7
 -3.6453207182392444E+00 a        32     0     2     1     8
  1.5872120671020566E+00 a        33     0     2     1     9
  2.0180659103169578E+00 a        34     0     2     1    10
 -1.8206657379599683E-01 a        35     0     2     1    11
  4.1750409248897107E+00 a        36     0     2     1    12
 -5.6402869878239381E-01 a        37     0     2     1    13
  1.6805689122950432E-01 a        38     0     2     1    14
  1.7611853429352875E+00 a        39     0     2     1    15
 -4.2867973206132665E-01 a        40     0     2     1    16
 -3.5721430846217044E+00 a        41     0     2     1    17
 -1.8345962130507168E-01 a        42     0     2     1    18
  3.1921598572880030E+00 a        43     0     2     1    19
 -1.2099469479465776E+00 a        44     0     2     1    20
 -2.6365825388257663E-01 a        45     0     2     1    21
 -2.6819232727564479E+00 a        46     0     2     1    22
  1.5195949422557742E-01 a        47     0     2     1    23
  6.9579430711680788E+00 a        48     0     2     1    24
  9.8877861317643323E-01 a        49     0     3     1     1
 -8.7852214776153803E-01 a        50     0     3     1     2
  6.8464418958714424E-01 a        51     0     3     1     3
 -6.8604061161464713E-01 a        52     0     3     1     4
 -1.0990352391676721E+00 a        53     0     3     1     5
  2.2839993176560718E+00 a        54     0     3     1     6
  4.6697243488931872E-01 a        55     0     3     1     7
 -3.9270193045157593E+00 a        56     0     3     1     8
  8.5992360776153776E-01 a        57     0     3     1     9
  4.4143075051118336E-01 a        58     0     3     1    10
  1.2773930609887166E-01 a        59     0     3     1    11
  1.1113889038620162E+00 a        60     0     3     1    12
 -9.7889673049850812E-01 a        61     0     3     1    13
  1.7673445765119150E-01 a        62     0     3     1    14
  1.5478358076094481E+00 a        63     0     3     1    15
  2.8215413311641117E-02 a        64     0     3     1    16
 -2.6533061894604204E+00 a        65     0     3     1    17
  6.0651155240960757E-02 a        66     0     3     1    18
  1.8638415943626212E+00 a        67     0     3     1    19
  4.7120189605351123E-02 a        68     0     3     1    20
 -1.1434532738194056E+00 a        69     0     3     1    21
  1.7527755170047105E-01 a        70     0     3     1    22
  7.5927375013308385E-01 a        71     0     3     1    23
  1.5173662537691368E+00 a        72     0     3     1    24
 -1.0373986515177775E+00 a        73     0     4     1     1
  1.4428936840313187E+00 a        74     0     4     1     2
  4.2188748733702068E+00 a        75     0     4     1     3
 -2.8474103419518229E+00 a        76     0     4     1     4
  5.1735087612198680E-02 a        77     0     4     1     5
  3.5631577003829251E-01 a        78     0     4     1     6
 -1.6964924240284318E+00 a        79     0     4     1     7
 -2.5534544247592099E+00 a        80     0     4     1     8
  1.7049332856356698E+00 a        81     0     4     1     9
  2.2871939987362429E+00 a        82     0     4     1    10
 -1.4056272745182650E+00 a        83     0     4     1    11
 -2.8736275789601007E+00 a        84     0     4     1    12
 -2.4045502237855283E+00 a        85     0     4     1    13
  8.8966771584795035E-01 a        86     0     4     1    14
  1.0823879037643551E+00 a        87     0     4     1    15
 -7.7219952893415333E-01 a        88     0     4     1    16
  1.0101211861084553E-02 a        89     0     4     1    17
  2.1419088616801072E+00 a        90     0     4     1    18
  2.1076920782956657E-01 a        91     0     4     1    19
 -9.6760258294768930E-01 a        92     0     4     1    20
  8.5316759911354811E-01 a        93     0     4     1    21
 -4.1192393429483670E-01 a        94     0     4     1    22
  2.0757236558143308E+00 a        95     0     4     1    23
 -1.9119136584067362E+00 a        96     0     4     1    24
 -3.1633054665073101E-02 a        97     0     5     1     1
  5.0395610824648673E-01 a        98     0     5     1     2
 -4.7334226952603525E-01 a        99     0     5     1     3
 -3.8371591665343407E-01 a       100     0     5     1     4
  2.7536369560148088E-01 a       101     0     5     1     5
 -8.3254983891656476E-01 a       102     0     5     1     6
 -8.5155408378139369E-02 a       103     0     5     1     7
  1.2874379626724370E+00 a       104     0     5     1     8
  1.1051420432843627E-01 a       105     0     5     1     9
  6.5374869885216638E-02 a       106     0     5     1    10
  6.7974705943096514E-01 a       107     0     5     1    11
 -1.0728779694747506E+00 a       108     0     5     1    12
  9.5602815330010127E-01 a       109     0     5     1    13
  3.3400776239963387E-01 a       110     0     5     1    14
 -6.8885973991241911E-01 a       111     0     5     1    15
 -5.6763287710797572E-01 a       112     0     5     1    16
  1.2392033915602696E+00 a       113     0     5     1    17
 -3.6629090581004814E-01 a       114     0     5     1    18
 -4.0577235031907233E-01 a       115     0     5     1    19
  5.5469570884136266E-01 a       116     0     5     1    20
  3.5991631298736915E-01 a       117     0     5     1    21
  1.4702241069354685E-01 a       118     0     5     1    22
  9.5532694082916925E-02 a       119     0     5     1    23
 -1.2763741698646733E+00 a       120     0     5     1    24
  8.7588966810424917E-01 a       121     0     6     1     1
 -8.5023679170592303E-01 a       122     0     6     1     2
 -9.1931036069606309E-01 a       123     0     6     1     3
  1.2931051462328214E+00 a       124     0     6     1     4
 -6.0109405613053912E-01 a       125     0     6     1     5
 -1.2588792549467639E-01 a       126     0     6     1     6
  1.0923923006177030E+00 a       127     0     6     1     7
  1.0353125920202899E+00 a       128     0     6     1     8
 -7.5681898412782289E-01 a       129     0     6     1     9
 -1.1302342328726263E+00 a       130     0     6     1    10
  5.0188396281981162E-01 a       131     0     6     1    11
  1.2370861499780028E+00 a       132     0     6     1    12
  5.7159208309135590E-01 a       133     0     6     1    13
 -5.9722270835691427E-02 a       134     0     6     1    14
 -2.9284762513160906E-01 a       135     0     6     1    15
 -4.6993682443291163E-02 a       136     0     6     1    16
  3.8439129865622551E-01 a       137     0     6     1    17
 -1.3431439374360614E+00 a       138     0     6     1    18
  1.8757113919176013E-01 a       139     0     6     1    19
  1.1366862126099966E+00 a       140     0     6     1    20
 -5.5518590761904363E-01 a       141     0     6     1    21
  4.9406706086368651E-01 a       142     0     6     1    22
 -4.8948204698165465E-01 a       143     0     6     1    23
  1.0117908036539718E+00 a       144     0     6     1    24
 -3.8619662641232566E+01 a       145     0     7     1     1
 -2.0787712138980829E+01 a       146     0     7     1     2
 -1.2975180827007447E+01 a       147     0     7     1     3
  1.2677849999258449E+01 a       148     0     7     1     4
  2.8965206961491119E+00 a       149     0     7     1     5
  1.8477323578908003E+01 a       150     0     7     1     6
 -1.1487428304266841E+01 a       151     0     7     1     7
 -1.5095493607605563E+01 a       152     0     7     1     8
  2.1646164443345266E+00 a       153     0     7     1     9
  1.0324555079158161E+01 a       154     0     7     1    10
  3.8414509164132715E+00 a       155     0     7     1    11
 -1.4467138533645619E+01 a       156     0     7     1    12
  2.4802971205604589E+01 a       157     0     7     1    13
 -1.1429022328058334E+01 a       158     0     7     1    14
 -1.5796424059885208E+00 a       159     0     7     1    15
 -9.6618480649806990E+00 a       160     0     7     1    16
 -1.3405928029679787E+01 a       161     0     7     1    17
 -3.6621475686729427E-01 a       162     0     7     1    18
  2.2742868194959144E+01 a       163     0     7     1    19
 -2.2747322600871986E+00 a       164     0     7     1    20
  1.7309312782000106E+01 a       165     0     7     1    21
  3.4646752032940960E+00 a       166     0     7     1    22
  1.8250253416180036E+00 a       167     0     7     1    23
 -1.3821699195810172E+01 a       168     0     7     1    24
  8.7783323012267758E+00 a       169     0     8     1     1
 -9.1489577297062716E+00 a       170     0     8     1     2
 -1.1333266535039579E+01 a       171     0     8     1     3
  1.2022702056775730E+01 a       172     0     8     1     4
  4.3422851130168905E+00 a       173     0     8     1     5
  6.1598567315232584E+00 a       174     0     8     1     6
  1.1385515918100186E+01 a       175     0     8     1     7
