################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.9642677392672924E-01 a         1     0     1     1     1
  5.1159957379519194E-01 a         2     0     1     1     2
  3.7495809181234835E-01 a         3     0     1     1     3
 -6.5738259532182264E-02 a         4     0     1     1     4
 -2.5162244589200894E-01 a         5     0     1     1     5
 -3.4447932672995396E-01 a         6     0     1     1     6
 -4.2730308637284492E-01 a         7     0     1     1     7
 -5.6241741594863448E-01 a         8     0     1     1     8
 -2.7514966610303421E-01 a         9     0     1     1     9
 -1.8216885355652235E-02 a        10     0     1     1    10
 -1.0500321204010277E+00 a        11     0     1     1    11
 -3.5345852534896105E-01 a        12     0     1     1    12
  2.0755220539240737E-01 a        13     0     1     1    13
 -8.9767981140125783E-02 a        14     0     1     1    14
 -4.5476954841899864E-01 a        15     0     1     1    15
  6.1732939124340780E-01 a        16     0     2     1     1
  1.1005623287735475E-01 a        17     0     2     1     2
  9.4324435608520529E-01 a        18     0     2     1     3
  1.2420054818653303E+00 a        19     0     2     1     4
  5.5426553265153744E-01 a        20     0     2     1     5
 -9.7306712782062765E-01 a        21     0     2     1     6
 -4.5752730722704443E-01 a        22     0     2     1     7
  5.4354942282826203E-02 a        23     0     2     1     8
 -4.2854470289288168E-02 a        24     0     2     1     9
 -1.5976696374712526E-01 a        25     0     2     1    10
 -3.9212055654132882E-01 a        26     0     2     1    11
  2.7075505544137712E-01 a        27     0     2     1    12
 -5.8351949253907576E-01 a        28     0     2     1    13
 -1.4221021377375516E+00 a        29     0     2     1    14
 -8.9965433910410175E-01 a        30     0     2     1    15
 -5.7661611339882357E-01 a        31     0     3     1     1
 -6.8668837767562596E-01 a        32     0     3     1     2
 -9.2309307413972019E-01 a        33     0     3     1     3
  8.0221547774506663E-01 a        34     0     3     1     4
  7.5814139417095783E-01 a        35     0     3     1     5
 -4.7016929221911657E-01 a        36     0     3     1     6
  4.1078027591658162E-01 a        37     0     3     1     7
  3.9754031181222110E-01 a        38     0     3     1     8
 -3.6350169176117270E-01 a        39     0     3     1     9
 -4.9504703727048194E-01 a        40     0     3     1    10
 -4.7072594108575072E-01 a        41     0     3     1    11
 -5.6547851789436276E-01 a        42     0     3     1    12
  4.6019659810799463E-01 a        43     0     3     1    13
  2.3444283135823477E-01 a        44     0     3     1    14
 -1.2618745746618059E+00 a        45     0     3     1    15
  1.4968778875917169E-01 a        46     0     4     1     1
 -3.1733177688171743E-01 a        47     0     4     1     2
  6.1133425132476038E-01 a        48     0     4     1     3
  6.6040333871701895E-01 a        49     0     4     1     4
  9.3260527507991153E-01 a        50     0     4     1     5
 -9.5584178483428950E-01 a        51     0     4     1     6
  2.8844292285818779E-01 a        52     0     4     1     7
 -1.0908991950553422E+00 a        53     0     4     1     8
  1.1119673203612946E-02 a        54     0     4     1     9
  2.6734062261533903E-01 a        55     0     4     1    10
  7.8546480357753634E-01 a        56     0     4     1    11
 -1.0683005943240553E+00 a        57     0     4     1    12
 -5.4946990086997172E-01 a        58     0     4     1    13
 -5.4538221122806740E-01 a        59     0     4     1    14
 -3.8508941926531071E-01 a        60     0     4     1    15
  6.1716270652068161E-01 a        61     0     5     1     1
 -7.4829548615492270E-01 a        62     0     5     1     2
 -6.3491779475781340E-01 a        63     0     5     1     3
  1.9215775327262355E-01 a        64     0     5     1     4
  5.6407896184554565E-02 a        65     0     5     1     5
  1.0813773523989605E+00 a        66     0     5     1     6
 -1.0782055668309283E+00 a        67     0     5     1     7
  2.3048817526895157E-01 a        68     0     5     1     8
  3.2541373448173594E-01 a        69     0     5     1     9
  1.0785647087373851E-01 a        70     0     5     1    10
  2.2460676244115471E-01 a        71     0     5     1    11
 -3.4236763089556199E-01 a        72     0     5     1    12
 -1.7931064106503078E+00 a        73     0     5     1    13
  3.8826084167732494E-01 a        74     0     5     1    14
 -8.5789742833616023E-01 a        75     0     5     1    15
 -8.1905588616857339E-01 a        76     0     6     1     1
  2.4891018469066054E-01 a        77     0     6     1     2
  5.2357373411940455E-01 a        78     0     6     1     3
  5.9926667019919666E-01 a        79     0     6     1     4
 -5.0293335263068983E-01 a        80     0     6     1     5
 -4.5353144374494159E-01 a        81     0     6     1     6
 -3.0430279661363885E-01 a        82     0     6     1     7
 -1.1331338179078713E-01 a        83     0     6     1     8
 -6.8376626375642749E-02 a        84     0     6     1     9
  2.0590434468720059E-01 a        85     0     6     1    10
  1.0252480728096660E+00 a        86     0     6     1    11
 -9.7987056839615183E-01 a        87     0     6     1    12
 -2.6762950722990314E-01 a        88     0     6     1    13
 -2.4755656084023042E-01 a        89     0     6     1    14
 -7.3846573336875176E-01 a        90     0     6     1    15
 -5.4824370821332957E-01 a        91     0     7     1     1
 -1.1399606215908557E-01 a        92     0     7     1     2
  3.9738579679815578E-01 a        93     0     7     1     3
 -1.1048122973999588E+00 a        94     0     7     1     4
 -8.9362290879967754E-01 a        95     0     7     1     5
 -2.0166147999592643E-01 a        96     0     7     1     6
 -5.9149019513997536E-01 a        97     0     7     1     7
  2.5514598970360730E-01 a        98     0     7     1     8
 -7.9535702316400847E-01 a        99     0     7     1     9
  9.1429689558318361E-01 a       100     0     7     1    10
  1.6684888467499201E-01 a       101     0     7     1    11
  2.0551747995144673E-01 a       102     0     7     1    12
  4.5612810096056955E-01 a       103     0     7     1    13
  9.7739880328173223E-01 a       104     0     7     1    14
 -5.4342477407870959E-01 a       105     0     7     1    15
 -7.5168608466219944E-01 a       106     0     8     1     1
 -2.8247330461221010E-01 a       107     0     8     1     2
  6.5731852576162519E-01 a       108     0     8     1     3
 -1.0124423549641655E+00 a       109     0     8     1     4
  3.7982071988447719E-01 a       110     0     8     1     5
  7.7614201178184494E-01 a       111     0     8     1     6
  8.1917028204362830E-01 a       112     0     8     1     7
  1.3822134922506499E-01 a       113     0     8     1     8
  2.4254749953896321E-01 a       114     0     8     1     9
  1.1390006723872306E-01 a       115     0     8     1    10
  5.1263991342359934E-02 a       116     0     8     1    11
 -9.5482224363157742E-01 a       117     0     8     1    12
 -1.3599608618466799E-01 a       118     0     8     1    13
 -9.0628060061845406E-01 a       119     0     8     1    14
  2.0251967272533289E-01 a       120     0     8     1    15
  2.7381134826327724E-01 a       121     0     9     1     1
 -4.4861223300790271E-01 a       122     0     9     1     2
 -8.3805232935439267E-01 a       123     0     9     1     3
 -4.4246871456535219E-01 a       124     0     9     1     4
 -5.6538426317861747E-02 a       125     0     9     1     5
  4.7929976769479277E-01 a       126     0     9     1     6
  5.5898262792738670E-02 a       127     0     9     1     7
  3.0400921935862868E-01 a       128     0     9     1     8
 -4.3424450075571421E-02 a       129     0     9     1     9
  1.1631336115612127E-01 a       130     0     9     1    10
 -5.7599306388893712E-01 a       131     0     9     1    11
  6.0567847483714132E-02 a       132     0     9     1    12
 -1.1555933176387692E-01 a       133     0     9     1    13
  1.3275718300056624E-01 a       134     0     9     1    14
 -1.0558017832126990E-01 a       135     0     9     1    15
  1.9939531336549599E-01 a       136     0    10     1     1
  2.5024505433255056E-02 a       137     0    10     1     2
 -1.2233088752161567E-01 a       138     0    10     1     3
 -7.9369304539506480E-01 a       139     0    10     1     4
  7.2767611222320017E-01 a       140     0    10     1     5
 -2.6949270738502051E-01 a       141     0    10     1     6
 -4.2901321888566307E-01 a       142     0    10     1     7
  2.3684465241020362E-02 a       143     0    10     1     8
 -4.8371113071880395E-01 a       144     0    10     1     9
 -6.0830945598898722E-01 a       145     0    10     1    10
 -8.1208829064112842E-01 a       146     0    10     1    11
 -2.5542813111983187E-01 a       147     0    10     1    12
  9.1623967657256877E-01 a       148     0    10     1    13
  9.4074652248503876E-01 a       149     0    10     1    14
  6.6371623455367990E-01 a       150     0    10     1    15
  2.9639324518398691E-01 a       151     0    11     1     1
 -6.5824614147006555E-01 a       152     0    11     1     2
  3.1532508928494135E-01 a       153     0    11     1     3
  2.5066125375583137E-01 a       154     0    11     1     4
  2.7451634247730872E-01 a       155     0    11     1     5
 -1.2762885713496437E+00 a       156     0    11     1     6
  2.4914357981306970E-01 a       157     0    11     1     7
  6.0324072020335140E-01 a       158     0    11     1     8
 -1.3282035682582380E+00 a       159     0    11     1     9
  3.6118373007911908E-01 a       160     0    11     1    10
  1.0328334736643228E+00 a       161     0    11     1    11
  2.0014000161965692E-01 a       162     0    11     1    12
 -3.7654570076889005E-01 a       163     0    11     1    13
 -7.8697507331241467E-01 a       164     0    11     1    14
  1.5223247219677942E+00 a       165     0    11     1    15
  1.3225600169111690E-01 a       166     0    12     1     1
 -1.4262767698795742E+00 a       167     0    12     1     2
 -1.0379430616591154E+00 a       168     0    12     1     3
 -3.6276658599359318E-01 a       169     0    12     1     4
  2.3323006902645202E-01 a       170     0    12     1     5
  5.0932231264711769E-01 a       171     0    12     1     6
 -8.5320030226787558E-01 a       172     0    12     1     7
 -6.6444202050094353E-02 a       173     0    12     1     8
 -1.6775337331278742E-01 a       174     0    12     1     9
 -2.4384784113672367E-01 a       175     0    12     1    10
 -6.5146218098724051E-01 a       176     0    12     1    11
  7.3206690869668301E-01 a       177     0    12     1    12
  8.3099867372433567E-01 a       178     0    12     1    13
  5.9138556150214994E-01 a       179     0    12     1    14
 -5.9755924359310542E-01 a       180     0    12     1    15
 -9.2575905176485207E-01 a       181     0    13     1     1
 -3.4168464630816509E-01 a       182     0    13     1     2
 -2.1111977425747014E-01 a       183     0    13     1     3
 -9.7953139442037040E-02 a       184     0    13     1     4
 -9.4412533569659862E-01 a       185     0    13     1     5
  7.6197601194719522E-01 a       186     0    13     1     6
 -9.1353867764884389E-01 a       187     0    13     1     7
 -3.9176827919455309E-01 a       188     0    13     1     8
  1.2640380798928055E-01 a       189     0    13     1     9
  4.4125809263201088E-01 a       190     0    13     1    10
  8.5625300790324066E-01 a       191     0    13     1    11
  3.7077432879485467E-01 a       192     0    13     1    12
  1.4825595798720007E-01 a       193     0    13     1    13
 -6.4438284094024623E-01 a       194     0    13     1    14
 -4.5208896329129805E-01 a       195     0    13     1    15
 -5.4412103756659747E-01 a       196     0    14     1     1
  1.1652769691719447E+00 a       197     0    14     1     2
 -1.6569390846185705E-01 a       198     0    14     1     3
 -5.9455286870339263E-01 a       199     0    14     1     4
 -1.1490663120364857E+00 a       200     0    14     1     5
 -6.9980362510571201E-02 a       201     0    14     1     6
 -1.9765168408957065E-01 a       202     0    14     1     7
 -1.2094772624203216E+00 a       203     0    14     1     8
  1.1597675999607520E+00 a       204     0    14     1     9
  5.2986411312150228E-01 a       205     0    14     1    10
 -2.1508149448936074E+00 a       206     0    14     1    11
 -9.3802300665382632E-01 a       207     0    14     1    12
  9.0277177845719392E-01 a       208     0    14     1    13
  1.3980132397667533E-01 a       209     0    14     1    14
  1.1842694398334082E-01 a       210     0    14     1    15
 -2.9065700772385360E-02 a       211     0    15     1     1
 -6.3554064305959279E-01 a       212     0    15     1     2
  6.6770056332477873E-02 a       213     0    15     1     3
 -3.6044495755998707E-01 a       214     0    15     1     4
  1.1480555869821897E-01 a       215     0    15     1     5
  4.0166266713049792E-01 a       216     0    15     1     6
 -1.3332665464457525E+00 a       217     0    15     1     7
 -6.3708544322450726E-03 a       218     0    15     1     8
  2.3502414242099540E-01 a       219     0    15     1     9
 -4.1335665225060730E-01 a       220     0    15     1    10
  1.2712350233057959E-01 a       221     0    15     1    11
 -5.7799079528031283E-01 a       222     0    15     1    12
 -1.3235706316707058E-01 a       223     0    15     1    13
  5.1408728978640372E-01 a       224     0    15     1    14
  2.3323216738015129E-01 a       225     0    15     1    15
  1.7424753252513528E-01 a       226     0    16     1     1
  6.6121654786099848E-01 a       227     0    16     1     2
  1.2070221383382045E+00 a       228     0    16     1     3
  1.1843899185677584E+00 a       229     0    16     1     4
 -2.3580229041993786E-01 a       230     0    16     1     5
 -3.4668135009816781E-01 a       231     0    16     1     6
 -1.8038295853940842E+00 a       232     0    16     1     7
  2.6649798919441491E-02 a       233     0    16     1     8
 -4.2570756849285124E-01 a       234     0    16     1     9
  8.3266967581807105E-01 a       235     0    16     1    10
  1.1334543892763425E+00 a       236     0    16     1    11
  2.6319404193136947E-01 a       237     0    16     1    12
 -2.4402925611981232E-02 a       238     0    16     1    13
