################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7774689019926800E+01 a         1     0     1     1     1
 -3.3897119857932774E+00 a         2     0     1     1     2
 -7.8735931721010628E+00 a         3     0     1     1     3
 -3.4915357712079222E+00 a         4     0     1     1     4
 -1.5812980153413394E+01 a         5     0     1     1     5
 -1.0312310586555296E+00 a         6     0     1     1     6
 -3.8709323878387933E+00 a         7     0     1     1     7
  1.1062744048134173E+01 a         8     0     1     1     8
  7.1694964358975133E+00 a         9     0     1     1     9
  6.7354768459305223E+00 a        10     0     1     1    10
  6.0330737869847937E+00 a        11     0     1     1    11
 -1.1588563369712775E+01 a        12     0     1     1    12
 -1.7759761831779378E-01 a        13     0     1     1    13
  9.2110468299188142E+00 a        14     0     1     1    14
  1.0001073837428457E+01 a        15     0     1     1    15
 -1.4067258552543041E+01 a        16     0     1     1    16
  1.0740706222788287E+01 a        17     0     2     1     1
  7.6243880834546396E-01 a        18     0     2     1     2
 -3.2131123691140941E+00 a        19     0     2     1     3
 -3.9941029448582821E+00 a        20     0     2     1     4
  3.3813021389702191E+00 a        21     0     2     1     5
  4.5406026815672877E+00 a        22     0     2     1     6
  4.7977159009599797E+00 a        23     0     2     1     7
 -2.9965650821705134E+00 a        24     0     2     1     8
  4.4395206083077925E+00 a        25     0     2     1     9
  2.9360124019144038E+00 a        26     0     2     1    10
  2.9903596710813627E+00 a        27     0     2     1    11
 -3.5914163091509663E+00 a        28     0     2     1    12
  1.1016981679246121E+00 a        29     0     2     1    13
 -7.2435661146385248E+00 a        30     0     2     1    14
  6.1529932731680903E+00 a        31     0     2     1    15
 -6.1463571594028856E+00 a        32     0     2     1    16
  5.8783387186737057E+00 a        33     0     3     1     1
  1.6602516660833402E+00 a        34     0     3     1     2
  1.6172299199128105E+01 a        35     0     3     1     3
 -5.9078676990951362E-01 a        36     0     3     1     4
  6.7440341637445256E+00 a        37     0     3     1     5
 -1.0293006917497751E+01 a        38     0     3     1     6
  5.7250434943688617E+00 a        39     0     3     1     7
 -3.2470396708424820E+00 a        40     0     3     1     8
  2.0933238119445607E+00 a        41     0     3     1     9
 -7.3768659727907586E+00 a        42     0     3     1    10
  8.3924382476042894E+00 a        43     0     3     1    11
  1.1006510112828643E+01 a        44     0     3     1    12
  1.0916116133052467E+01 a        45     0     3     1    13
  5.4141624098043133E+00 a        46     0     3     1    14
 -4.8427836372251054E+00 a        47     0     3     1    15
 -3.3897467502228671E+00 a        48     0     3     1    16
