################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.6097295863863412E+01 a         1     0     1     1     1
  6.5209578136031014E+00 a         2     0     1     1     2
  1.8712843066878189E+00 a         3     0     1     1     3
 -2.1596750371620047E+01 a         4     0     1     1     4
 -1.6256739812835249E+01 a         5     0     1     1     5
  2.3123531734061489E+00 a         6     0     1     1     6
  2.3378008606014622E+00 a         7     0     1     1     7
 -1.5342438710076905E+01 a         8     0     1     1     8
 -8.7599569803095925E+00 a         9     0     1     1     9
  8.8554177616753567E+00 a        10     0     1     1    10
 -1.7129220598865523E+01 a        11     0     2     1     1
 -7.3492728012517556E+00 a        12     0     2     1     2
  2.4207067554783190E+00 a        13     0     2     1     3
 -6.0938204176011590E+00 a        14     0     2     1     4
 -8.8227520533070809E+00 a        15     0     2     1     5
 -9.0401835938921948E+00 a        16     0     2     1     6
  5.0899639536645020E+00 a        17     0     2     1     7
  4.1413408641646861E+00 a        18     0     2     1     8
 -5.1415895764763562E+00 a        19     0     2     1     9
 -5.9451027113980466E+00 a        20     0     2     1    10
 -1.6463582209402549E+01 a        21     0     3     1     1
  1.4864216199006766E+00 a        22     0     3     1     2
  3.0374684717187805E+00 a        23     0     3     1     3
  2.2046302612721957E-02 a        24     0     3     1     4
  1.1896335328817431E+01 a        25     0     3     1     5
 -5.1293755751708661E+00 a        26     0     3     1     6
  3.3021513488814067E+00 a        27     0     3     1     7
  3.9104516656677784E+00 a        28     0     3     1     8
  6.0136701219660766E+00 a        29     0     3     1     9
 -1.1373951701221699E+01 a        30     0     3     1    10
  2.4989466659467489E+01 a        31     0     4     1     1
 -1.0257392496958678E+01 a        32     0     4     1     2
  4.6317455835138883E+00 a        33     0     4     1     3
  1.8826916693752583E+01 a        34     0     4     1     4
  2.0603162468077663E+01 a        35     0     4     1     5
 -3.0041007254027603E+00 a        36     0     4     1     6
 -4.7841934280275895E+00 a        37     0     4     1     7
  2.0256681977181788E+01 a        38     0     4     1     8
  1.2604878961381134E+01 a        39     0     4     1     9
 -8.9752643453618912E+00 a        40     0     4     1    10
  2.6096996919493069E+01 a        41     0     5     1     1
  6.3798127044140962E+00 a        42     0     5     1     2
  8.8725580854602015E-01 a        43     0     5     1     3
  7.2896129100142373E+00 a        44     0     5     1     4
  1.0262567194284250E+01 a        45     0     5     1     5
  6.1334833279264851E+00 a        46     0     5     1     6
 -6.4084289277421380E+00 a        47     0     5     1     7
  9.5679163205367850E+00 a        48     0     5     1     8
  8.2718090442429073E+00 a        49     0     5     1     9
  8.4921240282351391E+00 a        50     0     5     1    10
 -4.8545390099501633E+00 a        51     0     6     1     1
  3.2400287033474506E+00 a        52     0     6     1     2
 -2.7757955178329237E+00 a        53     0     6     1     3
 -3.1828213621892947E+00 a        54     0     6     1     4
 -5.5466608953648198E+00 a        55     0     6     1     5
  6.2787192793859314E-01 a        56     0     6     1     6
  1.6488759532594697E+00 a        57     0     6     1     7
 -6.5768718319312356E+00 a        58     0     6     1     8
 -3.8605003845281582E+00 a        59     0     6     1     9
  2.0876550055910759E+00 a        60     0     6     1    10
  4.1705014497390982E+00 a        61     0     7     1     1
  3.5537519628616465E-01 a        62     0     7     1     2
 -4.9010695774426447E-02 a        63     0     7     1     3
  1.4329953362807812E+00 a        64     0     7     1     4
 -6.6244527417633376E+00 a        65     0     7     1     5
  3.6087593854528413E+00 a        66     0     7     1     6
 -1.0867254943911147E+00 a        67     0     7     1     7
 -4.1396259961515023E+00 a        68     0     7     1     8
 -3.6670297715539544E+00 a        69     0     7     1     9
  6.2951086431915177E+00 a        70     0     7     1    10
 -2.0143034698446954E+01 a        71     0     8     1     1
 -2.3980973683317730E+00 a        72     0     8     1     2
  2.3827110665163631E+00 a        73     0     8     1     3
 -4.9992464656933128E-01 a        74     0     8     1     4
 -1.0613554092395820E+01 a        75     0     8     1     5
 -6.9903004400463633E+00 a        76     0     8     1     6
 -7.4721648326487244E-01 a        77     0     8     1     7
 -1.1052709709383603E+01 a        78     0     8     1     8
 -4.5057686421692331E+00 a        79     0     8     1     9
 -8.1433770327704877E+00 a        80     0     8     1    10
  8.9581869140948704E+00 a        81     0     9     1     1
  4.7829850916032060E+00 a        82     0     9     1     2
 -2.2877414084856888E+01 a        83     0     9     1     3
  3.2885577331062798E+01 a        84     0     9     1     4
 -2.6281681068897910E+01 a        85     0     9     1     5
  1.9420102367977396E+01 a        86     0     9     1     6
 -8.2066961399787210E+00 a        87     0     9     1     7
 -8.0349514407526090E+00 a        88     0     9     1     8
  6.8009906657732113E+00 a        89     0     9     1     9
 -1.8042086120341839E+01 a        90     0     9     1    10
  1.1258690405005385E+01 a        91     0    10     1     1
 -7.2138549394478979E-01 a        92     0    10     1     2
 -2.9891880567338799E+01 a        93     0    10     1     3
  6.5338104583539405E+00 a        94     0    10     1     4
 -1.7254752346499520E+00 a        95     0    10     1     5
  2.4384742718309731E+01 a        96     0    10     1     6
 -2.5312706315959049E-01 a        97     0    10     1     7
 -8.2591161515252161E+00 a        98     0    10     1     8
  1.2323676760857818E+01 a        99     0    10     1     9
  5.6844529858737340E+00 a       100     0    10     1    10
  1.3176670513558841E+01 a       101     0    11     1     1
 -2.5816721011975147E+01 a       102     0    11     1     2
 -1.2418693437674298E+01 a       103     0    11     1     3
 -2.8911410611938269E+01 a       104     0    11     1     4
 -1.8359444344286322E+00 a       105     0    11     1     5
 -2.1417640045867454E+01 a       106     0    11     1     6
  1.4261682059295339E+01 a       107     0    11     1     7
 -2.0235790060189711E+01 a       108     0    11     1     8
  3.7506503805825211E+01 a       109     0    11     1     9
 -1.6981756954149041E+01 a       110     0    11     1    10
  6.3336765210384254E+00 a       111     0    12     1     1
 -7.5003742527510539E+01 a       112     0    12     1     2
 -9.3681960966823326E+00 a       113     0    12     1     3
  9.2136031302618321E+01 a       114     0    12     1     4
 -6.1230069661501162E+01 a       115     0    12     1     5
  7.4408189544101674E+01 a       116     0    12     1     6
 -8.3621903880659101E+00 a       117     0    12     1     7
  5.4835814560006533E+01 a       118     0    12     1     8
 -3.9088613964897840E+00 a       119     0    12     1     9
 -1.7989434098557599E+01 a       120     0    12     1    10
  8.6318455497051829E+00 a       121     0    13     1     1
  1.3574094519981683E+01 a       122     0    13     1     2
 -2.7830198972192555E+01 a       123     0    13     1     3
  2.9585750657875685E+00 a       124     0    13     1     4
 -2.3627685767336692E+00 a       125     0    13     1     5
 -1.4702140801300814E+00 a       126     0    13     1     6
  1.2900719628970602E+01 a       127     0    13     1     7
  2.7989868819011289E+01 a       128     0    13     1     8
 -2.4222092360275681E+01 a       129     0    13     1     9
 -3.5545057843295096E+00 a       130     0    13     1    10
 -1.6818337264947427E+01 a       131     0    14     1     1
  2.3412959576969050E+00 a       132     0    14     1     2
  3.0093419253953333E+00 a       133     0    14     1     3
 -2.2159585062641007E+01 a       134     0    14     1     4
 -1.1095746971412291E+01 a       135     0    14     1     5
 -1.7861945390103838E+01 a       136     0    14     1     6
 -2.7038490735755083E+00 a       137     0    14     1     7
  1.1153565757601765E+01 a       138     0    14     1     8
 -7.0721847511568825E-01 a       139     0    14     1     9
 -2.4772749611550304E-01 a       140     0    14     1    10
  2.2958715426829514E+01 a       141     0    15     1     1
 -2.0150416524517031E+01 a       142     0    15     1     2
 -1.7445449116421052E+01 a       143     0    15     1     3
  4.3258636450933665E+01 a       144     0    15     1     4
 -1.0054605643446136E+02 a       145     0    15     1     5
 -7.9898339307296826E+00 a       146     0    15     1     6
 -3.1600303872640074E+00 a       147     0    15     1     7
 -1.4621841995896407E+00 a       148     0    15     1     8
 -5.0601594432665046E+01 a       149     0    15     1     9
  2.1457607750781197E+01 a       150     0    15     1    10
  1.3247777682251634E+00 a       151     0    16     1     1
  1.1304004782895509E+00 a       152     0    16     1     2
 -3.0401068660475179E+00 a       153     0    16     1     3
  5.2396407532860856E-01 a       154     0    16     1     4
 -1.4621461851878845E+00 a       155     0    16     1     5
 -1.7468851427043608E+00 a       156     0    16     1     6
  1.3964062424058576E+00 a       157     0    16     1     7
  5.3083073928157658E+00 a       158     0    16     1     8
 -1.8166062400334826E+00 a       159     0    16     1     9
  6.9880966189321936E-01 a       160     0    16     1    10
 -5.6995502799362106E+00 a       161     0    17     1     1
  2.9082175796748779E+00 a       162     0    17     1     2
  2.7966401275575086E+00 a       163     0    17     1     3
 -9.6899668969164434E+00 a       164     0    17     1     4
 -4.8602417558242141E+00 a       165     0    17     1     5
 -1.1509767841787134E+01 a       166     0    17     1     6
 -4.0529987948551893E+00 a       167     0    17     1     7
  7.4920257687827085E+00 a       168     0    17     1     8
  4.9539250048812100E-01 a       169     0    17     1     9
 -2.2476764146668722E+00 a       170     0    17     1    10
  8.6476032430308187E+00 a       171     0    18     1     1
 -1.2268279429066197E+01 a       172     0    18     1     2
 -8.6200327538592969E+00 a       173     0    18     1     3
  7.5608880699686454E+00 a       174     0    18     1     4
 -2.3693888826760192E+00 a       175     0    18     1     5
 -3.8250768404870601E+00 a       176     0    18     1     6
  6.6530328811977890E+00 a       177     0    18     1     7
  2.6839323977996861E+00 a       178     0    18     1     8
 -4.7793916361276567E+00 a       179     0    18     1     9
  5.2395064385158063E+00 a       180     0    18     1    10
 -2.4068367238384942E+00 a       181     0    19     1     1
 -1.1533204326453550E+01 a       182     0    19     1     2
  4.2279881275106028E+01 a       183     0    19     1     3
 -6.3142673490111044E+01 a       184     0    19     1     4
  6.1754928208513526E+01 a       185     0    19     1     5
 -4.1818009073098310E+01 a       186     0    19     1     6
  2.1237960067973845E+01 a       187     0    19     1     7
  2.2479931455304818E+01 a       188     0    19     1     8
 -2.4730097726739704E+01 a       189     0    19     1     9
  2.4658381262479786E+01 a       190     0    19     1    10
 -2.2840594771434710E+00 a       191     0    20     1     1
  1.8220463923828540E+01 a       192     0    20     1     2
  6.7812199490006108E+01 a       193     0    20     1     3
  2.8525015667066809E+00 a       194     0    20     1     4
  3.0418187877982032E+01 a       195     0    20     1     5
 -2.9545993474024467E+01 a       196     0    20     1     6
 -9.0329505972660744E+00 a       197     0    20     1     7
 -1.6921678984438632E+01 a       198     0    20     1     8
 -1.9854511098012431E+01 a       199     0    20     1     9
 -2.2435359059190265E+01 a       200     0    20     1    10
  1.1298578594219364E+01 a       201     0    21     1     1
  3.7752798484780300E+01 a       202     0    21     1     2
  2.2716041682320821E+01 a       203     0    21     1     3
  8.6907634099040976E+01 a       204     0    21     1     4
 -2.0739529134240875E+01 a       205     0    21     1     5
  6.7241104893142818E+01 a       206     0    21     1     6
 -3.5738896275562389E+01 a       207     0    21     1     7
  3.3938782946813419E+01 a       208     0    21     1     8
 -9.8844592441106869E+01 a       209     0    21     1     9
  4.9081847328996176E+01 a       210     0    21     1    10
  4.9341613109794186E-01 a       211     0    22     1     1
 -3.5098916978165993E+00 a       212     0    22     1     2
 -9.6464049200010873E+00 a       213     0    22     1     3
  2.6398725612991903E+01 a       214     0    22     1     4
 -2.0708549305774202E+01 a       215     0    22     1     5
  1.8346308777300948E+01 a       216     0    22     1     6
 -9.7516587867767939E+00 a       217     0    22     1     7
 -2.1970628865686272E+01 a       218     0    22     1     8
  1.7050444860415414E+01 a       219     0    22     1     9
 -6.5253458890076503E+00 a       220     0    22     1    10
  6.5314469011929974E+00 a       221     0    23     1     1
  6.9702056832214069E+01 a       222     0    23     1     2
 -2.6352058022791301E+01 a       223     0    23     1     3
 -8.0586620050993162E+01 a       224     0    23     1     4
  6.5479016148359705E+01 a       225     0    23     1     5
 -5.1751525181842347E+01 a       226     0    23     1     6
  2.1896699838060496E+01 a       227     0    23     1     7
 -6.4712431328650965E+01 a       228     0    23     1     8
  1.1349038596783377E+01 a       229     0    23     1     9
  3.2008562820069358E+01 a       230     0    23     1    10
