################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0615103069641103E+00 a         1     0     1     1     1
  5.2951334877828931E+00 a         2     0     1     1     2
 -4.6323657480407399E-01 a         3     0     1     1     3
 -2.8613519728665069E+00 a         4     0     1     1     4
 -2.3544754183029806E+00 a         5     0     1     1     5
  4.0989723940960845E+00 a         6     0     1     1     6
  5.0028364389980740E-01 a         7     0     1     1     7
 -2.1360730010987061E+00 a         8     0     1     1     8
  3.8710078380128238E-01 a         9     0     1     1     9
 -9.3628673430489968E+00 a        10     0     1     1    10
  7.1825484454649864E+00 a        11     0     2     1     1
 -4.8721491892823883E+00 a        12     0     2     1     2
  1.2327156492399267E+00 a        13     0     2     1     3
 -2.6544778783128944E+00 a        14     0     2     1     4
  2.9327492293658426E+00 a        15     0     2     1     5
  1.9801666155624322E+00 a        16     0     2     1     6
 -3.9523994156977174E+00 a        17     0     2     1     7
 -6.6949963748216561E+00 a        18     0     2     1     8
  5.7423333241399792E+00 a        19     0     2     1     9
 -1.0153144106241663E+00 a        20     0     2     1    10
 -2.3489190003730865E+01 a        21     0     3     1     1
  1.8306031955715859E+01 a        22     0     3     1     2
 -2.0909908717530655E+01 a        23     0     3     1     3
 -5.0759594344699615E+00 a        24     0     3     1     4
 -1.0208086320223984E+01 a        25     0     3     1     5
 -2.1848883564674832E+01 a        26     0     3     1     6
 -1.4397368819425438E+01 a        27     0     3     1     7
 -2.3828625213979336E+01 a        28     0     3     1     8
 -6.5737794238773883E+00 a        29     0     3     1     9
 -2.3202703308779565E+01 a        30     0     3     1    10
  2.8112596884907656E+01 a        31     0     4     1     1
 -3.5868776715356027E+01 a        32     0     4     1     2
  5.3028105653452755E+01 a        33     0     4     1     3
  2.0131345854891340E+01 a        34     0     4     1     4
  3.8688705954775457E+00 a        35     0     4     1     5
  1.0751698202293772E+01 a        36     0     4     1     6
  2.6560142846523792E+01 a        37     0     4     1     7
  4.1950634803237548E+01 a        38     0     4     1     8
  8.5805658375092975E+00 a        39     0     4     1     9
  1.7990663230975208E+01 a        40     0     4     1    10
  5.2801630559791612E-01 a        41     0     5     1     1
 -3.3567353577523313E+00 a        42     0     5     1     2
 -7.4870492566220703E-01 a        43     0     5     1     3
  2.5105510777443012E+00 a        44     0     5     1     4
  1.9200343054145397E+00 a        45     0     5     1     5
