################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.7069053830566236E+00 a         1     0     1     1     1
  3.8425027550828093E+00 a         2     0     1     1     2
  1.4177799126764647E+00 a         3     0     1     1     3
 -1.2944460907943758E+00 a         4     0     1     1     4
  8.1231888422495702E-01 a         5     0     1     1     5
 -1.8432344403518508E+00 a         6     0     1     1     6
  1.4027564184686498E+00 a         7     0     1     1     7
  4.6218441744533010E+00 a         8     0     1     1     8
 -4.9484860003646833E+00 a         9     0     1     1     9
  3.4325199070001471E+00 a        10     0     1     1    10
  4.6429225007556152E+00 a        11     0     1     1    11
  1.2016027223485852E+00 a        12     0     1     1    12
  1.1181916012887156E+01 a        13     0     1     1    13
 -4.4962682717331770E+00 a        14     0     1     1    14
 -8.4705737147696203E-01 a        15     0     1     1    15
  4.0974550566123247E+00 a        16     0     1     1    16
 -2.7443321262332809E-01 a        17     0     2     1     1
  5.9370751163321700E-01 a        18     0     2     1     2
  1.4510726674559762E+00 a        19     0     2     1     3
  1.0445187152241089E+00 a        20     0     2     1     4
 -8.9723177561579615E+00 a        21     0     2     1     5
 -4.8070800039673101E+00 a        22     0     2     1     6
 -6.9211954769883777E-01 a        23     0     2     1     7
  7.5993402175947695E+00 a        24     0     2     1     8
 -2.5462185786919385E+00 a        25     0     2     1     9
  1.3520995132890616E+00 a        26     0     2     1    10
  4.6232833960266086E+00 a        27     0     2     1    11
  3.0042639379803884E+00 a        28     0     2     1    12
 -3.0472842223942846E+00 a        29     0     2     1    13
 -3.5438265704401184E+00 a        30     0     2     1    14
 -3.2109383282076891E+00 a        31     0     2     1    15
 -2.1801069176718677E+00 a        32     0     2     1    16
 -3.2780561900547029E+00 a        33     0     3     1     1
 -1.7248460273097688E+01 a        34     0     3     1     2
 -7.5298866909259701E+00 a        35     0     3     1     3
 -3.0235793072166889E+01 a        36     0     3     1     4
  7.1767387731210759E+00 a        37     0     3     1     5
 -1.7254921002114997E+01 a        38     0     3     1     6
  2.1833732992672354E+00 a        39     0     3     1     7
  6.8538051904957022E+00 a        40     0     3     1     8
 -4.1172924828962937E-01 a        41     0     3     1     9
  1.1432235780417246E+01 a        42     0     3     1    10
 -2.3787125651180911E+01 a        43     0     3     1    11
 -1.2428014354902970E+01 a        44     0     3     1    12
 -1.8978722373288036E+01 a        45     0     3     1    13
  1.0855757748180785E+01 a        46     0     3     1    14
  1.3481127416221957E+01 a        47     0     3     1    15
 -4.5132715035723287E+01 a        48     0     3     1    16
  3.5907527002842903E+00 a        49     0     4     1     1
  4.5068499028405931E+01 a        50     0     4     1     2
  2.5773156243616995E+01 a        51     0     4     1     3
  4.5867935885162368E+01 a        52     0     4     1     4
 -1.4120098769935765E+00 a        53     0     4     1     5
  3.3214745432664927E+01 a        54     0     4     1     6
 -8.7151838372548784E+00 a        55     0     4     1     7
 -5.7090476527031360E+00 a        56     0     4     1     8
  1.0186331531299350E-01 a        57     0     4     1     9
 -1.3296881881067282E+01 a        58     0     4     1    10
  3.2170140453232278E+01 a        59     0     4     1    11
  1.2503754309966819E+01 a        60     0     4     1    12
  1.6662630742680644E+01 a        61     0     4     1    13
 -7.3754215940600343E+00 a        62     0     4     1    14
 -3.1213530055521169E+01 a        63     0     4     1    15
  8.1697634215413771E+01 a        64     0     4     1    16
  1.6384488896989544E+00 a        65     0     5     1     1
 -8.0220076038520205E-01 a        66     0     5     1     2
 -5.5877275861286013E-01 a        67     0     5     1     3
 -2.8228882303821790E-01 a        68     0     5     1     4
 -4.1392213737287248E-01 a        69     0     5     1     5
  9.1463210511751414E-01 a        70     0     5     1     6
 -2.2470491128441977E-01 a        71     0     5     1     7
 -6.9431261340054343E-03 a        72     0     5     1     8
  1.7457756391518564E+00 a        73     0     5     1     9
  1.9636290281332245E+00 a        74     0     5     1    10
  4.4874117214975429E-01 a        75     0     5     1    11
 -1.6467585021523379E-01 a        76     0     5     1    12
 -2.8792797609665093E+00 a        77     0     5     1    13
  2.6408886359463120E+00 a        78     0     5     1    14
  3.6813374653712017E-01 a        79     0     5     1    15
 -9.0163136817780931E-01 a        80     0     5     1    16
  5.4084498566533972E+00 a        81     0     6     1     1
 -8.6129312081198228E-01 a        82     0     6     1     2
 -4.7995019029647151E-01 a        83     0     6     1     3
  7.2120249267813352E-02 a        84     0     6     1     4
  3.0107827100687508E+00 a        85     0     6     1     5
  2.6299775657824429E+00 a        86     0     6     1     6
 -1.8892024147112160E-01 a        87     0     6     1     7
