################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2491176693307143E+01 a         1     0     1     1     1
  5.2947994965564700E+00 a         2     0     1     1     2
 -4.4146446889875550E+00 a         3     0     1     1     3
 -1.1987859525511729E+01 a         4     0     1     1     4
 -9.5729654186672573E+00 a         5     0     1     1     5
 -2.5931527526179550E+00 a         6     0     1     1     6
 -7.9026747704030029E+00 a         7     0     1     1     7
 -2.2972295358625674E+00 a         8     0     1     1     8
  2.0037104045593623E+00 a         9     0     1     1     9
 -5.1089038657494745E+00 a        10     0     1     1    10
 -5.1507563911220187E+00 a        11     0     1     1    11
 -1.1419832301607112E+01 a        12     0     1     1    12
 -3.4765698655284920E+00 a        13     0     1     1    13
  3.7704208495349629E+00 a        14     0     1     1    14
  8.3660557800196624E+00 a        15     0     1     1    15
 -9.1101784687178000E+00 a        16     0     1     1    16
 -5.7914783679163513E+00 a        17     0     2     1     1
 -2.4763794963336170E+00 a        18     0     2     1     2
 -7.2407029769743447E+00 a        19     0     2     1     3
 -9.1265977118194819E+00 a        20     0     2     1     4
 -3.5126697459272260E+00 a        21     0     2     1     5
 -8.2308875252859875E-02 a        22     0     2     1     6
  1.1194147501042719E+01 a        23     0     2     1     7
  4.5918382918146818E+00 a        24     0     2     1     8
 -2.9962845056146925E+00 a        25     0     2     1     9
  5.9847993518284026E+00 a        26     0     2     1    10
 -7.7060357897555276E+00 a        27     0     2     1    11
 -1.8495263190183613E+00 a        28     0     2     1    12
 -1.1356269953031835E+00 a        29     0     2     1    13
 -4.4286436499677109E+00 a        30     0     2     1    14
  1.6107618987865666E+00 a        31     0     2     1    15
 -7.6137429895210307E+00 a        32     0     2     1    16
  2.5886109283681497E-01 a        33     0     3     1     1
 -1.5962459440633511E+01 a        34     0     3     1     2
 -3.3718031342968189E+00 a        35     0     3     1     3
 -1.3109705963993246E+00 a        36     0     3     1     4
  6.1223480427028285E+00 a        37     0     3     1     5
 -1.2822030147371001E+01 a        38     0     3     1     6
 -1.0841900518318310E+00 a        39     0     3     1     7
 -1.2414912422346243E+00 a        40     0     3     1     8
  5.2874839835526419E+00 a        41     0     3     1     9
  9.2821400058696746E-01 a        42     0     3     1    10
  5.2500653445480716E-01 a        43     0     3     1    11
 -4.0146240439094655E-01 a        44     0     3     1    12
  1.4086260019793722E+00 a        45     0     3     1    13
  1.6213922888307757E+00 a        46     0     3     1    14
 -8.4391568552604141E+00 a        47     0     3     1    15
  4.7086573068436248E+00 a        48     0     3     1    16
 -1.9474444805203738E+01 a        49     0     4     1     1
 -7.8902436691004629E+00 a        50     0     4     1     2
  3.0312740940731042E+00 a        51     0     4     1     3
  1.0864261693149082E+01 a        52     0     4     1     4
  9.1112872398961908E+00 a        53     0     4     1     5
 -1.8556449669912880E+00 a        54     0     4     1     6
