################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3029775863681472E+00 a         1     0     1     1     1
  2.6908852211685828E+00 a         2     0     1     1     2
  1.3407851891027476E+00 a         3     0     1     1     3
  7.7033407481327398E-01 a         4     0     1     1     4
  3.0030646033178199E+00 a         5     0     1     1     5
 -1.2715989459703711E-01 a         6     0     1     1     6
 -1.8525170411352743E+00 a         7     0     1     1     7
  8.4315490769418044E+00 a         8     0     1     1     8
  3.9139118112470292E+00 a         9     0     1     1     9
 -7.9078015584576067E-01 a        10     0     1     1    10
 -6.6234356177280629E-01 a        11     0     1     1    11
  4.8888976484058927E-01 a        12     0     1     1    12
  8.2473346805147829E-01 a        13     0     1     1    13
 -1.1946439136372247E+00 a        14     0     1     1    14
  5.2360069453401603E-01 a        15     0     1     1    15
  3.0003816167130402E-02 a        16     0     1     1    16
 -2.7451526582254635E+00 a        17     0     2     1     1
 -1.1771058154095266E+00 a        18     0     2     1     2
  2.4682707390491565E+00 a        19     0     2     1     3
  7.7384021772104701E+00 a        20     0     2     1     4
 -1.7730485470581880E+00 a        21     0     2     1     5
 -2.5661827796865779E+00 a        22     0     2     1     6
 -3.2403705239224667E+00 a        23     0     2     1     7
 -1.6824422783358863E+00 a        24     0     2     1     8
  7.2709159126690501E+00 a        25     0     2     1     9
  3.9916125546108718E+00 a        26     0     2     1    10
 -8.6291749878696660E+00 a        27     0     2     1    11
  7.2849340078122111E+00 a        28     0     2     1    12
  6.4775264255335518E-01 a        29     0     2     1    13
 -2.8953844279917367E+00 a        30     0     2     1    14
 -7.9963417678245925E+00 a        31     0     2     1    15
 -7.4773319327607080E-01 a        32     0     2     1    16
  6.0608448034853604E+00 a        33     0     3     1     1
 -9.5168245889528258E+00 a        34     0     3     1     2
 -1.9412177855811169E+01 a        35     0     3     1     3
 -1.2570242471780663E+01 a        36     0     3     1     4
  9.6879748172754887E+00 a        37     0     3     1     5
 -1.0929270799616679E+01 a        38     0     3     1     6
 -3.9612864437246533E+00 a        39     0     3     1     7
  2.4114539883138850E+01 a        40     0     3     1     8
 -3.6294423708421469E+01 a        41     0     3     1     9
 -9.6917231462439251E+00 a        42     0     3     1    10
 -6.4328497749288438E+00 a        43     0     3     1    11
 -5.2529440900658750E+00 a        44     0     3     1    12
 -3.8609163748381516E+00 a        45     0     3     1    13
  3.8890231024761230E+00 a        46     0     3     1    14
  1.2140876680881927E+01 a        47     0     3     1    15
 -3.7484057748443341E+01 a        48     0     3     1    16
 -1.5936761059528992E+00 a        49     0     4     1     1
 -2.3677993182260932E+00 a        50     0     4     1     2
  3.0574637931239817E+01 a        51     0     4     1     3
  8.8158877009094780E+00 a        52     0     4     1     4
 -8.3809970192966716E+00 a        53     0     4     1     5
  1.0396952459347267E+01 a        54     0     4     1     6
  7.5783238349270006E+00 a        55     0     4     1     7
 -5.3963925202071643E+01 a        56     0     4     1     8
  4.5984881909916460E+01 a        57     0     4     1     9
 -1.9367145868079106E+01 a        58     0     4     1    10
 -2.9505585487689592E+00 a        59     0     4     1    11
 -5.3357068412667430E-01 a        60     0     4     1    12
 -3.6583642093339996E+00 a        61     0     4     1    13
  3.4510904453874791E+00 a        62     0     4     1    14
 -3.4223082495787914E+01 a        63     0     4     1    15
  5.6536463278805066E+01 a        64     0     4     1    16
  3.2628902252703393E+00 a        65     0     5     1     1
  2.9505225538243949E-02 a        66     0     5     1     2
  4.3656852555165843E-01 a        67     0     5     1     3
 -2.0624906846733590E-01 a        68     0     5     1     4
 -9.3571450895834585E-01 a        69     0     5     1     5
 -1.0986079735868307E-01 a        70     0     5     1     6
  8.8624837943297796E-01 a        71     0     5     1     7
 -3.5876237018066042E+00 a        72     0     5     1     8
  8.1132473795841253E-01 a        73     0     5     1     9
 -7.1223290411168572E-01 a        74     0     5     1    10
  2.0340903420854684E+00 a        75     0     5     1    11
 -7.2344010873864473E-01 a        76     0     5     1    12
  8.6158937598070473E-01 a        77     0     5     1    13
  1.0791479538324267E+00 a        78     0     5     1    14
