################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.7130087986651058E-01   4.0474829499126834E-02   3.4133226595795166E-02
         1          2   0.0000000000000000E+00   3.9521006441658557E-01   6.4143457100766035E-02   6.4773918725842844E-02
         1          3   0.0000000000000000E+00   4.0168290533602280E-01   6.0876820951782831E-02   5.3496624280751630E-02
         1          4   0.0000000000000000E+00   2.4046181592039120E-01   3.4700531203649729E-02   3.6251992734269975E-02
         1          5   0.0000000000000000E+00   2.4741540793141939E-01   3.4172350815208558E-02   3.0540296313291283E-02
         1          6   0.0000000000000000E+00   7.5654601524906329E-02   8.5735514413905027E-03   8.2210509430092997E-03
         1          7   0.0000000000000000E+00   7.7250416149065762E-02   8.5749269066026281E-03   9.7403398931055866E-03
         1          8   0.0000000000000000E+00   8.1172777817268421E-02   9.1766806539386042E-03   8.6850884527774237E-03
         1          9   0.0000000000000000E+00   1.9398115570470859E-02   1.1255833825452987E-03   1.3032658781934709E-03
         1         10   0.0000000000000000E+00   2.3133128005496775E+00   6.6930753111871877E-01   3.8405990697235226E-01
         1         11   0.0000000000000000E+00   3.0010780517580606E+00   6.9240765094671031E-01   6.0976317667894053E-01
         1         12   0.0000000000000000E+00   2.4911561244419174E+00   5.2474262827391660E-01   4.2396521753222349E-01
         1         13   0.0000000000000000E+00   2.9826262711294014E+00   9.8755229436424286E-01   5.3109452823819991E-01
         1         14   0.0000000000000000E+00   2.7437748285192898E+00   6.2812824505449372E-01   5.0579507113722177E-01
         1         15   0.0000000000000000E+00   3.5934987016583713E+00   1.2114046319361624E+00   6.4757060805299271E-01
         1         16   0.0000000000000000E+00   4.6057570471934381E+00   1.1120956976675285E+00   9.6293137748196334E-01
         1         17   0.0000000000000000E+00   1.0082881183212051E+00   3.3960050911049028E-01   1.9153776206657394E-01
         1         18   0.0000000000000000E+00   1.2682336977508362E+00   3.2087920750959970E-01   2.8296140074724935E-01
         1         19   0.0000000000000000E+00   9.4491266385583728E-01   2.2336231502183823E-01   1.8616801034766048E-01
         1         20   0.0000000000000000E+00   8.4763975574962789E+00   2.6928687993349687E+00   1.4556089305200575E+00
