################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4583122230856949E-01 a         1     0     1     1     1
  2.5873632525497509E-01 a         2     0     1     1     2
  1.3019227471376715E-01 a         3     0     1     1     3
 -4.4469475924704566E-01 a         4     0     1     1     4
 -3.2473166323567182E-01 a         5     0     1     1     5
 -2.5876248428856935E-01 a         6     0     1     1     6
 -6.2353729034934913E-01 a         7     0     1     1     7
 -6.5500163038727544E-01 a         8     0     1     1     8
  8.4881305706353305E-01 a         9     0     1     1     9
 -8.4316059990536540E-01 a        10     0     1     1    10
 -1.5759208483471363E+00 a        11     0     1     1    11
  5.2271452826874909E-01 a        12     0     1     1    12
  1.3777844599298886E-01 a        13     0     1     1    13
 -9.2453893783676577E-01 a        14     0     1     1    14
  3.7317117183850357E-01 a        15     0     1     1    15
  8.0553840525819324E-03 a        16     0     2     1     1
  3.5585362019646322E-01 a        17     0     2     1     2
  1.2372510161393908E+00 a        18     0     2     1     3
 -4.0106313505949504E-01 a        19     0     2     1     4
  4.1520820969182592E-01 a        20     0     2     1     5
  7.1725247408885140E-02 a        21     0     2     1     6
 -1.3065595335920696E-01 a        22     0     2     1     7
 -8.7641689197133121E-01 a        23     0     2     1     8
  3.6295497758636930E-01 a        24     0     2     1     9
 -3.5881851780230750E-01 a        25     0     2     1    10
 -9.4750724311050716E-01 a        26     0     2     1    11
  7.9692584938552824E-01 a        27     0     2     1    12
 -6.9442553501329274E-01 a        28     0     2     1    13
  2.8204593205693598E-02 a        29     0     2     1    14
  5.3758406782608326E-01 a        30     0     2     1    15
 -5.1892588674586704E-01 a        31     0     3     1     1
 -3.6257306978750742E-01 a        32     0     3     1     2
  3.5675160401042744E-01 a        33     0     3     1     3
  5.3515866207780771E-01 a        34     0     3     1     4
  7.3654583730496148E-01 a        35     0     3     1     5
 -1.6411109434204496E+00 a        36     0     3     1     6
  1.0031094270155394E+00 a        37     0     3     1     7
 -6.3803882256557931E-01 a        38     0     3     1     8
 -4.0429717502387202E-01 a        39     0     3     1     9
 -4.1487289231786678E-01 a        40     0     3     1    10
 -4.6642160970378882E-01 a        41     0     3     1    11
  1.8194873198509662E+00 a        42     0     3     1    12
 -2.6412818720704412E-01 a        43     0     3     1    13
 -4.1988783899593796E-01 a        44     0     3     1    14
 -1.1988551132857441E+00 a        45     0     3     1    15
 -6.9262678419520540E-01 a        46     0     4     1     1
  9.1493174347222173E-01 a        47     0     4     1     2
  7.3692931060626787E-01 a        48     0     4     1     3
  2.0915843966398433E-02 a        49     0     4     1     4
  5.2085025820424694E-02 a        50     0     4     1     5
 -4.2639088887169690E-01 a        51     0     4     1     6
  5.1256088951926193E-01 a        52     0     4     1     7
  1.3181481893267082E+00 a        53     0     4     1     8
  7.4028638729565707E-02 a        54     0     4     1     9
  3.3896286651938967E-01 a        55     0     4     1    10
  4.6556788175081298E-01 a        56     0     4     1    11
  4.6411146286078386E-01 a        57     0     4     1    12
  3.3083873248648937E-01 a        58     0     4     1    13
