################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9677718841414651E-01 a         1     0     1     1     1
 -8.9634705751389177E-01 a         2     0     1     1     2
  1.9724571318480991E-01 a         3     0     1     1     3
  3.0639911341975834E-01 a         4     0     1     1     4
 -6.4996638374877458E-01 a         5     0     1     1     5
  6.0180226305468543E-02 a         6     0     1     1     6
  5.4529517876246203E-01 a         7     0     1     1     7
  1.5117569751299433E+00 a         8     0     1     1     8
 -8.5824776833287819E-01 a         9     0     1     1     9
  4.2708980587695811E-01 a        10     0     1     1    10
 -1.1997382461590117E-01 a        11     0     1     1    11
  3.5410536844773244E-01 a        12     0     1     1    12
 -9.6186829976046728E-01 a        13     0     1     1    13
  9.4903073381600034E-01 a        14     0     1     1    14
  6.0884098077479443E-01 a        15     0     1     1    15
 -7.3670985167802794E-01 a        16     0     1     1    16
 -8.9577910027075169E-01 a        17     0     1     1    17
 -8.9420250724374584E-01 a        18     0     1     1    18
 -9.8062569588574150E-02 a        19     0     1     1    19
  9.4342830448750720E-02 a        20     0     1     1    20
  8.0547002783933497E-01 a        21     0     1     1    21
 -1.3747377082550309E+00 a        22     0     1     1    22
 -1.6064382654784761E+00 a        23     0     1     1    23
 -2.4325238530002796E-01 a        24     0     1     1    24
 -7.9712712987941381E-01 a        25     0     2     1     1
 -4.1057998839901660E-01 a        26     0     2     1     2
 -1.1535720607428412E+00 a        27     0     2     1     3
  8.5253157938886784E-02 a        28     0     2     1     4
 -4.2304323525388621E-01 a        29     0     2     1     5
  7.8061730351794134E-01 a        30     0     2     1     6
 -3.5887508473363394E-01 a        31     0     2     1     7
  9.7631796633446966E-01 a        32     0     2     1     8
  6.2167944996771418E-01 a        33     0     2     1     9
  8.3378323688401967E-01 a        34     0     2     1    10
  1.4022229378192091E-01 a        35     0     2     1    11
 -8.7546381480183399E-01 a        36     0     2     1    12
  3.2001114081424636E-01 a        37     0     2     1    13
 -1.1903027991750081E-01 a        38     0     2     1    14
  1.7276554944863340E+00 a        39     0     2     1    15
  3.0414830430440332E-01 a        40     0     2     1    16
 -1.9496272508419576E-01 a        41     0     2     1    17
 -9.9611142092914073E-01 a        42     0     2     1    18
 -7.1068659335510043E-01 a        43     0     2     1    19
 -9.0008974832279132E-01 a        44     0     2     1    20
 -3.9355908326819811E-01 a        45     0     2     1    21
 -9.5507208213860806E-01 a        46     0     2     1    22
 -7.7327471934017322E-01 a        47     0     2     1    23
 -1.8523401201031815E+00 a        48     0     2     1    24
  4.6100145431818418E-01 a        49     0     3     1     1
 -4.6619326591470783E-01 a        50     0     3     1     2
 -1.2695369894179005E+00 a        51     0     3     1     3
  1.1400542183490292E+00 a        52     0     3     1     4
  5.5886786121497556E-01 a        53     0     3     1     5
  2.6574741957879561E-01 a        54     0     3     1     6
 -5.8338436114429815E-01 a        55     0     3     1     7
  1.1626966172112858E+00 a        56     0     3     1     8
 -1.1062387646945107E+00 a        57     0     3     1     9
  2.4851198687575185E-01 a        58     0     3     1    10
 -1.3280237402206994E+00 a        59     0     3     1    11
  3.0553124929868419E-01 a        60     0     3     1    12
  2.4138126551667693E+00 a        61     0     3     1    13
  6.9008396549789075E-01 a        62     0     3     1    14
  9.8596926800006501E-01 a        63     0     3     1    15
 -5.1910884233049481E-01 a        64     0     3     1    16
  3.5632498874557500E-01 a        65     0     3     1    17
 -2.3546882763675024E-02 a        66     0     3     1    18
 -2.2043658450316622E-01 a        67     0     3     1    19
  6.3769411982885948E-01 a        68     0     3     1    20
 -4.9541842482023424E-01 a        69     0     3     1    21
  1.3613424271865218E+00 a        70     0     3     1    22
  1.2163605247782898E-01 a        71     0     3     1    23
  1.1167912524427610E-01 a        72     0     3     1    24
  1.2492702459120384E+00 a        73     0     4     1     1
 -4.0497299291022709E-01 a        74     0     4     1     2
 -2.9091277449520658E-01 a        75     0     4     1     3
  8.4144191316580519E-01 a        76     0     4     1     4
 -1.2120082457445390E-01 a        77     0     4     1     5
 -7.2627590570465070E-02 a        78     0     4     1     6
  9.1280436524023845E-01 a        79     0     4     1     7
 -5.9359978472572061E-01 a        80     0     4     1     8
 -2.6869377605203459E-01 a        81     0     4     1     9
  1.2044200528433573E+00 a        82     0     4     1    10
 -1.7587311245300835E-01 a        83     0     4     1    11
  5.1061214248986542E-01 a        84     0     4     1    12
 -1.7088528789282955E+00 a        85     0     4     1    13
 -1.4734950612698472E+00 a        86     0     4     1    14
  1.0041743225008746E+00 a        87     0     4     1    15
  1.8521586147106275E+00 a        88     0     4     1    16
 -5.1830235646292896E-02 a        89     0     4     1    17
 -9.5188835167041752E-01 a        90     0     4     1    18
  8.2569964871024970E-01 a        91     0     4     1    19
 -1.6263178291359668E+00 a        92     0     4     1    20
  1.1565078685456045E+00 a        93     0     4     1    21
 -2.6064018517495147E-01 a        94     0     4     1    22
 -5.0052065843821070E-01 a        95     0     4     1    23
  1.0339293652681762E+00 a        96     0     4     1    24
  7.1065143886333282E-02 a        97     0     5     1     1
  7.7600363333389621E-01 a        98     0     5     1     2
  1.4536345987112707E+00 a        99     0     5     1     3
 -1.6308665338955066E+00 a       100     0     5     1     4
 -5.7721315991817335E-01 a       101     0     5     1     5
  2.2067611195727310E+00 a       102     0     5     1     6
  8.9560868811823524E-01 a       103     0     5     1     7
 -2.8609346553087767E-01 a       104     0     5     1     8
  4.0221110427314202E-02 a       105     0     5     1     9
  9.5755950905475096E-01 a       106     0     5     1    10
  1.4678057640985307E+00 a       107     0     5     1    11
 -1.1528452937174111E-01 a       108     0     5     1    12
 -1.7345534852892749E-01 a       109     0     5     1    13
  9.7322605287300704E-02 a       110     0     5     1    14
 -1.2647788765721484E+00 a       111     0     5     1    15
 -9.7490169024767481E-01 a       112     0     5     1    16
 -5.9641239657894840E-01 a       113     0     5     1    17
  1.0618202369921188E-01 a       114     0     5     1    18
  1.6543645616283635E+00 a       115     0     5     1    19
 -1.7099566182283257E-01 a       116     0     5     1    20
 -4.6382207649724852E-02 a       117     0     5     1    21
 -1.8918842178303744E-01 a       118     0     5     1    22
 -8.8603629449075572E-01 a       119     0     5     1    23
  2.2836340845666081E-01 a       120     0     5     1    24
 -1.7439208436811397E-02 a       121     0     6     1     1
  1.2092483876309268E+00 a       122     0     6     1     2
  4.8950157668070632E-01 a       123     0     6     1     3
  7.7646864291604403E-02 a       124     0     6     1     4
  3.6084500471027475E-01 a       125     0     6     1     5
 -2.0223147229549265E-01 a       126     0     6     1     6
 -2.1915266146847176E-01 a       127     0     6     1     7
 -7.2137604528815602E-01 a       128     0     6     1     8
  3.5279470096431459E-01 a       129     0     6     1     9
  4.7772646358496751E-01 a       130     0     6     1    10
 -1.8257737977328173E-02 a       131     0     6     1    11
 -3.6030054159197289E-01 a       132     0     6     1    12
 -2.3055517365039047E-01 a       133     0     6     1    13
  1.0982776974481092E+00 a       134     0     6     1    14
 -5.2593127629814829E-01 a       135     0     6     1    15
 -1.1007533794243356E+00 a       136     0     6     1    16
  4.6319681587329953E-01 a       137     0     6     1    17
  1.9212797643615176E-01 a       138     0     6     1    18
 -5.9700643469421366E-01 a       139     0     6     1    19
  1.8151747877597546E-02 a       140     0     6     1    20
  6.9807140114667587E-01 a       141     0     6     1    21
 -3.4988037688796364E-01 a       142     0     6     1    22
  8.0259572174684746E-01 a       143     0     6     1    23
 -9.6393217053921310E-01 a       144     0     6     1    24
 -1.3302684796882285E+00 a       145     0     7     1     1
  1.6867629479114257E-01 a       146     0     7     1     2
  4.9388062834394442E-01 a       147     0     7     1     3
 -5.5021881252298399E-01 a       148     0     7     1     4
  1.4015260374209781E-01 a       149     0     7     1     5
  3.0568673839346461E-01 a       150     0     7     1     6
 -4.5760917289414160E-01 a       151     0     7     1     7
  3.7797225051950922E-01 a       152     0     7     1     8
 -4.4919729642365253E-01 a       153     0     7     1     9
 -1.3438340614660413E+00 a       154     0     7     1    10
 -2.7148169154903962E-01 a       155     0     7     1    11
  5.4487540106033472E-01 a       156     0     7     1    12
  1.2959603790486645E+00 a       157     0     7     1    13
 -2.0909684573031295E-01 a       158     0     7     1    14
 -5.9292122585856011E-01 a       159     0     7     1    15
 -1.4094565600555273E-01 a       160     0     7     1    16
  6.3273024234230157E-01 a       161     0     7     1    17
  4.2076631086304989E-01 a       162     0     7     1    18
 -4.0789090050877730E-01 a       163     0     7     1    19
  1.0536803902089917E+00 a       164     0     7     1    20
  6.0205521831261566E-01 a       165     0     7     1    21
  6.1969333334032739E-01 a       166     0     7     1    22
  4.2544765463185225E-01 a       167     0     7     1    23
  3.9836883575849408E-01 a       168     0     7     1    24
  1.2327105340978124E-01 a       169     0     8     1     1
  1.6978425234637073E-01 a       170     0     8     1     2
  4.9338153192944928E-01 a       171     0     8     1     3
  9.9723973558860368E-01 a       172     0     8     1     4
  7.7884342165966436E-01 a       173     0     8     1     5
 -2.1455889172939928E+00 a       174     0     8     1     6
  1.1309715046879953E-01 a       175     0     8     1     7
 -3.9765573232066698E-02 a       176     0     8     1     8
 -6.0521604376035076E-01 a       177     0     8     1     9
  1.2783904727875750E-01 a       178     0     8     1    10
 -3.3204141443076512E-01 a       179     0     8     1    11
  6.4289824215100461E-02 a       180     0     8     1    12
 -8.0368482771003413E-01 a       181     0     8     1    13
  2.9732238702873715E-01 a       182     0     8     1    14
  5.6372257692713346E-01 a       183     0     8     1    15
 -3.2339462584465745E-01 a       184     0     8     1    16
  5.7604424559007619E-02 a       185     0     8     1    17
 -2.2079683876153949E-01 a       186     0     8     1    18
 -3.2806891862572557E-01 a       187     0     8     1    19
 -5.0692669412696822E-01 a       188     0     8     1    20
  9.5710952097619995E-01 a       189     0     8     1    21
 -2.4004941482274087E+00 a       190     0     8     1    22
  2.0964512225603307E-01 a       191     0     8     1    23
 -8.5730298393152427E-01 a       192     0     8     1    24
  1.7366220063601501E-02 a       193     0     9     1     1
 -1.8249492108323720E-01 a       194     0     9     1     2
 -8.8373019588055335E-01 a       195     0     9     1     3
 -5.7370295235364924E-02 a       196     0     9     1     4
 -3.3570271767945761E-02 a       197     0     9     1     5
 -6.3221274850995116E-02 a       198     0     9     1     6
 -1.6329476478925131E-01 a       199     0     9     1     7
 -6.1975846910252086E-01 a       200     0     9     1     8
  9.5937714336858360E-01 a       201     0     9     1     9
 -4.9685985876145061E-01 a       202     0     9     1    10
 -2.5790335581092733E-01 a       203     0     9     1    11
  5.5425053606305519E-01 a       204     0     9     1    12
 -1.1023939278039239E-02 a       205     0     9     1    13
 -1.3647971671151997E+00 a       206     0     9     1    14
 -2.6254916412891094E-01 a       207     0     9     1    15
  1.0376954103294860E+00 a       208     0     9     1    16
 -7.9478977151048319E-02 a       209     0     9     1    17
  7.0671931564362522E-01 a       210     0     9     1    18
 -2.2641036021712940E-01 a       211     0     9     1    19
 -2.0553704661093214E-01 a       212     0     9     1    20
 -6.7456720528780967E-01 a       213     0     9     1    21
  8.8698940764491718E-01 a       214     0     9     1    22
  3.5454749368976235E-01 a       215     0     9     1    23
  9.7169616948849680E-01 a       216     0     9     1    24
  5.0871810997656219E-01 a       217     0    10     1     1
 -2.2239259385713672E-01 a       218     0    10     1     2
 -7.4857889739358119E-01 a       219     0    10     1     3
 -8.6993212598078062E-01 a       220     0    10     1     4
 -4.4295895147043851E-01 a       221     0    10     1     5
 -4.4448109912954004E-03 a       222     0    10     1     6
  4.1438174787553078E-01 a       223     0    10     1     7
 -2.2570892583280949E-01 a       224     0    10     1     8
  9.6533423992550849E-01 a       225     0    10     1     9
