################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7144481498543018E+00 a         1     0     1     1     1
 -1.1966108802524071E+00 a         2     0     1     1     2
  6.9106464178761554E-02 a         3     0     1     1     3
 -7.6157846175774735E-01 a         4     0     1     1     4
  4.5151682304173191E+00 a         5     0     1     1     5
  6.9362972161000735E+00 a         6     0     1     1     6
 -8.3558362107229012E-01 a         7     0     1     1     7
  4.1431714288285981E+00 a         8     0     1     1     8
  1.1648104462429285E+00 a         9     0     1     1     9
  1.3882129143099897E-01 a        10     0     1     1    10
  2.7616380285992155E+00 a        11     0     1     1    11
 -2.5251892907484623E+00 a        12     0     1     1    12
  2.6663963113936688E+00 a        13     0     1     1    13
 -2.1193290480533569E+00 a        14     0     1     1    14
 -1.9452633886030690E+00 a        15     0     1     1    15
 -3.5715391477628761E-01 a        16     0     1     1    16
  3.1383046065342004E+00 a        17     0     1     1    17
 -8.5505591646175882E-01 a        18     0     1     1    18
 -3.9697117448793313E+00 a        19     0     1     1    19
  4.7423305581493969E+00 a        20     0     1     1    20
 -2.0180674535555843E-01 a        21     0     1     1    21
  9.2555276662812158E-02 a        22     0     1     1    22
 -1.7919137952808286E+00 a        23     0     1     1    23
  1.6723985597310764E+00 a        24     0     1     1    24
  1.6192810415458694E-01 a        25     0     2     1     1
 -3.8054386715864115E+00 a        26     0     2     1     2
  5.3668018044957000E+00 a        27     0     2     1     3
 -8.7453193838207155E-01 a        28     0     2     1     4
 -4.9804808001463003E+00 a        29     0     2     1     5
  8.2098050054562464E+00 a        30     0     2     1     6
  4.9459550596257458E+00 a        31     0     2     1     7
  2.8297407684674081E+00 a        32     0     2     1     8
 -4.3961134390888523E-01 a        33     0     2     1     9
  1.6070923951662053E+00 a        34     0     2     1    10
 -1.5950151867922819E+00 a        35     0     2     1    11
 -1.8597022382510062E+00 a        36     0     2     1    12
  7.7733135432838756E+00 a        37     0     2     1    13
  1.9833848758662640E+00 a        38     0     2     1    14
  2.9618982422549944E+00 a        39     0     2     1    15
  3.9906137531896180E+00 a        40     0     2     1    16
 -1.0876031448695496E+00 a        41     0     2     1    17
  1.4957366246897443E+00 a        42     0     2     1    18
 -5.1735275294924250E+00 a        43     0     2     1    19
 -1.3560887840302509E+00 a        44     0     2     1    20
 -6.6274157991899756E+00 a        45     0     2     1    21
  7.9758978628298447E+00 a        46     0     2     1    22
  4.3682959362379037E-01 a        47     0     2     1    23
  6.6028723167561258E+00 a        48     0     2     1    24
 -3.1104798794503963E+00 a        49     0     3     1     1
  4.8447563756319179E-01 a        50     0     3     1     2
 -3.6461035599489583E-01 a        51     0     3     1     3
 -1.5852488251447832E+00 a        52     0     3     1     4
  4.1023593150155546E-01 a        53     0     3     1     5
  4.8181420955590699E+00 a        54     0     3     1     6
  2.6526064264190645E+00 a        55     0     3     1     7
  5.0112087525722533E+00 a        56     0     3     1     8
 -7.2517689899794979E-01 a        57     0     3     1     9
  7.9662488233455033E-03 a        58     0     3     1    10
  1.9440307441617128E+00 a        59     0     3     1    11
 -2.4989203834318676E+00 a        60     0     3     1    12
  5.5164640639602611E+00 a        61     0     3     1    13
  2.6362871975176216E-01 a        62     0     3     1    14
 -1.9445073599569376E+00 a        63     0     3     1    15
