################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3530667030060046E+00 a         1     0     1     1     1
 -3.9564557078412301E+00 a         2     0     1     1     2
  4.3791956118052084E+00 a         3     0     1     1     3
  2.2175347982920752E+00 a         4     0     1     1     4
 -5.6953974749417187E+00 a         5     0     1     1     5
 -2.9298299804142465E+00 a         6     0     1     1     6
  3.5451825454639305E+00 a         7     0     1     1     7
 -2.3256360682961601E+00 a         8     0     1     1     8
 -2.6281475705550772E+00 a         9     0     1     1     9
  3.3178066202633394E+00 a        10     0     1     1    10
 -3.6330145397898077E+00 a        11     0     1     1    11
 -4.2019414127962005E+00 a        12     0     1     1    12
  3.0328939735886769E+00 a        13     0     1     1    13
  1.3707032209927845E+00 a        14     0     1     1    14
 -5.9101675287452489E+00 a        15     0     1     1    15
  3.7690633571776089E+00 a        16     0     1     1    16
  7.3776834163867500E-01 a        17     0     2     1     1
  8.8488596573898703E-01 a        18     0     2     1     2
  6.2205545879127628E+00 a        19     0     2     1     3
  1.2220650821081884E+00 a        20     0     2     1     4
 -5.2806217208247064E-01 a        21     0     2     1     5
 -1.0910323388651326E+01 a        22     0     2     1     6
 -2.0133790303328305E+00 a        23     0     2     1     7
 -8.7539632088600623E+00 a        24     0     2     1     8
 -8.6512944591887244E+00 a        25     0     2     1     9
 -2.7237693978630145E-01 a        26     0     2     1    10
  6.6563000101977341E+00 a        27     0     2     1    11
 -1.1144639993145931E+01 a        28     0     2     1    12
  3.7172876232596286E+00 a        29     0     2     1    13
  8.5515937169370542E+00 a        30     0     2     1    14
 -8.0684468053696818E+00 a        31     0     2     1    15
  7.3373701130053428E+00 a        32     0     2     1    16
  8.3339177893823013E-01 a        33     0     3     1     1
  3.3336089052525375E-01 a        34     0     3     1     2
 -6.0738501479310347E-01 a        35     0     3     1     3
  1.2432967741799873E+01 a        36     0     3     1     4
  2.2272525695671033E+00 a        37     0     3     1     5
  5.7924476458567691E+00 a        38     0     3     1     6
  6.7130337204233808E+00 a        39     0     3     1     7
 -6.6991491773015364E+00 a        40     0     3     1     8
 -5.2698689142304991E+00 a        41     0     3     1     9
  1.7618793574823947E+01 a        42     0     3     1    10
 -1.6557251357097339E+01 a        43     0     3     1    11
 -1.4161413880425236E+01 a        44     0     3     1    12
 -5.6990583078964026E+00 a        45     0     3     1    13
 -9.9916719549394220E+00 a        46     0     3     1    14
  1.0710684586981801E+01 a        47     0     3     1    15
  6.9021787111374175E+00 a        48     0     3     1    16
 -4.8868320255855546E-01 a        49     0     4     1     1
 -1.5604198511128304E+00 a        50     0     4     1     2
 -1.1685495704928193E+00 a        51     0     4     1     3
 -1.8664951918730803E+00 a        52     0     4     1     4
  2.8948339142130792E+00 a        53     0     4     1     5
  1.0553015893892535E+01 a        54     0     4     1     6
  9.1121708934671499E+00 a        55     0     4     1     7
  8.7039345396081274E+00 a        56     0     4     1     8
  5.5347197564515334E+00 a        57     0     4     1     9
  5.0686202403336926E+00 a        58     0     4     1    10
 -7.5557606285665697E+00 a        59     0     4     1    11
  1.0944581026880675E+01 a        60     0     4     1    12
 -4.4988423875881693E+00 a        61     0     4     1    13
 -5.1731793339703733E+00 a        62     0     4     1    14
  7.4410990991510051E+00 a        63     0     4     1    15
 -7.3311098599788274E+00 a        64     0     4     1    16
 -1.2266046735541305E+00 a        65     0     5     1     1
 -3.2381661327288018E+00 a        66     0     5     1     2
  1.6970880803795449E+00 a        67     0     5     1     3
 -1.1552288370870974E+01 a        68     0     5     1     4
  8.0870237255095823E-01 a        69     0     5     1     5
 -4.2431714922228441E+00 a        70     0     5     1     6
 -1.2546935580963108E+00 a        71     0     5     1     7
  1.0008224225976843E+01 a        72     0     5     1     8
  5.3869445004537555E+00 a        73     0     5     1     9
 -1.2335215637751491E+01 a        74     0     5     1    10
  1.3357330621911865E+01 a        75     0     5     1    11
  3.4814104034690243E+00 a        76     0     5     1    12
 -8.2880095245641583E-01 a        77     0     5     1    13
  8.2722795643690983E+00 a        78     0     5     1    14
 -9.0031778081258729E+00 a        79     0     5     1    15
 -1.4979878675727146E+01 a        80     0     5     1    16
 -2.7849935844281037E+00 a        81     0     6     1     1
  3.7308238771456281E+00 a        82     0     6     1     2
 -5.5990507327153027E+00 a        83     0     6     1     3
 -9.7444194619627422E-01 a        84     0     6     1     4
  4.9062188653936571E+00 a        85     0     6     1     5
  1.6442490736811659E+00 a        86     0     6     1     6
 -2.0879972330408174E+00 a        87     0     6     1     7
  1.4891543372455696E+00 a        88     0     6     1     8
  2.8422424195056193E+00 a        89     0     6     1     9
 -2.6893347342420912E+00 a        90     0     6     1    10
  3.8243168205424540E+00 a        91     0     6     1    11
  3.2014407459286165E+00 a        92     0     6     1    12
 -2.7690430230502447E+00 a        93     0     6     1    13
 -1.3466450598814661E-01 a        94     0     6     1    14
  4.9140554249698196E+00 a        95     0     6     1    15
 -1.8310718883170338E+00 a        96     0     6     1    16
  6.5872271476285238E-01 a        97     0     7     1     1
  6.9395040071004388E-01 a        98     0     7     1     2
 -1.4541145686871317E+00 a        99     0     7     1     3
  1.0505640302542556E+00 a       100     0     7     1     4
 -1.5350790087561390E+00 a       101     0     7     1     5
 -1.3266057647976948E+00 a       102     0     7     1     6
 -2.9571157712829050E+00 a       103     0     7     1     7
 -1.9965484002016241E+00 a       104     0     7     1     8
  8.6172003979534595E-01 a       105     0     7     1     9
 -1.1324249903614325E+00 a       106     0     7     1    10
  4.2694750670466453E-01 a       107     0     7     1    11
 -2.1965383865401189E+00 a       108     0     7     1    12
  6.5212380261666136E-01 a       109     0     7     1    13
 -6.0987264944945430E-01 a       110     0     7     1    14
 -1.6385151385538137E+00 a       111     0     7     1    15
  4.8271272567166079E-01 a       112     0     7     1    16
  8.2653261980101334E-01 a       113     0     8     1     1
  3.5411213116777200E+00 a       114     0     8     1     2
 -3.7559360629940014E-01 a       115     0     8     1     3
  2.0288991668432654E+00 a       116     0     8     1     4
  7.4012848627220162E-01 a       117     0     8     1     5
  8.1812143518247704E-01 a       118     0     8     1     6
 -6.2484995317163861E-01 a       119     0     8     1     7
 -3.0287011445785210E+00 a       120     0     8     1     8
 -9.8358223051699634E-01 a       121     0     8     1     9
  2.3363573380709792E-02 a       122     0     8     1    10
 -1.7484246596529853E+00 a       123     0     8     1    11
  3.0543978512042376E+00 a       124     0     8     1    12
  2.9661152381482032E+00 a       125     0     8     1    13
 -3.6635307195216277E-01 a       126     0     8     1    14
  3.3467626261879104E+00 a       127     0     8     1    15
  4.8210272079381413E+00 a       128     0     8     1    16
  1.1632776643111757E+00 a       129     0     9     1     1
 -1.1330793273828859E+00 a       130     0     9     1     2
  2.6202805701911371E+00 a       131     0     9     1     3
 -1.3952136661895964E-02 a       132     0     9     1     4
 -1.8298990408822779E+00 a       133     0     9     1     5
 -1.4704809407511968E-01 a       134     0     9     1     6
  1.0229072618379778E+00 a       135     0     9     1     7
 -7.2773726779477010E-01 a       136     0     9     1     8
