################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3950674276517268E+00 a         1     0     1     1     1
  6.1286002273908557E-01 a         2     0     1     1     2
  2.7611392156507968E+00 a         3     0     1     1     3
  2.3793033422632246E+00 a         4     0     1     1     4
 -2.6358278472054257E+00 a         5     0     1     1     5
  1.0545484988980054E+00 a         6     0     1     1     6
  1.3816133254716456E+00 a         7     0     1     1     7
  3.1402928152982215E+00 a         8     0     1     1     8
  3.2212369381452435E+00 a         9     0     1     1     9
 -2.9577966126151034E-01 a        10     0     1     1    10
 -3.4791227788688345E-01 a        11     0     1     1    11
  2.2095294610423430E-01 a        12     0     1     1    12
 -2.4177215469273985E-01 a        13     0     1     1    13
 -3.0039245898941456E+00 a        14     0     1     1    14
 -7.2969302749375864E-01 a        15     0     1     1    15
  1.8592316568436549E+00 a        16     0     1     1    16
  2.5313984712640023E+00 a        17     0     2     1     1
 -4.2278245168229915E+00 a        18     0     2     1     2
 -2.1062202450417002E+00 a        19     0     2     1     3
 -4.1611145841377466E+00 a        20     0     2     1     4
  1.5408275850932458E+00 a        21     0     2     1     5
  4.6865001471860923E-01 a        22     0     2     1     6
  1.5954690475646494E+00 a        23     0     2     1     7
  1.0130276635582955E+00 a        24     0     2     1     8
 -8.3141530443420264E-02 a        25     0     2     1     9
  3.5587695036262610E+00 a        26     0     2     1    10
 -8.6420017079172551E-01 a        27     0     2     1    11
 -4.1681822836675329E+00 a        28     0     2     1    12
 -4.0913689926288601E+00 a        29     0     2     1    13
  2.4936586280474580E+00 a        30     0     2     1    14
  1.2198478262878558E-01 a        31     0     2     1    15
 -1.0853734527843548E+00 a        32     0     2     1    16
 -1.3422398493346806E+01 a        33     0     3     1     1
  4.7848127052991929E+00 a        34     0     3     1     2
  2.6301873166981804E+00 a        35     0     3     1     3
  1.8092381611984745E+01 a        36     0     3     1     4
  1.8480368777873939E+00 a        37     0     3     1     5
 -1.6065627714894209E+01 a        38     0     3     1     6
  7.9153262458138967E+00 a        39     0     3     1     7
 -1.6119679309106967E+01 a        40     0     3     1     8
 -3.9577804484789274E+00 a        41     0     3     1     9
 -5.9482194100547323E+00 a        42     0     3     1    10
 -1.0797486568259993E+00 a        43     0     3     1    11
  3.5792159849238492E+00 a        44     0     3     1    12
  1.3929283163649442E+01 a        45     0     3     1    13
 -1.9707686918293144E+00 a        46     0     3     1    14
 -3.0130969879040923E+00 a        47     0     3     1    15
 -6.8115719666885504E+00 a        48     0     3     1    16
  2.1993631719423554E+01 a        49     0     4     1     1
 -7.8620872746314774E+00 a        50     0     4     1     2
  1.5290857049311007E-01 a        51     0     4     1     3
 -1.1825966707442017E+01 a        52     0     4     1     4
 -2.3489663421946934E+00 a        53     0     4     1     5
  3.6022587904506103E+01 a        54     0     4     1     6
 -2.7480861277046547E+01 a        55     0     4     1     7
  1.8845364489124933E+01 a        56     0     4     1     8
  1.6957039646167921E+01 a        57     0     4     1     9
  6.7127859882710581E+00 a        58     0     4     1    10
  9.2638534038386178E-01 a        59     0     4     1    11
 -2.7477659746796892E+00 a        60     0     4     1    12
 -1.7532942409759862E+01 a        61     0     4     1    13
  9.8321974494571567E+00 a        62     0     4     1    14
 -1.2169792667224007E+01 a        63     0     4     1    15
  2.4238491569138638E+01 a        64     0     4     1    16
  1.6974920010653280E+00 a        65     0     5     1     1
  3.3962200668923831E-02 a        66     0     5     1     2
  5.2643299879150152E-01 a        67     0     5     1     3
 -2.3845754456483667E-01 a        68     0     5     1     4
  5.3813892361144744E-01 a        69     0     5     1     5
 -7.5967539653824367E-01 a        70     0     5     1     6
 -3.4282450086193998E+00 a        71     0     5     1     7
  2.8869228720771450E-01 a        72     0     5     1     8
 -2.2695159566439158E+00 a        73     0     5     1     9
  5.3216380529257583E-02 a        74     0     5     1    10
  8.7969593428339665E-01 a        75     0     5     1    11
  1.4017171752361982E-01 a        76     0     5     1    12
  9.5462205264213085E-01 a        77     0     5     1    13
  1.2552872272619340E+00 a        78     0     5     1    14
 -1.2888674095159851E+00 a        79     0     5     1    15
  2.4931882907470074E-02 a        80     0     5     1    16
  9.9973410904275584E-01 a        81     0     6     1     1
  1.1297091634432306E+00 a        82     0     6     1     2
  1.8962065575188869E+00 a        83     0     6     1     3
  2.0390673344632906E+00 a        84     0     6     1     4
 -8.5030433618207313E-01 a        85     0     6     1     5
 -1.0882411470360367E-01 a        86     0     6     1     6
 -2.9824379165717843E+00 a        87     0     6     1     7
  3.3149488348624639E-01 a        88     0     6     1     8
 -1.2132595838252871E+00 a        89     0     6     1     9
 -1.4827562765194799E+00 a        90     0     6     1    10
  1.3868075746296977E+00 a        91     0     6     1    11
  1.5528044447943392E+00 a        92     0     6     1    12
  2.4700690868388335E+00 a        93     0     6     1    13
 -9.0652353695429477E-01 a        94     0     6     1    14
 -1.6539866097078675E+00 a        95     0     6     1    15
  2.4003099034596223E+00 a        96     0     6     1    16
 -1.3106135111868445E+01 a        97     0     7     1     1
  3.3086051690613085E+00 a        98     0     7     1     2
 -9.5047697882171143E+00 a        99     0     7     1     3
 -8.5497693252283327E+00 a       100     0     7     1     4
  3.5435540638354261E+00 a       101     0     7     1     5
 -2.9139223207345246E+01 a       102     0     7     1     6
  2.6097562861098837E+01 a       103     0     7     1     7
 -1.7116903067473999E+01 a       104     0     7     1     8
 -1.7493023945005952E+01 a       105     0     7     1     9
  3.3730914031666428E+00 a       106     0     7     1    10
 -5.5431131632064456E-01 a       107     0     7     1    11
 -6.7295634623539318E+00 a       108     0     7     1    12
  7.8227250729417470E+00 a       109     0     7     1    13
 -1.3958151102911883E+01 a       110     0     7     1    14
  2.9701465808632474E+01 a       111     0     7     1    15
 -2.5086805870963346E+01 a       112     0     7     1    16
  5.1183370202445522E+00 a       113     0     8     1     1
 -1.1072506053787939E-01 a       114     0     8     1     2
  6.3294321975476526E+00 a       115     0     8     1     3
  5.4641759195230009E+00 a       116     0     8     1     4
 -2.5534502119203775E+00 a       117     0     8     1     5
  1.0578458396740272E+01 a       118     0     8     1     6
 -1.0641576698038111E+01 a       119     0     8     1     7
  1.1969256255430968E+01 a       120     0     8     1     8
  6.9250813159068141E+00 a       121     0     8     1     9
 -3.5118310705800311E+00 a       122     0     8     1    10
  1.5951365741332766E+00 a       123     0     8     1    11
  6.3691208778522945E+00 a       124     0     8     1    12
 -1.9323783273312600E+00 a       125     0     8     1    13
  7.1226292647720104E+00 a       126     0     8     1    14
 -1.9995620440008036E+01 a       127     0     8     1    15
  1.1571027556057057E+01 a       128     0     8     1    16
 -4.0404928649116965E+00 a       129     0     9     1     1
 -8.9739667314767431E+00 a       130     0     9     1     2
  3.3059272824022461E+00 a       131     0     9     1     3
 -3.7516902382781967E+00 a       132     0     9     1     4
  1.4078351174333051E+01 a       133     0     9     1     5
 -1.1652417224338102E+01 a       134     0     9     1     6
  3.7477185685862087E+00 a       135     0     9     1     7
 -1.0508473703770532E+01 a       136     0     9     1     8
 -4.2235766486901767E+00 a       137     0     9     1     9
 -6.5917044054819640E-01 a       138     0     9     1    10
  5.2805024441192598E+00 a       139     0     9     1    11
  5.0162962087477956E+00 a       140     0     9     1    12
  1.8236726073336004E-01 a       141     0     9     1    13
 -1.5659446339583800E+00 a       142     0     9     1    14
 -3.5460851956479318E+00 a       143     0     9     1    15
 -7.9048699146538866E+00 a       144     0     9     1    16
  8.5499991367375827E+00 a       145     0    10     1     1
  1.3119115825324061E+00 a       146     0    10     1     2
  2.4698043131286789E+00 a       147     0    10     1     3
 -9.4913424836741509E+00 a       148     0    10     1     4
 -3.3489633968576688E-01 a       149     0    10     1     5
 -9.9853694132514281E+00 a       150     0    10     1     6
  1.7983742179122302E+00 a       151     0    10     1     7
  1.2281834840063516E+01 a       152     0    10     1     8
 -7.9190022161085931E+00 a       153     0    10     1     9
  1.1019323443682175E+01 a       154     0    10     1    10
  4.5857939460831680E+00 a       155     0    10     1    11
  7.0902288929803543E+00 a       156     0    10     1    12
  4.1805474101392956E+00 a       157     0    10     1    13
 -7.6418791513263598E+00 a       158     0    10     1    14
 -1.6942977119635372E-01 a       159     0    10     1    15
 -1.1602222217855696E+01 a       160     0    10     1    16
 -4.0840604740831994E+00 a       161     0    11     1     1
 -7.1205190652665875E+00 a       162     0    11     1     2
  1.9006595427741697E+01 a       163     0    11     1     3
 -1.8785236994245587E+01 a       164     0    11     1     4
 -1.5663583822525469E+01 a       165     0    11     1     5
 -1.9559827362789378E+01 a       166     0    11     1     6
  1.9042087132498853E+01 a       167     0    11     1     7
  1.0667689088125748E+01 a       168     0    11     1     8
 -5.5252871858336787E+00 a       169     0    11     1     9
  9.3714700229212475E+00 a       170     0    11     1    10
 -3.7475826667604020E+00 a       171     0    11     1    11
 -3.5716083202719067E+00 a       172     0    11     1    12
 -2.7012444982055288E+00 a       173     0    11     1    13
 -5.1390959757677939E+00 a       174     0    11     1    14
  1.0321634273922736E+01 a       175     0    11     1    15
 -5.7206470345145322E+00 a       176     0    11     1    16
 -2.4452009704999504E+01 a       177     0    12     1     1
  1.1045523014373761E+00 a       178     0    12     1     2
 -3.8594868400114805E+01 a       179     0    12     1     3
  7.2819901431910079E+00 a       180     0    12     1     4
  1.6757431818894492E+01 a       181     0    12     1     5
 -2.5487288110338664E+00 a       182     0    12     1     6
  4.1014132040470672E+00 a       183     0    12     1     7
 -1.0909864414824371E+01 a       184     0    12     1     8
 -1.3158452361359078E+01 a       185     0    12     1     9
  1.0573900022565106E+00 a       186     0    12     1    10
 -1.9258913165016612E+01 a       187     0    12     1    11
  1.3041239866741103E+00 a       188     0    12     1    12
  1.5330731661191253E+01 a       189     0    12     1    13
  2.5751154887496124E+01 a       190     0    12     1    14
  3.8958471980904648E+00 a       191     0    12     1    15
 -4.1706597910934100E+00 a       192     0    12     1    16
  1.1550871187863763E+01 a       193     0    13     1     1
 -3.9539101509602186E+00 a       194     0    13     1     2
 -6.1538508669081420E+00 a       195     0    13     1     3
 -1.6797367980973181E+01 a       196     0    13     1     4
