################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.6272816885194719E-02 a         1     0     1     1     1
  4.4471301363359605E-01 a         2     0     1     1     2
 -5.2632372351111179E-01 a         3     0     1     1     3
  2.2085619253908471E+00 a         4     0     1     1     4
 -1.4330721666922319E+00 a         5     0     1     1     5
  5.2181747467503892E-01 a         6     0     1     1     6
  3.8056130528324710E+00 a         7     0     1     1     7
  1.4595067840894651E+00 a         8     0     1     1     8
  2.4207079382945218E+00 a         9     0     1     1     9
  4.1454410885015291E-01 a        10     0     1     1    10
 -1.2081110707564764E+00 a        11     0     1     1    11
  1.4974477181561810E-01 a        12     0     1     1    12
  7.7832013787325938E-01 a        13     0     1     1    13
 -1.4790972026587286E+00 a        14     0     1     1    14
 -3.1842712217657021E+00 a        15     0     1     1    15
  1.9452379425182993E+00 a        16     0     1     1    16
  2.1399939579154303E-01 a        17     0     2     1     1
 -2.3362172001844743E+00 a        18     0     2     1     2
 -2.8259238779391788E-01 a        19     0     2     1     3
  1.2410866679236517E-01 a        20     0     2     1     4
  1.5655547677493165E+00 a        21     0     2     1     5
  8.3720990287635200E-01 a        22     0     2     1     6
  1.0072328369707026E+00 a        23     0     2     1     7
  8.2959109213177196E-01 a        24     0     2     1     8
 -1.2192616563668226E+00 a        25     0     2     1     9
  1.5111844439300592E+00 a        26     0     2     1    10
  1.1363985657394124E+00 a        27     0     2     1    11
 -5.0373810969328126E-01 a        28     0     2     1    12
 -2.8694807118303514E+00 a        29     0     2     1    13
  5.9330379420165287E-02 a        30     0     2     1    14
 -1.3643763976270358E+00 a        31     0     2     1    15
 -1.9506707279062634E+00 a        32     0     2     1    16
 -6.1435136769386700E+00 a        33     0     3     1     1
 -6.2973556021225701E+00 a        34     0     3     1     2
  3.3027037879693895E+00 a        35     0     3     1     3
  7.6189587492892032E+00 a        36     0     3     1     4
 -4.6394854191543372E-01 a        37     0     3     1     5
 -1.0029697038463029E+01 a        38     0     3     1     6
 -1.0551285080394863E+00 a        39     0     3     1     7
 -7.0057039489092547E+00 a        40     0     3     1     8
 -3.6889440513348228E+00 a        41     0     3     1     9
 -3.5351152989872938E+00 a        42     0     3     1    10
  4.7429749950374624E+00 a        43     0     3     1    11
  7.8766029951354062E+00 a        44     0     3     1    12
  5.0374967998167230E+00 a        45     0     3     1    13
  2.1220527458928427E+00 a        46     0     3     1    14
 -1.0125975208941316E+01 a        47     0     3     1    15
  4.2521880030717893E+00 a        48     0     3     1    16
  1.0452298104047459E+01 a        49     0     4     1     1
  9.8337146042516448E+00 a        50     0     4     1     2
 -5.2070979828351867E+00 a        51     0     4     1     3
