################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4028805274949629E+00 a         1     0     1     1     1
 -1.5935475530353274E+00 a         2     0     1     1     2
 -1.6589057729563723E+00 a         3     0     1     1     3
  3.8318277827226015E+00 a         4     0     1     1     4
 -3.4098274669491491E-01 a         5     0     1     1     5
  2.9672742301077051E+00 a         6     0     1     1     6
  3.7804141425487408E+00 a         7     0     1     1     7
  7.1807984180693041E-01 a         8     0     1     1     8
 -2.0245729972018363E+00 a         9     0     1     1     9
  1.1638848851966248E+00 a        10     0     1     1    10
 -2.8602182989127591E+00 a        11     0     1     1    11
  4.0743328652903301E+00 a        12     0     1     1    12
 -5.7919922705419025E-01 a        13     0     1     1    13
 -1.9891289922659183E-01 a        14     0     1     1    14
 -2.3152331126023831E+00 a        15     0     1     1    15
  1.2850686042383672E+00 a        16     0     1     1    16
  5.4884291030862835E+00 a        17     0     1     1    17
 -1.1771183858915317E+00 a        18     0     1     1    18
  5.3985370932396137E-01 a        19     0     1     1    19
 -1.7628313230144508E+00 a        20     0     1     1    20
 -2.3936791226620946E-01 a        21     0     1     1    21
 -1.4367403518633550E+00 a        22     0     1     1    22
 -1.6798542848505862E+00 a        23     0     1     1    23
  3.1988911162613656E+00 a        24     0     1     1    24
 -1.6896386577225200E-01 a        25     0     2     1     1
 -1.6007389097375326E+00 a        26     0     2     1     2
 -4.1535698118425490E-01 a        27     0     2     1     3
 -1.6521437322376611E+00 a        28     0     2     1     4
 -4.3839509338088117E-01 a        29     0     2     1     5
 -2.7725019488540465E+00 a        30     0     2     1     6
 -1.1964822530550334E-01 a        31     0     2     1     7
  3.1764959773376296E+00 a        32     0     2     1     8
  2.8808291335305736E-01 a        33     0     2     1     9
 -1.1610610839846129E+00 a        34     0     2     1    10
  1.2433548205768445E+00 a        35     0     2     1    11
  3.3747294334719924E+00 a        36     0     2     1    12
 -1.5952683885215704E+00 a        37     0     2     1    13
 -2.9107837976466331E+00 a        38     0     2     1    14
  3.5621904130045259E+00 a        39     0     2     1    15
  1.4521121405341333E+00 a        40     0     2     1    16
 -2.6977574139113423E+00 a        41     0     2     1    17
 -2.7760511378400299E+00 a        42     0     2     1    18
  4.0056045848448658E+00 a        43     0     2     1    19
  2.0890034222903324E+00 a        44     0     2     1    20
 -6.7042209239341233E-02 a        45     0     2     1    21
 -3.5909257441278702E-01 a        46     0     2     1    22
 -2.0138832853320160E-01 a        47     0     2     1    23
 -1.1424504489046592E+00 a        48     0     2     1    24
 -2.5131208986854370E+00 a        49     0     3     1     1
  3.2412365647505350E+00 a        50     0     3     1     2
  1.2488639585628446E+01 a        51     0     3     1     3
  2.7241289094044641E+00 a        52     0     3     1     4
  5.6692275497271973E+00 a        53     0     3     1     5
  9.4345810669271284E+00 a        54     0     3     1     6
  1.6507445793203297E+00 a        55     0     3     1     7
