################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.7181168329737968E-01 a         1     0     1     1     1
 -1.7298025203617542E+00 a         2     0     1     1     2
 -1.7937319075731881E+00 a         3     0     1     1     3
  3.3467747858655725E+00 a         4     0     1     1     4
 -3.9701801004574805E-01 a         5     0     1     1     5
  3.2275191493018633E+00 a         6     0     1     1     6
  5.2287862965239107E+00 a         7     0     1     1     7
  1.1524921940197776E+00 a         8     0     1     1     8
 -1.2295059853686592E+00 a         9     0     1     1     9
  1.2654928017427478E+00 a        10     0     1     1    10
 -2.4044935587150627E+00 a        11     0     1     1    11
  5.1261629195656768E+00 a        12     0     1     1    12
  1.0323464399081737E+00 a        13     0     1     1    13
 -1.5563999037791263E+00 a        14     0     1     1    14
 -3.7890273456326731E+00 a        15     0     1     1    15
  9.6844154472933486E-01 a        16     0     1     1    16
  6.2875127278334499E+00 a        17     0     1     1    17
  1.4030237731980280E+00 a        18     0     1     1    18
  1.0747422787645742E+00 a        19     0     1     1    19
 -1.4285819349733744E-01 a        20     0     1     1    20
  7.8625299293234796E-01 a        21     0     1     1    21
 -1.5081581703210889E+00 a        22     0     1     1    22
 -1.1698249061290338E+00 a        23     0     1     1    23
  4.9311781108696540E+00 a        24     0     1     1    24
 -1.8931284750609981E-01 a        25     0     2     1     1
 -1.4590315061224362E+00 a        26     0     2     1     2
  1.0569497489861369E-01 a        27     0     2     1     3
 -1.4990750929045575E+00 a        28     0     2     1     4
 -2.4972728134949702E+00 a        29     0     2     1     5
 -2.0780078198763912E+00 a        30     0     2     1     6
  1.3727605852573493E-01 a        31     0     2     1     7
  4.1841552913280404E+00 a        32     0     2     1     8
 -1.6735451153906165E+00 a        33     0     2     1     9
 -1.4015627276705684E+00 a        34     0     2     1    10
  1.7322566366548080E+00 a        35     0     2     1    11
  3.9657370226118678E+00 a        36     0     2     1    12
 -2.1149167847311863E+00 a        37     0     2     1    13
 -5.6176331376594897E+00 a        38     0     2     1    14
  4.5804551962304645E+00 a        39     0     2     1    15
  3.1974134986171805E+00 a        40     0     2     1    16
 -2.5318328028938635E+00 a        41     0     2     1    17
 -3.0693075167741299E+00 a        42     0     2     1    18
  5.2361341885842867E+00 a        43     0     2     1    19
  4.4997732476534766E+00 a        44     0     2     1    20
 -7.1969140582529378E-01 a        45     0     2     1    21
 -1.4232464010304959E+00 a        46     0     2     1    22
  4.8590571318288212E-01 a        47     0     2     1    23
  1.4661044106013277E+00 a        48     0     2     1    24
  2.6502477070116308E+00 a        49     0     3     1     1
  4.5744185120483607E+00 a        50     0     3     1     2
  1.1802473167437926E+01 a        51     0     3     1     3
  3.8049613543114147E-01 a        52     0     3     1     4
  5.8096375275530070E+00 a        53     0     3     1     5
  1.2110203193608774E+01 a        54     0     3     1     6
 -2.1601537156040632E-01 a        55     0     3     1     7
 -2.0211448850072372E-01 a        56     0     3     1     8
 -3.6376585253546008E+00 a        57     0     3     1     9
  8.8134083554762555E+00 a        58     0     3     1    10
 -1.0202086196546839E+01 a        59     0     3     1    11
  2.2109483166945019E+00 a        60     0     3     1    12
 -6.0592035559271640E-01 a        61     0     3     1    13
 -4.5696571908488552E+00 a        62     0     3     1    14
 -5.4276139159300945E+00 a        63     0     3     1    15
  6.9304748526706126E+00 a        64     0     3     1    16
 -2.9626430001720645E+00 a        65     0     3     1    17
  3.4001153009124152E-01 a        66     0     3     1    18
 -5.4910968597783780E+00 a        67     0     3     1    19
