################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4772608968362645E+01 a         1     0     1     1     1
 -2.7962782337013270E+01 a         2     0     1     1     2
  1.8765539318568951E+01 a         3     0     1     1     3
  5.0326527535300603E+00 a         4     0     1     1     4
  1.8567457380072049E+01 a         5     0     1     1     5
  2.9359318208115068E+00 a         6     0     1     1     6
 -1.7106774179429486E+01 a         7     0     1     1     7
 -1.8969923130768005E+00 a         8     0     1     1     8
  1.1172696461693217E+01 a         9     0     1     1     9
  4.2774081385148255E-01 a        10     0     1     1    10
 -7.3259715560993599E-01 a        11     0     1     1    11
 -8.6672268795873304E+00 a        12     0     1     1    12
  1.8860031374363739E+01 a        13     0     1     1    13
 -7.6523672560979303E+00 a        14     0     1     1    14
 -7.3663462284179104E+00 a        15     0     1     1    15
  5.9879689846335742E+00 a        16     0     1     1    16
 -4.5988986774381662E+00 a        17     0     1     1    17
  8.2652245083563507E+00 a        18     0     1     1    18
 -1.0422820587402208E+01 a        19     0     1     1    19
  1.6649181179440842E+00 a        20     0     1     1    20
 -1.1887657938780722E+01 a        21     0     1     1    21
 -6.7454234907245869E+00 a        22     0     1     1    22
 -3.8522701295508828E+00 a        23     0     1     1    23
 -1.1924136869591711E+01 a        24     0     1     1    24
  3.1791970899663995E+00 a        25     0     2     1     1
 -2.9259285773988823E+00 a        26     0     2     1     2
  1.2063097665692148E+00 a        27     0     2     1     3
  1.8358765686254435E+00 a        28     0     2     1     4
  2.2609263072179542E+00 a        29     0     2     1     5
  9.0825342489768417E+00 a        30     0     2     1     6
  4.2907437010463284E-01 a        31     0     2     1     7
 -1.4110172522623918E+00 a        32     0     2     1     8
 -1.8908438368648950E+00 a        33     0     2     1     9
  9.5232337815609434E+00 a        34     0     2     1    10
  5.3551434517015446E+00 a        35     0     2     1    11
  3.2883625100791631E+00 a        36     0     2     1    12
  2.9088239418031447E+00 a        37     0     2     1    13
 -3.3555813972756727E+00 a        38     0     2     1    14
 -2.5032381161588297E+00 a        39     0     2     1    15
 -1.3767144444204276E+00 a        40     0     2     1    16
  7.8498723711093170E+00 a        41     0     2     1    17
  6.5921465757828246E-01 a        42     0     2     1    18
 -3.0968575009294441E+00 a        43     0     2     1    19
  1.1933802317628681E+01 a        44     0     2     1    20
 -5.9854504966763651E+00 a        45     0     2     1    21
 -4.5269208976253745E+00 a        46     0     2     1    22
  7.4966814245238931E+00 a        47     0     2     1    23
 -7.5620778528401142E-02 a        48     0     2     1    24
 -1.1440995013502411E+00 a        49     0     3     1     1
 -3.3438652162499367E+00 a        50     0     3     1     2
  7.7080513750593571E+00 a        51     0     3     1     3
  1.3495514126116879E+00 a        52     0     3     1     4
  5.5766951137075873E+00 a        53     0     3     1     5
  7.4007995697634499E+00 a        54     0     3     1     6
  3.7050296501495188E+00 a        55     0     3     1     7
 -2.6769812445117562E+00 a        56     0     3     1     8
  2.4237496956175284E+00 a        57     0     3     1     9
 -3.9088576106642875E-02 a        58     0     3     1    10
  2.8444945585576054E-01 a        59     0     3     1    11
  3.6055535025377003E+00 a        60     0     3     1    12
  4.7827807852975370E+00 a        61     0     3     1    13
  1.7760387293248512E+00 a        62     0     3     1    14
 -1.7814548789209964E-01 a        63     0     3     1    15
  1.3056764236234895E+00 a        64     0     3     1    16
  1.0205610523467821E+00 a        65     0     3     1    17
  2.4925580557329359E+00 a        66     0     3     1    18
 -6.9108624732097104E+00 a        67     0     3     1    19
  8.7337834903832796E+00 a        68     0     3     1    20
 -9.5642527983272463E-01 a        69     0     3     1    21
 -1.6511776614413674E+00 a        70     0     3     1    22
 -5.4821022146290073E+00 a        71     0     3     1    23
  1.1841138166772534E+00 a        72     0     3     1    24
 -1.4644001304916923E+01 a        73     0     4     1     1
  2.6121506276285434E+01 a        74     0     4     1     2
 -1.3498737317367659E+01 a        75     0     4     1     3
 -4.2118966367864097E+00 a        76     0     4     1     4
 -2.0266976582615083E+01 a        77     0     4     1     5
 -2.4477299425776078E+00 a        78     0     4     1     6
  1.6881131232961600E+01 a        79     0     4     1     7
  3.2157194041640378E+00 a        80     0     4     1     8
 -1.3339054412698925E+01 a        81     0     4     1     9
  2.3360731634746745E+00 a        82     0     4     1    10
  2.1942681521387826E+00 a        83     0     4     1    11
  7.9811187701467485E+00 a        84     0     4     1    12
 -2.0862133883248518E+01 a        85     0     4     1    13
  7.5520956243555748E+00 a        86     0     4     1    14
  8.9187048446228285E+00 a        87     0     4     1    15
 -6.1414078789875548E+00 a        88     0     4     1    16
  6.2872713920319692E+00 a        89     0     4     1    17
 -9.4819607218831283E+00 a        90     0     4     1    18
  6.7008599317995259E+00 a        91     0     4     1    19
 -2.0927094530148591E+00 a        92     0     4     1    20
  1.0688382797566328E+01 a        93     0     4     1    21
  3.4928818988514738E+00 a        94     0     4     1    22
  8.3570386143976165E+00 a        95     0     4     1    23
  1.2835688245072385E+01 a        96     0     4     1    24
 -1.5735324994706710E+00 a        97     0     5     1     1
  1.6326369232425348E+00 a        98     0     5     1     2
 -3.7640757868679713E+00 a        99     0     5     1     3
 -4.6002211880298366E-01 a       100     0     5     1     4
  1.8754971730386818E+00 a       101     0     5     1     5
 -8.7763670976717805E+00 a       102     0     5     1     6
 -8.0661292498108150E-01 a       103     0     5     1     7
  2.4998541584525764E+00 a       104     0     5     1     8
  2.4426263627017080E+00 a       105     0     5     1     9
 -1.0271341068930512E+01 a       106     0     5     1    10
 -6.1023125115515215E+00 a       107     0     5     1    11
 -1.4819168802500751E+00 a       108     0     5     1    12
 -4.5269445851887404E+00 a       109     0     5     1    13
  3.2806084366002581E+00 a       110     0     5     1    14
  3.1139975244052103E+00 a       111     0     5     1    15
  3.9898614629847535E+00 a       112     0     5     1    16
 -6.4089414771884829E+00 a       113     0     5     1    17
 -4.0245480204043975E+00 a       114     0     5     1    18
 -2.5759165368166439E+00 a       115     0     5     1    19
 -1.6857434589772488E+01 a       116     0     5     1    20
  9.2207011184507444E+00 a       117     0     5     1    21
  4.4220007520077242E+00 a       118     0     5     1    22
 -9.7841281103493039E+00 a       119     0     5     1    23
  1.9920089382666048E-01 a       120     0     5     1    24
  3.4627357479887655E+00 a       121     0     6     1     1
 -5.6039960084930112E+00 a       122     0     6     1     2
  5.1286471572768222E-01 a       123     0     6     1     3
  3.7256869257327918E-01 a       124     0     6     1     4
  5.2453997592704038E+00 a       125     0     6     1     5
  1.1296287795870673E-01 a       126     0     6     1     6
 -3.6658743658695103E+00 a       127     0     6     1     7
 -1.3424736263077857E+00 a       128     0     6     1     8
  3.7372557629535947E+00 a       129     0     6     1     9
 -1.6938681090345680E+00 a       130     0     6     1    10
 -1.3745068645551353E+00 a       131     0     6     1    11
 -8.5247362437448249E-01 a       132     0     6     1    12
  5.1191237477376692E+00 a       133     0     6     1    13
 -1.5836486929761124E+00 a       134     0     6     1    14
 -2.1824245284079473E+00 a       135     0     6     1    15
  1.5165428140442565E+00 a       136     0     6     1    16
 -1.7121573316506744E+00 a       137     0     6     1    17
  2.2708468117246849E+00 a       138     0     6     1    18
 -8.0925443298905053E-01 a       139     0     6     1    19
 -6.8477722701156407E-01 a       140     0     6     1    20
 -1.4608092377404878E+00 a       141     0     6     1    21
  4.7264536648332800E-01 a       142     0     6     1    22
 -3.8080756729645908E+00 a       143     0     6     1    23
 -3.0775021867835011E+00 a       144     0     6     1    24
  7.7198508458598958E-01 a       145     0     7     1     1
  1.2575812441199146E+00 a       146     0     7     1     2
 -3.2552571257602696E+00 a       147     0     7     1     3
  3.7636804490413389E-01 a       148     0     7     1     4
  3.5846810308877436E-01 a       149     0     7     1     5
 -1.3600378451709714E+00 a       150     0     7     1     6
 -2.1723780720805008E+00 a       151     0     7     1     7
 -1.2223170771532756E+00 a       152     0     7     1     8
 -9.6559047628948416E-02 a       153     0     7     1     9
 -8.3911688452380206E-01 a       154     0     7     1    10
 -2.1038102261801965E+00 a       155     0     7     1    11
 -2.4671631524012798E+00 a       156     0     7     1    12
 -1.1460002857035767E+00 a       157     0     7     1    13
 -1.5297549207498533E+00 a       158     0     7     1    14
  1.8206263563691533E-01 a       159     0     7     1    15
 -1.8786688114086991E-01 a       160     0     7     1    16
  1.2464179119942764E+00 a       161     0     7     1    17
 -1.2127617875987353E+00 a       162     0     7     1    18
  1.3507063292036712E+00 a       163     0     7     1    19
 -2.6439680694163141E+00 a       164     0     7     1    20
  9.0917365587955216E-03 a       165     0     7     1    21
 -4.4746075040595051E-01 a       166     0     7     1    22
