################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.2792629713457986E+00 a         1     0     1     1     1
 -2.2380766164009622E+00 a         2     0     1     1     2
 -7.5359001603736369E+00 a         3     0     1     1     3
 -1.7550667876560052E+01 a         4     0     1     1     4
 -1.1011147834444603E+01 a         5     0     1     1     5
  1.1281823236492517E+01 a         6     0     1     1     6
 -4.9842624647671832E+00 a         7     0     1     1     7
 -7.3287613879879752E+00 a         8     0     1     1     8
 -5.8819493169335741E+00 a         9     0     1     1     9
 -4.5563328111551993E+00 a        10     0     1     1    10
  2.3929919023446359E+01 a        11     0     1     1    11
 -1.1343625849010815E+01 a        12     0     1     1    12
  1.1169147642633575E+01 a        13     0     1     1    13
  6.2746611320418832E+00 a        14     0     1     1    14
  1.2051976811179819E+00 a        15     0     1     1    15
 -1.1189274303091088E+01 a        16     0     1     1    16
  6.1147131470454399E+00 a        17     0     2     1     1
 -5.9624380684698126E+00 a        18     0     2     1     2
 -1.0746019749307008E+00 a        19     0     2     1     3
 -5.7173233893982145E+00 a        20     0     2     1     4
 -2.2080450136373773E+00 a        21     0     2     1     5
 -2.2594768498399928E-01 a        22     0     2     1     6
  4.3193167862402077E-01 a        23     0     2     1     7
  5.0210891937000905E+00 a        24     0     2     1     8
 -2.1651750940325702E+00 a        25     0     2     1     9
  5.3718685758119868E-02 a        26     0     2     1    10
 -1.1636258773880117E+00 a        27     0     2     1    11
  6.0426109310838889E+00 a        28     0     2     1    12
  8.9064693931271890E+00 a        29     0     2     1    13
 -3.9411046566490748E+00 a        30     0     2     1    14
 -2.8159442406627155E+00 a        31     0     2     1    15
  1.4763653767194432E+01 a        32     0     2     1    16
  9.5644460563066716E+00 a        33     0     3     1     1
 -7.7149289955778844E-01 a        34     0     3     1     2
  5.8707960525668526E+00 a        35     0     3     1     3
 -7.2039963557560194E-01 a        36     0     3     1     4
  1.3553027722391755E+00 a        37     0     3     1     5
  1.7818850351492062E+00 a        38     0     3     1     6
 -7.6078504427064342E+00 a        39     0     3     1     7
  3.2274201038673911E+00 a        40     0     3     1     8
  4.8934261863445165E+00 a        41     0     3     1     9
 -4.7862715782498402E+00 a        42     0     3     1    10
  1.3564744006831317E-01 a        43     0     3     1    11
 -6.7680421597700606E+00 a        44     0     3     1    12
  3.0471650037960347E+00 a        45     0     3     1    13
  8.1574415965951825E+00 a        46     0     3     1    14
 -2.7554448172663726E-01 a        47     0     3     1    15
  6.4269263772158514E+00 a        48     0     3     1    16
  5.7314260736838452E-01 a        49     0     4     1     1
 -3.7643271627686996E+00 a        50     0     4     1     2
  4.0082645244248276E+00 a        51     0     4     1     3
  1.2029898101300123E+01 a        52     0     4     1     4
  1.0878395199672905E+01 a        53     0     4     1     5
 -8.7878640310681089E+00 a        54     0     4     1     6
  7.4975012191548505E+00 a        55     0     4     1     7
  1.2439619480805007E+01 a        56     0     4     1     8
  8.2178925485250733E+00 a        57     0     4     1     9
  3.3549896619854258E+00 a        58     0     4     1    10
 -2.7325755577626840E+01 a        59     0     4     1    11
  1.1044512513747772E+01 a        60     0     4     1    12
 -1.7816486685605586E+01 a        61     0     4     1    13
 -8.1082765649683139E+00 a        62     0     4     1    14
 -1.9640469475186102E+00 a        63     0     4     1    15
  1.4459012303045247E+01 a        64     0     4     1    16
 -7.9884085156231679E+00 a        65     0     5     1     1
  4.2607884153059894E+00 a        66     0     5     1     2
 -4.6747083451037161E+00 a        67     0     5     1     3
  7.6331090651917508E+00 a        68     0     5     1     4
  1.3197333776896766E-01 a        69     0     5     1     5
  2.6784095032756350E-01 a        70     0     5     1     6
  3.3779436045587228E+00 a        71     0     5     1     7
  7.2450724766162642E+00 a        72     0     5     1     8
  3.8175184106819493E-01 a        73     0     5     1     9
  2.8900036697101839E+00 a        74     0     5     1    10
  4.4966821648623662E-01 a        75     0     5     1    11
 -4.3851549309738385E+00 a        76     0     5     1    12
 -1.2186189782371748E+01 a        77     0     5     1    13
  7.4384961285287474E+00 a        78     0     5     1    14
  4.4316267149349269E+00 a        79     0     5     1    15
 -1.5123277118112160E+01 a        80     0     5     1    16
  5.8810821394298596E-01 a        81     0     6     1     1
  1.7413582403015047E+00 a        82     0     6     1     2
 -3.5070064282634189E-01 a        83     0     6     1     3
 -1.6120736656534596E+00 a        84     0     6     1     4
 -2.9061293006206990E+00 a        85     0     6     1     5
  1.1380623310907745E+00 a        86     0     6     1     6
 -1.0975063182024498E+00 a        87     0     6     1     7
 -2.3056784078446366E+00 a        88     0     6     1     8
 -2.5079769731222652E+00 a        89     0     6     1     9
  1.5279043706075524E-01 a        90     0     6     1    10
  5.8175893657462048E+00 a        91     0     6     1    11
 -2.1392702145272793E+00 a        92     0     6     1    12
  5.1073787075489054E+00 a        93     0     6     1    13
  2.1387213054389509E+00 a        94     0     6     1    14
  5.7533337941046359E-01 a        95     0     6     1    15
 -3.0177593080262759E+00 a        96     0     6     1    16
 -4.6331273960684110E+00 a        97     0     7     1     1
  1.7517974307957791E+00 a        98     0     7     1     2
 -1.8577097825609081E+00 a        99     0     7     1     3
 -6.4292442454917520E-01 a       100     0     7     1     4
 -1.1803775010672510E+00 a       101     0     7     1     5
 -1.8052014855742955E+00 a       102     0     7     1     6
  1.5342863960546402E+00 a       103     0     7     1     7
 -4.6252585483930037E-01 a       104     0     7     1     8
 -1.7796200711053582E+00 a       105     0     7     1     9
  2.9923745418861740E+00 a       106     0     7     1    10
 -5.4258962625206064E-01 a       107     0     7     1    11
  3.3191172246970284E+00 a       108     0     7     1    12
 -2.8232607992985281E-01 a       109     0     7     1    13
 -2.2881463459496083E+00 a       110     0     7     1    14
  3.0173685472355636E-03 a       111     0     7     1    15
 -1.9432257022259194E+00 a       112     0     7     1    16
 -3.7786785393489020E-01 a       113     0     8     1     1
 -5.2874633051694273E+00 a       114     0     8     1     2
  9.0543805707824931E-01 a       115     0     8     1     3
 -4.0109377942641684E+00 a       116     0     8     1     4
 -2.0348556488991414E+00 a       117     0     8     1     5
 -3.6645149343523999E+00 a       118     0     8     1     6
 -2.0807699926853216E+00 a       119     0     8     1     7
 -1.3192969721005070E+01 a       120     0     8     1     8
 -1.3984161437333658E+00 a       121     0     8     1     9
  9.9803169018743276E-01 a       122     0     8     1    10
 -3.2657878270484414E-01 a       123     0     8     1    11
  2.6594722703771367E+00 a       124     0     8     1    12
