################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.6762537937416848E+00 a         1     0     1     1     1
  1.3921700114388316E+00 a         2     0     1     1     2
  4.1391779185657436E+00 a         3     0     1     1     3
  2.6904396380665325E+00 a         4     0     1     1     4
 -5.1165711327405718E+00 a         5     0     1     1     5
 -4.8402597404060560E-01 a         6     0     1     1     6
  7.3641864873349627E-01 a         7     0     1     1     7
  4.0864049064259866E+00 a         8     0     1     1     8
  4.7691987621557459E+00 a         9     0     1     1     9
 -2.3155086332577715E+00 a        10     0     1     1    10
 -2.0514769127448673E-01 a        11     0     1     1    11
  1.5911864358575014E+00 a        12     0     1     1    12
  7.4508324257099334E-01 a        13     0     1     1    13
 -5.6304522363486349E+00 a        14     0     1     1    14
 -1.2899459528846099E-02 a        15     0     1     1    15
  2.4204863661463207E+00 a        16     0     1     1    16
  2.6376146401090783E+00 a        17     0     2     1     1
 -3.9480207392959383E+00 a        18     0     2     1     2
 -1.4466564434694729E+00 a        19     0     2     1     3
 -4.1482219886828000E+00 a        20     0     2     1     4
  1.9265250059775871E+00 a        21     0     2     1     5
  3.9064215823581805E-01 a        22     0     2     1     6
  3.3370660800528912E-01 a        23     0     2     1     7
  1.3378290252689924E+00 a        24     0     2     1     8
  6.5791517395959742E-01 a        25     0     2     1     9
  2.5359318561360240E+00 a        26     0     2     1    10
 -1.8388787620358007E+00 a        27     0     2     1    11
 -5.0260503696117169E+00 a        28     0     2     1    12
 -3.8549497149933480E+00 a        29     0     2     1    13
  1.0695419952889837E+00 a        30     0     2     1    14
  7.0815494328696316E-01 a        31     0     2     1    15
 -3.7248163000573660E-02 a        32     0     2     1    16
 -9.4601810324758375E+00 a        33     0     3     1     1
  1.0926259280492703E+01 a        34     0     3     1     2
 -2.3695043869926904E+00 a        35     0     3     1     3
  4.1313707495448497E+00 a        36     0     3     1     4
  3.4585887710640324E+00 a        37     0     3     1     5
 -1.8792877018546346E+01 a        38     0     3     1     6
  1.9744454029991925E+01 a        39     0     3     1     7
 -1.7453588260935959E+01 a        40     0     3     1     8
 -5.2776130135283763E+00 a        41     0     3     1     9
 -2.2292958421610001E+00 a        42     0     3     1    10
  3.4281074459720942E+00 a        43     0     3     1    11
  9.0707502271826677E+00 a        44     0     3     1    12
  1.7817100250250501E+01 a        45     0     3     1    13
 -1.5714466599768144E+01 a        46     0     3     1    14
 -3.9431130537413481E+00 a        47     0     3     1    15
 -1.3010993764679680E+01 a        48     0     3     1    16
  1.8696398628879312E+01 a        49     0     4     1     1
 -1.6764020033669997E+01 a        50     0     4     1     2
  7.8446967728377732E+00 a        51     0     4     1     3
  1.2983897968009632E+01 a        52     0     4     1     4
 -5.2634312403552705E+00 a        53     0     4     1     5
  4.0780979767517231E+01 a        54     0     4     1     6
 -4.6026176918285550E+01 a        55     0     4     1     7
  1.9863594242210375E+01 a        56     0     4     1     8
  2.0378121974386747E+01 a        57     0     4     1     9
  1.8842878070177125E+00 a        58     0     4     1    10
 -6.9811925254463398E+00 a        59     0     4     1    11
 -1.2435283031670487E+01 a        60     0     4     1    12
 -2.2606816244806332E+01 a        61     0     4     1    13
  3.0925138743196612E+01 a        62     0     4     1    14
 -1.5766982167989219E+01 a        63     0     4     1    15
  3.8950742211353251E+01 a        64     0     4     1    16
  9.9505383515736023E-01 a        65     0     5     1     1
 -4.9752235637133735E-01 a        66     0     5     1     2
  4.4080742791010485E-02 a        67     0     5     1     3
  5.0115021149716577E-01 a        68     0     5     1     4
  1.3607963993936496E+00 a        69     0     5     1     5
  6.9252063795200075E-02 a        70     0     5     1     6
 -3.0554499096831189E+00 a        71     0     5     1     7
  1.5953682282667295E-01 a        72     0     5     1     8
 -2.3868442936038869E+00 a        73     0     5     1     9
  6.0206211101642426E-01 a        74     0     5     1    10
  8.1683391294228336E-01 a        75     0     5     1    11
 -1.3972959195308335E-01 a        76     0     5     1    12
  9.5960637109828972E-01 a        77     0     5     1    13
  2.6651621885620589E+00 a        78     0     5     1    14
 -2.2530058899888115E+00 a        79     0     5     1    15
  7.8428461455716647E-01 a        80     0     5     1    16
  9.2087997135464394E-01 a        81     0     6     1     1
  1.1565029831697229E+00 a        82     0     6     1     2
  1.9470178641316778E+00 a        83     0     6     1     3
  2.3345209327376963E+00 a        84     0     6     1     4
 -8.5713069513895501E-01 a        85     0     6     1     5
  8.0512757350659700E-02 a        86     0     6     1     6
 -2.4160304657131211E+00 a        87     0     6     1     7
  4.4714610004688911E-02 a        88     0     6     1     8
 -1.0533261248709074E+00 a        89     0     6     1     9
 -1.2191073229873941E+00 a        90     0     6     1    10
  1.8168359512954393E+00 a        91     0     6     1    11
  1.6736330600845390E+00 a        92     0     6     1    12
  2.3203883746407663E+00 a        93     0     6     1    13
 -9.6111565213813366E-02 a        94     0     6     1    14
 -2.2013035858788297E+00 a        95     0     6     1    15
  2.3050666038686560E+00 a        96     0     6     1    16
 -1.4771588917851833E+01 a        97     0     7     1     1
  1.0212550839766672E+01 a        98     0     7     1     2
 -1.6318656122693099E+01 a        99     0     7     1     3
 -2.7110883309026082E+01 a       100     0     7     1     4
  8.7150449400049173E+00 a       101     0     7     1     5
 -3.0633623293907039E+01 a       102     0     7     1     6
  3.8907066219864866E+01 a       103     0     7     1     7
 -1.7806503001393153E+01 a       104     0     7     1     8
 -1.9068191812953916E+01 a       105     0     7     1     9
  3.7382341091293445E+00 a       106     0     7     1    10
  5.5747019475396531E+00 a       107     0     7     1    11
  4.6059657757671391E-01 a       108     0     7     1    12
  9.5674618788370918E+00 a       109     0     7     1    13
 -2.7345447769090068E+01 a       110     0     7     1    14
  3.3721942281154377E+01 a       111     0     7     1    15
 -3.6340431996892690E+01 a       112     0     7     1    16
  6.6648560828397301E+00 a       113     0     8     1     1
 -3.3360068593177212E+00 a       114     0     8     1     2
  8.8269524584301511E+00 a       115     0     8     1     3
  1.2726293134319603E+01 a       116     0     8     1     4
 -5.3747218171125288E+00 a       117     0     8     1     5
  1.0706834884756725E+01 a       118     0     8     1     6
 -1.5310136832972876E+01 a       119     0     8     1     7
  1.2130328058128349E+01 a       120     0     8     1     8
  7.5939177170397461E+00 a       121     0     8     1     9
 -2.7122072550693712E+00 a       122     0     8     1    10
 -1.0348667881412148E+00 a       123     0     8     1    11
  3.3516723697468112E+00 a       124     0     8     1    12
 -2.3928734955933630E+00 a       125     0     8     1    13
  1.2162167965841240E+01 a       126     0     8     1    14
 -2.1427721149820595E+01 a       127     0     8     1    15
  1.5986436141908507E+01 a       128     0     8     1    16
 -2.7037631950210834E+01 a       129     0     9     1     1
 -1.1771816185406246E+01 a       130     0     9     1     2
  2.1814333721903424E+01 a       131     0     9     1     3
  2.7420579230895825E+00 a       132     0     9     1     4
  1.9412027922867146E+01 a       133     0     9     1     5
 -1.5996827565359860E+01 a       134     0     9     1     6
  3.3124612001797731E+00 a       135     0     9     1     7
 -1.3023225100871606E+01 a       136     0     9     1     8
 -1.3634864771136877E+01 a       137     0     9     1     9
  1.5875480301244130E+01 a       138     0     9     1    10
  1.3425861819417824E+01 a       139     0     9     1    11
 -1.8512240495243641E+00 a       140     0     9     1    12
 -1.0655262430107907E+01 a       141     0     9     1    13
 -3.3188092779872584E+00 a       142     0     9     1    14
 -9.6594215678625128E-01 a       143     0     9     1    15
 -2.8313378275863823E+01 a       144     0     9     1    16
  6.7709405277976131E+00 a       145     0    10     1     1
  8.6744755765454973E-01 a       146     0    10     1     2
  2.0791173236573584E+00 a       147     0    10     1     3
 -1.2914049713367353E+01 a       148     0    10     1     4
 -7.0557142585257548E-01 a       149     0    10     1     5
 -1.1431398927125439E+01 a       150     0    10     1     6
  2.4574515005847961E+00 a       151     0    10     1     7
  1.5283719548012542E+01 a       152     0    10     1     8
 -1.2267044645486706E+01 a       153     0    10     1     9
  1.2385992766358227E+01 a       154     0    10     1    10
  5.6669639281569051E+00 a       155     0    10     1    11
  1.0309043347398779E+01 a       156     0    10     1    12
  3.9962876987916069E+00 a       157     0    10     1    13
 -8.4760780949783161E+00 a       158     0    10     1    14
  5.3989752869830268E+00 a       159     0    10     1    15
 -1.6240660643951319E+01 a       160     0    10     1    16
 -2.6473451806773975E+00 a       161     0    11     1     1
 -9.3248447451784386E+00 a       162     0    11     1     2
  3.9109752936247375E+01 a       163     0    11     1     3
 -1.6581734833437444E+01 a       164     0    11     1     4
 -3.5300422511135118E+01 a       165     0    11     1     5
 -3.2757029832426184E+01 a       166     0    11     1     6
  9.9006056119793175E+00 a       167     0    11     1     7
  1.3089821917020577E+01 a       168     0    11     1     8
 -1.2310243649165363E+01 a       169     0    11     1     9
  2.0305650230511219E+01 a       170     0    11     1    10
 -5.3081809371135389E+00 a       171     0    11     1    11
 -2.2064387684345479E+00 a       172     0    11     1    12
