################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1396175050171542E+00 a         1     0     1     1     1
 -5.8872041565074031E+00 a         2     0     1     1     2
 -9.2330517192653150E-01 a         3     0     1     1     3
 -3.3050074535111129E+00 a         4     0     1     1     4
  7.2088564737411573E+00 a         5     0     1     1     5
  2.6249107941892937E+01 a         6     0     1     1     6
  2.0282321387920024E+00 a         7     0     1     1     7
  5.8771104765634687E+00 a         8     0     1     1     8
  6.0017873960828538E+00 a         9     0     1     1     9
  2.6971503327277485E-01 a        10     0     1     1    10
  1.0863830679875437E-01 a        11     0     1     1    11
 -4.8427139848742282E+00 a        12     0     1     1    12
  1.1850421379779281E+01 a        13     0     1     1    13
  6.8267324533528684E-02 a        14     0     1     1    14
  4.0997565730986389E+00 a        15     0     1     1    15
  4.0838571070798180E+00 a        16     0     1     1    16
  8.8597705331350394E+00 a        17     0     1     1    17
  3.3466991583610399E+00 a        18     0     1     1    18
 -9.9814941008553824E+00 a        19     0     1     1    19
  1.8124616310710596E+01 a        20     0     1     1    20
 -4.9242922751486136E+00 a        21     0     1     1    21
 -1.8579134643787252E+00 a        22     0     1     1    22
 -8.3748905798928490E+00 a        23     0     1     1    23
 -1.5635822986424091E+00 a        24     0     1     1    24
 -2.0234667355187015E+00 a        25     0     2     1     1
 -5.1993206960206138E+00 a        26     0     2     1     2
  2.5766325167951347E+00 a        27     0     2     1     3
  1.3141742077187992E-02 a        28     0     2     1     4
 -6.7559101698396642E+00 a        29     0     2     1     5
  8.3711721122826628E+00 a        30     0     2     1     6
  3.0946897581578385E+00 a        31     0     2     1     7
  4.9815148031715131E+00 a        32     0     2     1     8
 -4.3247640580237490E-01 a        33     0     2     1     9
 -1.1387520013799644E+00 a        34     0     2     1    10
 -1.5001541756126988E-01 a        35     0     2     1    11
 -4.1369420866594862E+00 a        36     0     2     1    12
  9.8550368603018423E+00 a        37     0     2     1    13
  8.0615902756155169E+00 a        38     0     2     1    14
  6.1668294404082307E+00 a        39     0     2     1    15
  6.6950071351742881E+00 a        40     0     2     1    16
  1.9760255788918550E+00 a        41     0     2     1    17
  9.9740189648628547E-02 a        42     0     2     1    18
 -8.6190738929093502E+00 a        43     0     2     1    19
 -9.7226116605893047E+00 a        44     0     2     1    20
 -1.0206178796281781E+01 a        45     0     2     1    21
  8.8415907394430953E+00 a        46     0     2     1    22
 -4.3905815535397394E+00 a        47     0     2     1    23
  9.8289539613364979E-02 a        48     0     2     1    24
 -4.0436112819849086E+00 a        49     0     3     1     1
 -2.7847615235481626E-01 a        50     0     3     1     2
 -4.1530654800315583E+00 a        51     0     3     1     3
 -3.9787149717805597E+00 a        52     0     3     1     4
  1.3097882335025049E-01 a        53     0     3     1     5
  9.4968627515486848E+00 a        54     0     3     1     6
  3.0946819898938100E+00 a        55     0     3     1     7
  4.5997522955026229E+00 a        56     0     3     1     8
  1.0036030763215669E+00 a        57     0     3     1     9
 -3.5796145832710193E+00 a        58     0     3     1    10
  5.4950126689641099E-01 a        59     0     3     1    11
 -6.7400520286776429E+00 a        60     0     3     1    12
  9.0189235017158875E+00 a        61     0     3     1    13
  4.0998210827977779E+00 a        62     0     3     1    14
  1.7012852500620386E+00 a        63     0     3     1    15
  4.2853872954989676E+00 a        64     0     3     1    16
  1.6744058648216209E+00 a        65     0     3     1    17
  1.2341193126296788E+00 a        66     0     3     1    18
 -4.3321248348318200E+00 a        67     0     3     1    19
  6.6654341627882028E+00 a        68     0     3     1    20
  1.7500286839539827E+00 a        69     0     3     1    21
  3.4829867015319476E+00 a        70     0     3     1    22
 -4.0904563301835877E+00 a        71     0     3     1    23
 -7.8777014994312005E+00 a        72     0     3     1    24
 -5.2877327172243414E+00 a        73     0     4     1     1
  8.1472167754826259E+00 a        74     0     4     1     2
  3.8486307533212749E-01 a        75     0     4     1     3
  5.5710952492394323E+00 a        76     0     4     1     4
 -8.8492104030910106E+00 a        77     0     4     1     5
 -2.8874927696649916E+01 a        78     0     4     1     6
 -3.6788691365413286E+00 a        79     0     4     1     7
 -4.1928068686316564E+00 a        80     0     4     1     8
 -5.4045089564007469E+00 a        81     0     4     1     9
 -1.2021002846588922E+00 a        82     0     4     1    10
 -2.7320909470082078E-01 a        83     0     4     1    11
  3.9902277678199374E+00 a        84     0     4     1    12
 -1.0376300878974355E+01 a        85     0     4     1    13
  2.4766404440340861E+00 a        86     0     4     1    14
 -5.0147272025846705E+00 a        87     0     4     1    15
 -3.7266795477780117E+00 a        88     0     4     1    16
 -7.3660083964963539E+00 a        89     0     4     1    17
 -6.3876850971714152E+00 a        90     0     4     1    18
  7.1113842919909374E+00 a        91     0     4     1    19
 -2.3332066270112239E+01 a        92     0     4     1    20
  3.5386551900900334E+00 a        93     0     4     1    21
  3.4479109723886436E+00 a        94     0     4     1    22
  6.9564024870211236E+00 a        95     0     4     1    23
  5.5565041658309500E-01 a        96     0     4     1    24
  2.2968112011449504E+00 a        97     0     5     1     1
  1.0480945164808452E+01 a        98     0     5     1     2
 -1.3762151967703951E+00 a        99     0     5     1     3
  4.8377610810416209E+00 a       100     0     5     1     4
  9.5701506272026631E+00 a       101     0     5     1     5
 -4.4738154174170530E+00 a       102     0     5     1     6
 -1.8815029999120003E+00 a       103     0     5     1     7
 -9.0414385568885081E-01 a       104     0     5     1     8
 -7.7509404183917996E-01 a       105     0     5     1     9
  3.7285464442269136E+00 a       106     0     5     1    10
 -1.1624321294820905E+00 a       107     0     5     1    11
  6.9878205888642579E+00 a       108     0     5     1    12
 -7.9233131724021959E+00 a       109     0     5     1    13
 -8.8874362969181941E+00 a       110     0     5     1    14
 -7.3165509390453467E+00 a       111     0     5     1    15
 -8.9165763134617428E+00 a       112     0     5     1    16
 -8.1026254637002337E-01 a       113     0     5     1    17
  3.1490986542282231E+00 a       114     0     5     1    18
  1.1311109614420385E+01 a       115     0     5     1    19
  1.5299907642957630E+01 a       116     0     5     1    20
  1.3879221339785341E+01 a       117     0     5     1    21
 -1.2712541145056777E+01 a       118     0     5     1    22
  8.0850484930509001E+00 a       119     0     5     1    23
 -3.9447863105784546E+00 a       120     0     5     1    24
  3.0571082597617689E+00 a       121     0     6     1     1
 -2.2070181863611231E+00 a       122     0     6     1     2
 -3.7850535532912905E-01 a       123     0     6     1     3
 -1.1855928650582412E+00 a       124     0     6     1     4
  2.5364635400553466E+00 a       125     0     6     1     5
  6.3645438586287879E+00 a       126     0     6     1     6
  1.4428059158561681E+00 a       127     0     6     1     7
  2.0719227243768595E-01 a       128     0     6     1     8
  2.5431728245376950E-01 a       129     0     6     1     9
  6.4681707037944125E-01 a       130     0     6     1    10
  1.1718744721471343E-01 a       131     0     6     1    11
 -5.8523555323562693E-01 a       132     0     6     1    12
  2.4081862462170265E+00 a       133     0     6     1    13
 -4.2080947124082058E-01 a       134     0     6     1    14
  1.2076772271712390E+00 a       135     0     6     1    15
  6.1502605161637780E-01 a       136     0     6     1    16
  1.7851962363175560E+00 a       137     0     6     1    17
  2.7972671102134345E+00 a       138     0     6     1    18
 -6.1943927262287746E-01 a       139     0     6     1    19
  6.3851537120743549E+00 a       140     0     6     1    20
 -8.2177598956670117E-01 a       141     0     6     1    21
 -1.1690108718963851E-01 a       142     0     6     1    22
 -7.1636958470724921E-01 a       143     0     6     1    23
 -3.9551958540364435E-01 a       144     0     6     1    24
  2.0756968096432740E+00 a       145     0     7     1     1
  3.0042910060743128E-01 a       146     0     7     1     2
  1.5922979216270856E+00 a       147     0     7     1     3
  3.3924609073955274E+00 a       148     0     7     1     4
  3.1102141410617828E-01 a       149     0     7     1     5
 -3.8663555443101187E+00 a       150     0     7     1     6
 -2.5207851418564116E+00 a       151     0     7     1     7
 -1.4559058220698657E+00 a       152     0     7     1     8
  3.1249898489599159E-01 a       153     0     7     1     9
  7.7037348794319205E-01 a       154     0     7     1    10
 -2.7755493972198360E+00 a       155     0     7     1    11
  1.2356672358444496E+00 a       156     0     7     1    12
 -3.6823637852148678E+00 a       157     0     7     1    13
 -1.3748354691313782E+00 a       158     0     7     1    14
 -7.5238835214803024E-01 a       159     0     7     1    15
 -2.2820973926685104E+00 a       160     0     7     1    16
 -1.5073042161589216E+00 a       161     0     7     1    17
 -1.9315010172995042E+00 a       162     0     7     1    18
  4.6936246844617507E-01 a       163     0     7     1    19
 -2.6523415736056632E+00 a       164     0     7     1    20
 -7.3714744656960851E-01 a       165     0     7     1    21
 -2.8327170424069825E+00 a       166     0     7     1    22
  6.4764252691363977E-01 a       167     0     7     1    23
  1.5386179844943562E+00 a       168     0     7     1    24
  2.1363088571364579E+00 a       169     0     8     1     1
 -6.8451142761727244E+00 a       170     0     8     1     2
 -2.1235398603361424E+00 a       171     0     8     1     3
 -1.1259717999370786E+00 a       172     0     8     1     4
 -5.4235148300033753E+00 a       173     0     8     1     5
  8.2133898107549108E-01 a       174     0     8     1     6
  1.0926644391905576E+00 a       175     0     8     1     7
 -2.7616013965672730E+00 a       176     0     8     1     8
 -1.1238369316558861E+00 a       177     0     8     1     9
 -1.5307156821131951E+00 a       178     0     8     1    10
  1.6192091314593735E+00 a       179     0     8     1    11
 -1.4407016416313119E+00 a       180     0     8     1    12
  1.8894650140589282E+00 a       181     0     8     1    13
  3.2054189342118380E+00 a       182     0     8     1    14
  2.9979069774781641E+00 a       183     0     8     1    15
  6.6748731325895261E-01 a       184     0     8     1    16
  1.5019301634830744E+00 a       185     0     8     1    17
 -4.0759803142266522E+00 a       186     0     8     1    18
 -6.1443700768284515E+00 a       187     0     8     1    19
 -8.0898235309262532E+00 a       188     0     8     1    20
 -6.0886922131769872E+00 a       189     0     8     1    21
  3.9046090691280049E+00 a       190     0     8     1    22
  4.6948400040964115E-02 a       191     0     8     1    23
  6.2267393537787479E+00 a       192     0     8     1    24
  3.5542035892827037E+00 a       193     0     9     1     1
  8.5283414942462681E+00 a       194     0     9     1     2
  4.7903758443058972E+00 a       195     0     9     1     3
 -2.8699120240199352E+00 a       196     0     9     1     4
  6.5195370587677921E+00 a       197     0     9     1     5
 -1.7029079923064192E+00 a       198     0     9     1     6
  1.0466702334250366E+00 a       199     0     9     1     7
 -1.0966478104578055E+01 a       200     0     9     1     8
  7.4881005408939032E+00 a       201     0     9     1     9
 -1.9472089370580079E+00 a       202     0     9     1    10
  3.0877860989328849E+00 a       203     0     9     1    11
 -3.5124671884403988E+00 a       204     0     9     1    12
 -1.1070834516177845E+01 a       205     0     9     1    13
  1.5427108754526067E+00 a       206     0     9     1    14
  4.7455110875604811E+00 a       207     0     9     1    15
 -1.7014095061651322E+01 a       208     0     9     1    16
 -1.9761750416179019E+01 a       209     0     9     1    17
  2.7196438275412111E+00 a       210     0     9     1    18
  1.4180885267828309E+01 a       211     0     9     1    19
 -3.1127405722835819E+00 a       212     0     9     1    20
  1.7564740124166764E+01 a       213     0     9     1    21
 -1.1661780734733540E+01 a       214     0     9     1    22
 -1.4861269269256596E+00 a       215     0     9     1    23
  1.7915537058889530E+00 a       216     0     9     1    24
  1.6188217955689769E+01 a       217     0    10     1     1
  1.9474462483964491E+01 a       218     0    10     1     2
  1.5167255965834162E+01 a       219     0    10     1     3
 -2.0124323564684090E+01 a       220     0    10     1     4
  7.1871342326723893E+00 a       221     0    10     1     5
 -2.1584057545829516E+01 a       222     0    10     1     6
 -3.3338988365029048E+00 a       223     0    10     1     7
 -1.0725005120910501E+01 a       224     0    10     1     8
  1.7483998327794549E+01 a       225     0    10     1     9
  3.2350853224032639E-02 a       226     0    10     1    10
 -1.2202247836205183E+01 a       227     0    10     1    11
 -7.4496136512604529E+00 a       228     0    10     1    12
 -1.8372306008709266E+01 a       229     0    10     1    13
 -2.2979587929974173E+01 a       230     0    10     1    14
 -3.6785580622509022E-02 a       231     0    10     1    15
 -6.0102136557378349E+00 a       232     0    10     1    16
 -1.0505139116765319E+01 a       233     0    10     1    17
  9.1277769433213329E+00 a       234     0    10     1    18
  1.0472913556615435E+01 a       235     0    10     1    19
  2.1029569442407521E+01 a       236     0    10     1    20
  1.3405108665029688E+01 a       237     0    10     1    21
  1.1391716165625102E+01 a       238     0    10     1    22
 -4.5567230731359780E+00 a       239     0    10     1    23
  6.8681820187305584E+00 a       240     0    10     1    24
  1.2968498071372025E+01 a       241     0    11     1     1
 -4.5391980882359491E+00 a       242     0    11     1     2
  6.3601682899917726E+00 a       243     0    11     1     3
  2.7574033063366596E+00 a       244     0    11     1     4
  4.0139141781418290E+00 a       245     0    11     1     5
 -2.4201081172596921E+00 a       246     0    11     1     6
  1.0875044285098057E+00 a       247     0    11     1     7
 -5.1882150869641785E-01 a       248     0    11     1     8
 -4.9250842932646037E+00 a       249     0    11     1     9
  2.2521413927182607E+01 a       250     0    11     1    10
  1.3382784530508181E+01 a       251     0    11     1    11
  2.9513218722903115E+01 a       252     0    11     1    12
 -2.8967041874989725E+00 a       253     0    11     1    13
 -1.8074869341745440E+01 a       254     0    11     1    14
  5.1899642473306589E+00 a       255     0    11     1    15
 -1.8821743871407374E+01 a       256     0    11     1    16
 -1.0889166042711478E+00 a       257     0    11     1    17
 -4.5439631892012873E+00 a       258     0    11     1    18
  4.2868585363305609E+00 a       259     0    11     1    19
 -6.9717945531456733E+00 a       260     0    11     1    20
  1.0162366297754458E+01 a       261     0    11     1    21
  1.4928694163829105E+01 a       262     0    11     1    22
  1.5791176071260764E+00 a       263     0    11     1    23
