################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.3234413779499823E+00 a         1     0     1     1     1
  4.2682008426107938E+00 a         2     0     1     1     2
 -2.8293510621331097E+00 a         3     0     1     1     3
 -4.0405723857020241E+00 a         4     0     1     1     4
 -1.4915049508865417E+00 a         5     0     1     1     5
 -4.8603917806562826E+00 a         6     0     1     1     6
 -1.1946017305470895E+00 a         7     0     1     1     7
 -1.7537789330134594E+00 a         8     0     1     1     8
 -1.0939922921962864E+00 a         9     0     1     1     9
  1.9795719748439886E+00 a        10     0     1     1    10
 -3.1263886455523799E+00 a        11     0     1     1    11
  3.8334622631399562E-01 a        12     0     1     1    12
  2.2716171525222151E-01 a        13     0     1     1    13
 -4.1004077804120715E+00 a        14     0     1     1    14
 -1.3277820523259860E+00 a        15     0     1     1    15
 -2.2677924507333405E+00 a        16     0     1     1    16
 -2.7229351817069025E+00 a        17     0     1     1    17
  1.4235768554434181E+00 a        18     0     1     1    18
 -3.5276428013841059E+00 a        19     0     1     1    19
 -2.4497776089035714E-01 a        20     0     1     1    20
  3.0089272533165832E+00 a        21     0     1     1    21
  7.4139251366539205E-01 a        22     0     1     1    22
 -1.3041187951154132E+00 a        23     0     2     1     1
  1.8654192880282476E+00 a        24     0     2     1     2
  9.6425617083711335E-01 a        25     0     2     1     3
  7.3367077181000245E-02 a        26     0     2     1     4
  3.1054221327938869E-01 a        27     0     2     1     5
  2.2062164626858785E+00 a        28     0     2     1     6
  8.8714200251931885E-01 a        29     0     2     1     7
 -1.8138770600087382E+00 a        30     0     2     1     8
 -2.1808611152181809E+00 a        31     0     2     1     9
 -7.8095247001436918E-01 a        32     0     2     1    10
 -2.1305410317384381E+00 a        33     0     2     1    11
  4.0884819328683824E+00 a        34     0     2     1    12
  3.8641027713758467E+00 a        35     0     2     1    13
  5.1103048995924161E-01 a        36     0     2     1    14
 -5.7966886275776131E-01 a        37     0     2     1    15
  4.5366644351076220E+00 a        38     0     2     1    16
 -1.5197679019864343E+00 a        39     0     2     1    17
 -2.5435782821279411E+00 a        40     0     2     1    18
 -4.3014056206586195E+00 a        41     0     2     1    19
  1.1839643414043846E+00 a        42     0     2     1    20
  3.3467171357342775E+00 a        43     0     2     1    21
 -1.6580583281908983E+00 a        44     0     2     1    22
  1.8924533997642512E-01 a        45     0     3     1     1
 -3.0208047701666602E-01 a        46     0     3     1     2
 -9.7077505793106600E-01 a        47     0     3     1     3
 -1.7675489790402537E+00 a        48     0     3     1     4
  1.4851740232813182E+00 a        49     0     3     1     5
 -2.1251581953019509E+00 a        50     0     3     1     6
  7.0490389854921698E-01 a        51     0     3     1     7
 -1.2742363967107257E+00 a        52     0     3     1     8
 -1.0827840183353177E+00 a        53     0     3     1     9
 -1.6584523685265684E-01 a        54     0     3     1    10
 -1.8856256433301595E+00 a        55     0     3     1    11
  1.8702635427355863E+00 a        56     0     3     1    12
  3.7050601642945864E+00 a        57     0     3     1    13
  1.9811501111742271E+00 a        58     0     3     1    14
  8.6450115592077326E-01 a        59     0     3     1    15
 -1.0146040297078909E+00 a        60     0     3     1    16
  6.6522607594357988E+00 a        61     0     3     1    17
 -3.9715206081706184E-01 a        62     0     3     1    18
  8.3656292235781315E-01 a        63     0     3     1    19
 -2.6808118669004424E+00 a        64     0     3     1    20
 -8.9269891348759800E-01 a        65     0     3     1    21
  6.2740017428894057E-01 a        66     0     3     1    22
  2.0228982445584425E+00 a        67     0     4     1     1
 -3.5799924079194105E+00 a        68     0     4     1     2
  3.6887615223806316E+00 a        69     0     4     1     3
  3.2019911234263003E+00 a        70     0     4     1     4
  2.2794385577510838E+00 a        71     0     4     1     5
  2.8131813571683764E+00 a        72     0     4     1     6
  2.5687905337648664E+00 a        73     0     4     1     7
  3.8597089002856383E-01 a        74     0     4     1     8
 -9.4349397227938625E-01 a        75     0     4     1     9
 -2.3834189699433694E+00 a        76     0     4     1    10
  1.7110956062519380E+00 a        77     0     4     1    11
  1.4188202067303282E+00 a        78     0     4     1    12
  3.7456128335938549E-01 a        79     0     4     1    13
  1.8741694354816287E+00 a        80     0     4     1    14
  1.8046825069193460E+00 a        81     0     4     1    15
  1.3706365881099420E+00 a        82     0     4     1    16
  8.2195215169889646E-01 a        83     0     4     1    17
  5.1329938161713162E-01 a        84     0     4     1    18
  3.1139160660805487E+00 a        85     0     4     1    19
  6.0059493542563250E-02 a        86     0     4     1    20
 -3.1359497051638403E+00 a        87     0     4     1    21
 -4.9461855890316792E-01 a        88     0     4     1    22
  3.4956880332404237E+00 a        89     0     5     1     1
  3.6240459893624877E-01 a        90     0     5     1     2
  5.0973868820124735E-01 a        91     0     5     1     3
 -2.8193184058384380E-01 a        92     0     5     1     4
 -1.8736322492014903E+00 a        93     0     5     1     5
 -1.0304471431135254E+00 a        94     0     5     1     6
 -2.4607634784375070E+00 a        95     0     5     1     7
  3.3909429867934893E-01 a        96     0     5     1     8
  1.2767811944463614E+00 a        97     0     5     1     9
  1.5241844206098490E-02 a        98     0     5     1    10
  1.1977704494175694E+00 a        99     0     5     1    11
 -2.4028597003440959E+00 a       100     0     5     1    12
 -4.9770605521968259E+00 a       101     0     5     1    13
 -2.7445105659695330E+00 a       102     0     5     1    14
 -6.1273954648969964E-01 a       103     0     5     1    15
 -4.2322488209158386E+00 a       104     0     5     1    16
  1.0677599080857310E+00 a       105     0     5     1    17
  1.9262641844817447E+00 a       106     0     5     1    18
  4.1339179732490878E+00 a       107     0     5     1    19
 -1.4397957867236102E+00 a       108     0     5     1    20
 -2.4882564764553545E+00 a       109     0     5     1    21
  7.6713446981774258E-01 a       110     0     5     1    22
  7.4250079794074053E-01 a       111     0     6     1     1
 -1.0161943502200527E-01 a       112     0     6     1     2
 -7.2807749982624026E-01 a       113     0     6     1     3
 -5.3033036560415381E-01 a       114     0     6     1     4
 -4.0366377302663703E-01 a       115     0     6     1     5
 -8.8762898715733105E-02 a       116     0     6     1     6
 -6.9780769720711300E-01 a       117     0     6     1     7
 -4.4372715378439009E-01 a       118     0     6     1     8
  9.9975771353975185E-01 a       119     0     6     1     9
  7.2797374079400567E-01 a       120     0     6     1    10
  5.1619775372213006E-01 a       121     0     6     1    11
 -2.8494535187753239E-01 a       122     0     6     1    12
  2.2752763461403519E-01 a       123     0     6     1    13
