################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.7130085254625830E-01   4.0732965436618841E-02   3.4163304992181641E-02
         1          2   0.0000000000000000E+00   3.9521006259624936E-01   6.3058389410198867E-02   6.4039560002065121E-02
         1          3   0.0000000000000000E+00   4.0168287716003465E-01   6.1191613839981569E-02   5.3594681395651288E-02
         1          4   0.0000000000000000E+00   2.4046181516168091E-01   3.4095678213340988E-02   3.5842271805740004E-02
         1          5   0.0000000000000000E+00   2.4741538729968668E-01   3.4346516189892373E-02   3.0599292219416038E-02
         1          6   0.0000000000000000E+00   7.5654590768936950E-02   8.6210763025306343E-03   8.2365164086012424E-03
         1          7   0.0000000000000000E+00   7.7250416050229240E-02   8.4177099006072197E-03   9.6380347784112939E-03
         1          8   0.0000000000000000E+00   8.1172768576032686E-02   9.2221101052558461E-03   8.7043428115149320E-03
         1          9   0.0000000000000000E+00   1.9398111155760858E-02   1.1304733041280928E-03   1.3067204435540779E-03
         1         10   0.0000000000000000E+00   2.3133126908858044E+00   6.7452683905022381E-01   3.8208325703590751E-01
         1         11   0.0000000000000000E+00   3.0010779663455778E+00   6.8204772412496995E-01   6.0302510288778832E-01
         1         12   0.0000000000000000E+00   2.4911560188348387E+00   5.2765075060048405E-01   4.2460973016299841E-01
         1         13   0.0000000000000000E+00   2.9826261493021193E+00   9.9527429863407568E-01   5.2773637399162820E-01
         1         14   0.0000000000000000E+00   2.7437747114041575E+00   6.3178925928426000E-01   5.0669289342051926E-01
         1         15   0.0000000000000000E+00   3.5934985507838548E+00   1.2211469274586926E+00   6.4293310233144596E-01
         1         16   0.0000000000000000E+00   4.6057568494923311E+00   1.0955257927458408E+00   9.5220474148379319E-01
         1         17   0.0000000000000000E+00   1.0082880801664333E+00   3.4214539444594583E-01   1.9067247621409167E-01
         1         18   0.0000000000000000E+00   1.2682336317965772E+00   3.1640304929200957E-01   2.8055928449866863E-01
         1         19   0.0000000000000000E+00   9.4491261355826606E-01   2.2472798755910908E-01   1.8651466599749841E-01
         1         20   0.0000000000000000E+00   8.4763971944368812E+00   2.7136749469547699E+00   1.4469280616201636E+00
         1         21   0.0000000000000000E+00   1.0748266623525652E+01   2.5594430888825102E+00   2.2369928434807331E+00
         1         22   0.0000000000000000E+00   8.3310835332364412E+00   1.8447515843343558E+00   1.4677521800256363E+00
         1         23   0.0000000000000000E+00   5.4920718713832750E+00   1.2251966788062727E+00   9.8974988439076639E-01
         1         24   0.0000000000000000E+00   7.0984780943659134E+00   2.3659364596063623E+00   1.2535990506416725E+00
         1         25   0.0000000000000000E+00   8.9648573964089504E+00   2.1609852212891631E+00   1.9079811396232944E+00
         1         26   0.0000000000000000E+00   2.0151085986421946E+00   6.8040440832659144E-01   3.4215728864783262E-01
         1         27   0.0000000000000000E+00   2.4366352936956055E+00   6.1025581627071745E-01   5.3688345124334025E-01
         1         28   0.0000000000000000E+00   1.9107057337718865E+00   4.1357536437724751E-01   3.3507079068976714E-01
         1         29   0.0000000000000000E+00   3.7491199988472510E+00   1.2410516498185897E+00   6.6384844795334419E-01
         1         30   0.0000000000000000E+00   4.6463680586300331E+00   1.1619946003598867E+00   1.0220598394952172E+00
