################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.7130085254625830E-01   4.0732965436618841E-02   3.4163304992181648E-02
         1          2   0.0000000000000000E+00   3.9521006259624936E-01   6.3058389410198867E-02   6.4039560002065121E-02
         1          3   0.0000000000000000E+00   4.0168287716003465E-01   6.1191613839981569E-02   5.3594681395651281E-02
         1          4   0.0000000000000000E+00   2.4046181516168091E-01   3.4095678213340988E-02   3.5842271805740004E-02
         1          5   0.0000000000000000E+00   2.4741538729968668E-01   3.4346516189892373E-02   3.0599292219416038E-02
         1          6   0.0000000000000000E+00   7.5654590768936950E-02   8.6210763025306343E-03   8.2365164086012424E-03
         1          7   0.0000000000000000E+00   7.7250416050229240E-02   8.4177099006072179E-03   9.6380347784112939E-03
         1          8   0.0000000000000000E+00   8.1172768576032686E-02   9.2221101052558461E-03   8.7043428115149320E-03
         1          9   0.0000000000000000E+00   1.9398111155760858E-02   1.1304733041280928E-03   1.3067204435540779E-03
         1         10   0.0000000000000000E+00   2.3133126908858044E+00   6.7452683905022381E-01   3.8208325703590751E-01
         1         11   0.0000000000000000E+00   3.0010779663455778E+00   6.8204772412496983E-01   6.0302510288778832E-01
         1         12   0.0000000000000000E+00   2.4911560188348387E+00   5.2765075060048405E-01   4.2460973016299841E-01
         1         13   0.0000000000000000E+00   2.9826261493021193E+00   9.9527429863407568E-01   5.2773637399162854E-01
         1         14   0.0000000000000000E+00   2.7437747114041575E+00   6.3178925928426011E-01   5.0669289342051904E-01
         1         15   0.0000000000000000E+00   3.5934985507838548E+00   1.2211469274586926E+00   6.4293310233144629E-01
         1         16   0.0000000000000000E+00   4.6057568494923311E+00   1.0955257927458411E+00   9.5220474148379297E-01
