################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.5806478473539434E+00 a         1     0     1     1     1
  7.4773394479057465E-01 a         2     0     1     1     2
 -1.1043114069805238E+00 a         3     0     1     1     3
 -1.8362938754936231E+00 a         4     0     1     1     4
  1.9285110158734500E+00 a         5     0     1     1     5
 -2.2448949298035692E+00 a         6     0     1     1     6
  1.3647270018109405E+00 a         7     0     1     1     7
 -6.5756683307803976E-01 a         8     0     1     1     8
  5.1415021405175232E-01 a         9     0     1     1     9
  7.7946778095273039E-01 a        10     0     1     1    10
 -2.0433572403638429E+00 a        11     0     1     1    11
  5.1143216711164419E+00 a        12     0     1     1    12
 -4.8039411824401386E+00 a        13     0     1     1    13
 -4.2900613984216546E-01 a        14     0     1     1    14
 -1.6512479938964144E+00 a        15     0     1     1    15
 -4.1402377344525529E+00 a        16     0     1     1    16
 -3.2866059132424561E+00 a        17     0     1     1    17
  2.3829866459606657E+00 a        18     0     1     1    18
  7.3104346145627941E-01 a        19     0     1     1    19
  3.3185793959060500E-01 a        20     0     1     1    20
  4.0622623563099483E+00 a        21     0     1     1    21
 -1.2610091780919439E+00 a        22     0     1     1    22
  3.0113806742764848E-01 a        23     0     1     1    23
 -1.4402605570636956E-01 a        24     0     1     1    24
  1.0698299539217890E-01 a        25     0     2     1     1
 -6.4133569557740584E+00 a        26     0     2     1     2
  7.1703927845849913E-01 a        27     0     2     1     3
 -2.8686927198693706E+00 a        28     0     2     1     4
 -2.3791032807525019E+00 a        29     0     2     1     5
 -1.3992586613975539E+00 a        30     0     2     1     6
 -1.7565992817495419E+00 a        31     0     2     1     7
  2.3219614690495729E+00 a        32     0     2     1     8
  5.1543841076201469E-01 a        33     0     2     1     9
 -2.4768388344848642E+00 a        34     0     2     1    10
  1.5125678527530848E+00 a        35     0     2     1    11
 -1.3319702054792968E+00 a        36     0     2     1    12
 -6.3262673270863443E+00 a        37     0     2     1    13
  1.0241233310168507E-01 a        38     0     2     1    14
