################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.4939481878674599E+00 a         1     0     1     1     1
  7.4746807998485409E-01 a         2     0     1     1     2
 -1.1010108718960658E+00 a         3     0     1     1     3
 -1.8008135501857114E+00 a         4     0     1     1     4
  1.8879214346506497E+00 a         5     0     1     1     5
 -2.2723964212591610E+00 a         6     0     1     1     6
  1.5773266774820447E+00 a         7     0     1     1     7
 -3.4598741072630718E-01 a         8     0     1     1     8
  4.7037596493820655E-01 a         9     0     1     1     9
  8.2223142463377175E-01 a        10     0     1     1    10
 -1.8517705147138761E+00 a        11     0     1     1    11
  4.7982958401337488E+00 a        12     0     1     1    12
 -4.8090202832872029E+00 a        13     0     1     1    13
 -4.1677256948427616E-01 a        14     0     1     1    14
 -1.9191608809003355E+00 a        15     0     1     1    15
 -4.0751423167055290E+00 a        16     0     1     1    16
 -3.4123944905087762E+00 a        17     0     1     1    17
  2.5993588995465422E+00 a        18     0     1     1    18
  8.5807067148395111E-01 a        19     0     1     1    19
  3.9073683121574893E-01 a        20     0     1     1    20
  3.9303657788654971E+00 a        21     0     1     1    21
 -1.1844092924595346E+00 a        22     0     1     1    22
  3.4992762440216957E-01 a        23     0     1     1    23
 -3.6755359649780839E-01 a        24     0     1     1    24
  7.8912163586278825E-02 a        25     0     2     1     1
 -6.5219133821413191E+00 a        26     0     2     1     2
  6.3210271536504692E-01 a        27     0     2     1     3
 -2.9310579457982620E+00 a        28     0     2     1     4
 -2.3020243446942432E+00 a        29     0     2     1     5
 -1.5141148897073911E+00 a        30     0     2     1     6
 -1.6430392939421714E+00 a        31     0     2     1     7
  2.4228614494687677E+00 a        32     0     2     1     8
  5.1124763577578325E-01 a        33     0     2     1     9
 -2.4971059943220393E+00 a        34     0     2     1    10
  1.4645400813246201E+00 a        35     0     2     1    11
 -1.4705451537532617E+00 a        36     0     2     1    12
 -6.2695881087562206E+00 a        37     0     2     1    13
  4.7843200235768102E-02 a        38     0     2     1    14
