################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0477649852883983E+00 a         1     0     1     1     1
  3.7655126885243182E+00 a         2     0     1     1     2
 -4.2034275316691767E+00 a         3     0     1     1     3
 -2.1151196422261460E+00 a         4     0     1     1     4
 -1.1800722091852682E+01 a         5     0     1     1     5
 -7.2863828831908251E+00 a         6     0     1     1     6
 -7.5799376313840465E+00 a         7     0     1     1     7
  8.4596369248746459E+00 a         8     0     1     1     8
  5.6897974679148104E+00 a         9     0     1     1     9
 -8.9668980670528722E+00 a        10     0     1     1    10
  9.7159876107266232E+00 a        11     0     1     1    11
 -4.7591911322426661E+00 a        12     0     1     1    12
 -1.2713775940428054E+00 a        13     0     1     1    13
 -4.1698857389620142E-01 a        14     0     1     1    14
  4.3013004808034552E+00 a        15     0     1     1    15
  1.0894885223249215E+01 a        16     0     1     1    16
 -4.3594149728801233E+00 a        17     0     2     1     1
  7.6102599770247770E-01 a        18     0     2     1     2
 -1.1553872352707980E+01 a        19     0     2     1     3
  9.8014287425898736E+00 a        20     0     2     1     4
  2.6612040164174777E-01 a        21     0     2     1     5
  8.2711599787933382E-03 a        22     0     2     1     6
 -2.7867637170832378E+00 a        23     0     2     1     7
  1.8357554803714360E+00 a        24     0     2     1     8
  3.6296635498942975E+00 a        25     0     2     1     9
  9.1355233978187371E+00 a        26     0     2     1    10
 -3.8070925488843881E+00 a        27     0     2     1    11
  4.0321736391040472E+00 a        28     0     2     1    12
 -2.8673941654862678E+00 a        29     0     2     1    13
 -5.7998014792545094E+00 a        30     0     2     1    14
  3.4973294229133001E+00 a        31     0     2     1    15
 -4.9807929298080778E+00 a        32     0     2     1    16
 -1.3123895972105798E-01 a        33     0     3     1     1
 -5.2982503695558436E-01 a        34     0     3     1     2
 -1.5022693403950624E+00 a        35     0     3     1     3
 -1.6164924977459498E+00 a        36     0     3     1     4
 -7.4107522615443120E+00 a        37     0     3     1     5
  3.2612127780861098E+00 a        38     0     3     1     6
 -1.5809790962368073E+00 a        39     0     3     1     7
  6.3271146952604349E+00 a        40     0     3     1     8
  5.5961281352286030E-01 a        41     0     3     1     9
  3.4890473064426364E+00 a        42     0     3     1    10
 -8.4236051911060823E+00 a        43     0     3     1    11
 -4.6361627838115336E+00 a        44     0     3     1    12
 -7.4950086283906225E-01 a        45     0     3     1    13
 -5.7778608363106709E-01 a        46     0     3     1    14
 -5.0762293705047803E+00 a        47     0     3     1    15
 -5.8997500557260958E+00 a        48     0     3     1    16
  7.8169849273643734E+00 a        49     0     4     1     1
 -2.0073195718419594E+00 a        50     0     4     1     2
  2.8280132502920083E+00 a        51     0     4     1     3
  1.6670455336124466E+00 a        52     0     4     1     4
  1.2749113326433356E+01 a        53     0     4     1     5
  7.0640250296158174E+00 a        54     0     4     1     6
  6.6019039553995915E+00 a        55     0     4     1     7
 -1.0809692211382821E+01 a        56     0     4     1     8
 -7.4167011804018053E+00 a        57     0     4     1     9
  9.7249110906735332E+00 a        58     0     4     1    10
 -8.9162977041689846E+00 a        59     0     4     1    11
  3.1992952221693272E+00 a        60     0     4     1    12
 -1.4073865432402499E+00 a        61     0     4     1    13
 -1.6398565673102232E+00 a        62     0     4     1    14
 -6.3429849402022942E+00 a        63     0     4     1    15
 -9.7899536467334674E+00 a        64     0     4     1    16
  4.2951795343550971E+00 a        65     0     5     1     1
 -1.6474998842242961E+00 a        66     0     5     1     2
  1.2631370174107497E+01 a        67     0     5     1     3
 -1.5461348547042794E+01 a        68     0     5     1     4
  2.5222726095636214E+00 a        69     0     5     1     5
  7.5067635254553746E+00 a        70     0     5     1     6
