################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.7130087986651069E-01   4.3451582172161690E-02   4.0476337998165295E-02
         1          2   0.0000000000000000E+00   3.9521006441658579E-01   5.3811084253398603E-02   6.6874285946264295E-02
         1          3   0.0000000000000000E+00   4.0168290533602308E-01   6.5738402905264628E-02   6.0825486334489684E-02
         1          4   0.0000000000000000E+00   2.4046181592039129E-01   2.9354294736947343E-02   3.7507062820280990E-02
         1          5   0.0000000000000000E+00   2.4741540793141964E-01   3.7315441308638619E-02   3.5520605284800617E-02
         1          6   0.0000000000000000E+00   7.5654601524906370E-02   9.1928321802441978E-03   9.7807382133741089E-03
         1          7   0.0000000000000000E+00   7.7250416149065845E-02   7.3911231567867428E-03   1.0135894812156212E-02
         1          8   0.0000000000000000E+00   8.1172777817268546E-02   1.0297159018642695E-02   1.0637580627864877E-02
         1          9   0.0000000000000000E+00   1.9398115570470935E-02   1.2025308198694480E-03   1.5366618043831019E-03
         1         10   0.0000000000000000E+00   2.3133128005496801E+00   7.5194089322559687E-01   4.3106285432282065E-01
         1         11   0.0000000000000000E+00   3.0010780517580606E+00   5.4862972036524993E-01   6.1668615624778744E-01
         1         12   0.0000000000000000E+00   2.4911561244419191E+00   5.3903124404446934E-01   4.4928567656581586E-01
         1         13   0.0000000000000000E+00   2.9826262711294032E+00   1.1210113165677307E+00   5.7562367966361139E-01
         1         14   0.0000000000000000E+00   2.7437748285192916E+00   6.3886264376992585E-01   5.2652124694681224E-01
         1         15   0.0000000000000000E+00   3.5934987016583770E+00   1.3927779506939577E+00   7.1103059814904257E-01
         1         16   0.0000000000000000E+00   4.6057570471934364E+00   8.5807717554014862E-01   9.6105580248986289E-01
         1         17   0.0000000000000000E+00   1.0082881183212058E+00   3.7837847354900145E-01   2.0472346421124116E-01
         1         18   0.0000000000000000E+00   1.2682336977508362E+00   2.5181308465732311E-01   2.8100106792242202E-01
         1         19   0.0000000000000000E+00   9.4491266385583783E-01   2.2938362919424971E-01   1.9280175507125588E-01
         1         20   0.0000000000000000E+00   8.4763975574962860E+00   3.0518765219808688E+00   1.6071940048472142E+00
         1         21   0.0000000000000000E+00   1.0748267047165832E+01   2.0259510662323374E+00   2.2639145943874346E+00
         1         22   0.0000000000000000E+00   8.3310838761832855E+00   1.8728260114253674E+00   1.5393548344257442E+00
         1         23   0.0000000000000000E+00   5.4920720965717118E+00   1.2443869398523528E+00   1.0303271502033755E+00
         1         24   0.0000000000000000E+00   7.0984783855438716E+00   2.6668269965211291E+00   1.3667528744140953E+00
         1         25   0.0000000000000000E+00   8.9648578154867433E+00   1.7007066249409570E+00   1.9124869871251877E+00
         1         26   0.0000000000000000E+00   2.0151086797308357E+00   7.7141925294419833E-01   3.7391528674599150E-01
         1         27   0.0000000000000000E+00   2.4366353981449778E+00   4.7168895024185420E-01   5.3129262146677481E-01
         1         28   0.0000000000000000E+00   1.9107057977638793E+00   4.2135045622433243E-01   3.5048577693049515E-01
         1         29   0.0000000000000000E+00   3.7491201589131458E+00   1.4076576494826685E+00   7.2723873245313619E-01
         1         30   0.0000000000000000E+00   4.6463682690736228E+00   9.1073352178661771E-01   1.0182715780345826E+00
         1         31   0.0000000000000000E+00   3.7008021682226286E+00   8.1305311876690878E-01   6.8194857638076900E-01
         1         32   0.0000000000000000E+00   5.0690551122470273E+00   1.9907021576327413E+00   1.0248051045533877E+00
         1         33   0.0000000000000000E+00   4.7395802338369561E+00   1.0857905599913082E+00   8.8818615156574321E-01
         1         34   0.0000000000000000E+00   6.4205452622922467E-04   3.5442976890920184E-05   6.4929266606817015E-05
         1         35   0.0000000000000000E+00   1.2836623600980339E-03   2.8452952470513306E-05   7.3170487911164141E-05
         1         36   0.0000000000000000E+00   1.3626499514584232E-03   2.4898556026674154E-05   8.0631535868298242E-05
         1         37   0.0000000000000000E+00   2.5700379798456234E-02   2.1042808955654044E-03   2.9947575803841199E-03
         1         38   0.0000000000000000E+00   1.7800106759302152E-02   1.6451544004476223E-03   2.3810257802759490E-03
         1         39   0.0000000000000000E+00   1.8763266983923031E-02   3.0185957883038469E-03   3.1849996153236783E-03
         1         40   0.0000000000000000E+00   4.9431817414394272E-02   2.9050545407742034E-03   5.0306423167340280E-03
         1         41   0.0000000000000000E+00   1.3997369039595208E-02   1.7455454687281338E-03   2.5188997147295154E-03
         1         42   0.0000000000000000E+00   4.3603045267971569E-02   2.2787772998467651E-03   3.8037298532807196E-03
         1         43   0.0000000000000000E+00   7.2741237751882112E-02   6.0818125754845001E-03   8.6066708597962518E-03
         1         44   0.0000000000000000E+00   5.4227860229735601E-02   5.4455475175010449E-03   7.9886247827005985E-03
         1         45   0.0000000000000000E+00   6.4647867439001944E-02   1.1170900280671140E-02   1.1969621099619717E-02
         1         46   0.0000000000000000E+00   1.4149588538187272E-01   7.9718020522224417E-03   1.4147658155698203E-02
         1         47   0.0000000000000000E+00   4.6439167277597830E-02   5.7342523078951100E-03   8.0323626885487331E-03
         1         48   0.0000000000000000E+00   1.0701324985253548E-01   5.1637792310548110E-03   9.6341686311447860E-03
         1         49   0.0000000000000000E+00   2.2086448634403531E-03   1.1717484118507739E-04   1.9447515998237974E-04
         1         50   0.0000000000000000E+00   1.6622821012319434E-03   1.4510722922457035E-04   1.8397401719889370E-04
         1         51   0.0000000000000000E+00   5.2482213297243372E-03   2.5668004261918673E-04   4.2041604137126558E-04
         1         52   0.0000000000000000E+00   3.4932531194641687E-02   2.8245220765525272E-03   4.0061455822960413E-03
         1         53   0.0000000000000000E+00   2.8412820964042206E-02   2.7515738124615930E-03   4.1265506473732423E-03
         1         54   0.0000000000000000E+00   3.5445001154410370E-02   5.9392895286584386E-03   6.5231275591943420E-03
         1         55   0.0000000000000000E+00   7.1547800778128737E-02   3.7195102619682935E-03   6.7727669514206518E-03
         1         56   0.0000000000000000E+00   2.5539277466861337E-02   2.9704268377530466E-03   4.1337102539865918E-03
         1         57   0.0000000000000000E+00   4.9365377804824771E-02   2.3455033682424119E-03   4.6472465575690845E-03
         1         58   0.0000000000000000E+00   5.6732110544889256E-03   7.8180875211595680E-04   8.7887434040060134E-04
         1         59   0.0000000000000000E+00   1.3769703298290982E-02   5.7857802371773747E-04   1.0847870387254363E-03
         1         60   0.0000000000000000E+00   2.0237198064180253E-02   1.3207301637142386E-03   2.1433914797096493E-03
         1         61   0.0000000000000000E+00   1.5690604176693504E-02   1.3177811502390775E-03   2.0846531342420698E-03
         1         62   0.0000000000000000E+00   1.9817822298263430E-02   2.9378324904236288E-03   3.3443208617338202E-03
         1         63   0.0000000000000000E+00   1.5915960783900007E-02   1.5708217974910454E-03   2.2512862020814955E-03
         1         64   0.0000000000000000E+00   1.5509128102958878E-02   6.5380780267288612E-04   1.3966557804393110E-03
         2          1   0.0000000000000000E+00   2.3254633775918881E-01   1.5657514090129495E-02   2.8314060336339420E-02
         2          2   0.0000000000000000E+00   5.4113541752253558E-01   1.8384206808808540E-01   7.5472476658862572E-02
         2          3   0.0000000000000000E+00   4.4941202346886466E-01   2.7426931320994118E-02   4.7414550994987148E-02
         2          4   0.0000000000000000E+00   1.3102663311515675E-01   8.5412752749083800E-03   1.5733259439160815E-02
         2          5   0.0000000000000000E+00   3.0261633641930086E-01   4.9189805132432249E-02   2.3608249226591504E-02
         2          6   0.0000000000000000E+00   4.0340335151976187E-02   2.1506092392472383E-03   4.1805192059893330E-03
