################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.7502477967613004E+00 a         1     0     1     1     1
  1.4360556262180308E+00 a         2     0     1     1     2
  7.2367438992577036E+00 a         3     0     1     1     3
 -8.8339188491139531E+00 a         4     0     1     1     4
 -2.4965242527738183E+00 a         5     0     1     1     5
  2.1329077142342427E+00 a         6     0     1     1     6
 -1.2938133556324050E+00 a         7     0     1     1     7
 -1.9569081280389196E+00 a         8     0     1     1     8
  1.4229028465647464E-01 a         9     0     1     1     9
 -2.7722514473507962E+00 a        10     0     1     1    10
  3.9489259646794117E-01 a        11     0     1     1    11
  9.1989908320475322E-01 a        12     0     1     1    12
 -3.6101273920026138E+00 a        13     0     1     1    13
  5.0076630452655917E-02 a        14     0     1     1    14
  3.1160995981702939E+00 a        15     0     1     1    15
 -1.6022801227305918E+00 a        16     0     1     1    16
 -6.1870972469199759E-01 a        17     0     1     1    17
  1.4842674472773070E+00 a        18     0     1     1    18
  5.4382019050583270E-02 a        19     0     1     1    19
 -2.7811627221358335E+00 a        20     0     1     1    20
 -1.4809256390414962E+00 a        21     0     1     1    21
  1.6324746679313334E-01 a        22     0     1     1    22
 -3.6420562170885523E-01 a        23     0     1     1    23
 -5.7473779699195306E+00 a        24     0     1     1    24
 -1.4632075066316279E+00 a        25     0     2     1     1
 -1.1277075799125393E+01 a        26     0     2     1     2
  1.0162567928816713E+01 a        27     0     2     1     3
 -1.1607405802337960E+01 a        28     0     2     1     4
  3.0724065669669680E+00 a        29     0     2     1     5
 -3.8315648723450559E+00 a        30     0     2     1     6
  1.0008430371839259E+01 a        31     0     2     1     7
 -1.0836262972918583E+01 a        32     0     2     1     8
 -9.3877419786954128E+00 a        33     0     2     1     9
  7.2183726961454875E+00 a        34     0     2     1    10
  1.0802294028800411E+01 a        35     0     2     1    11
  1.3988929392841250E+01 a        36     0     2     1    12
  3.4083760722202485E+00 a        37     0     2     1    13
 -5.2373947018674203E+00 a        38     0     2     1    14
  8.6842898016915253E+00 a        39     0     2     1    15
 -1.2527928914615345E+00 a        40     0     2     1    16
 -2.1448218575135957E+01 a        41     0     2     1    17
 -4.9757650664427970E+00 a        42     0     2     1    18
