################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.2203207864258925E+00 a         1     0     1     1     1
  2.4322210528474617E-01 a         2     0     1     1     2
 -5.2663346718146009E+00 a         3     0     1     1     3
 -6.7537993578223077E+00 a         4     0     1     1     4
  3.6469789995476138E+00 a         5     0     1     1     5
 -2.8214440766349975E+00 a         6     0     1     1     6
 -3.2875517940616370E+00 a         7     0     1     1     7
 -5.9041426694503061E+00 a         8     0     1     1     8
 -3.1703202212035677E+00 a         9     0     1     1     9
  1.1488724502652532E+00 a        10     0     1     1    10
  4.2128035775816182E+00 a        11     0     1     1    11
  8.5312474350584875E+00 a        12     0     1     1    12
  7.6058526161316520E+00 a        13     0     1     1    13
  7.7152873355417135E+00 a        14     0     1     1    14
 -3.7158360277156071E+00 a        15     0     1     1    15
  1.0120875478129681E+01 a        16     0     1     1    16
 -1.5896239748385595E+01 a        17     0     2     1     1
 -2.6463973781781032E+01 a        18     0     2     1     2
  1.6903806329198908E+01 a        19     0     2     1     3
  2.7493188197831945E+01 a        20     0     2     1     4
  1.2205641580797595E+01 a        21     0     2     1     5
  5.9645782084319228E+00 a        22     0     2     1     6
 -1.5184996318483423E+01 a        23     0     2     1     7
  1.4424540843322804E+01 a        24     0     2     1     8
 -3.9425808524893045E+00 a        25     0     2     1     9
  8.2589265917717487E+00 a        26     0     2     1    10
  1.0293227027956652E+01 a        27     0     2     1    11
 -9.9913938778782434E+00 a        28     0     2     1    12
  7.8916449906577864E+00 a        29     0     2     1    13
 -3.1797932648531675E+00 a        30     0     2     1    14
 -9.3560323186648624E+00 a        31     0     2     1    15
  1.2942204582916819E+01 a        32     0     2     1    16
  1.8740789381190424E+01 a        33     0     3     1     1
 -4.1375007087595970E+00 a        34     0     3     1     2
 -1.0311939823429727E+01 a        35     0     3     1     3
  2.3098472964508264E+01 a        36     0     3     1     4
  1.0040265400417397E+01 a        37     0     3     1     5
 -1.7702419806315937E+01 a        38     0     3     1     6
 -4.8738721187595653E+00 a        39     0     3     1     7
 -1.1221086722739722E+01 a        40     0     3     1     8
  3.0725229934146551E+01 a        41     0     3     1     9
  1.2939482607444123E+01 a        42     0     3     1    10
 -6.5484555218257512E-01 a        43     0     3     1    11
 -1.3768738337311007E+01 a        44     0     3     1    12
 -3.1985688273119084E+01 a        45     0     3     1    13
  3.7929090093471712E-01 a        46     0     3     1    14
  8.9669498504844452E+00 a        47     0     3     1    15
  9.9086396419211891E+00 a        48     0     3     1    16
  1.4751601973431949E+01 a        49     0     4     1     1
  2.3316415986811123E+01 a        50     0     4     1     2
 -2.2385382106452589E+01 a        51     0     4     1     3
 -2.5407001843553171E+01 a        52     0     4     1     4
 -3.5874156799951420E+00 a        53     0     4     1     5
 -5.9462186838306277E+00 a        54     0     4     1     6
  1.3376677310492319E+01 a        55     0     4     1     7
 -1.6069648602162570E+01 a        56     0     4     1     8
  9.2720254417363677E+00 a        57     0     4     1     9
 -1.4061487659239491E+01 a        58     0     4     1    10
 -1.5724047801956523E+01 a        59     0     4     1    11
  1.1718187599242926E+01 a        60     0     4     1    12
 -2.6542147909770342E+00 a        61     0     4     1    13
 -3.0820974313937055E-01 a        62     0     4     1    14
  1.1033161163942934E+01 a        63     0     4     1    15
 -6.1847959040450347E+00 a        64     0     4     1    16
 -2.5404476604092434E+01 a        65     0     5     1     1
  5.1812536530282953E+00 a        66     0     5     1     2
  1.6262523817924153E+00 a        67     0     5     1     3
 -2.3247656436077413E+01 a        68     0     5     1     4
 -1.4224545706711163E+01 a        69     0     5     1     5
  1.3547350071422940E+01 a        70     0     5     1     6
  3.8168460690037231E+00 a        71     0     5     1     7
  1.1036497677210084E+01 a        72     0     5     1     8
 -2.1696959030959821E+01 a        73     0     5     1     9
 -1.2386800944768938E+01 a        74     0     5     1    10
  1.2086094950665318E+00 a        75     0     5     1    11
  1.0550343419635833E+01 a        76     0     5     1    12
  3.3351307944059116E+01 a        77     0     5     1    13
 -1.9468633998457825E+00 a        78     0     5     1    14
 -8.1556696571952916E+00 a        79     0     5     1    15
 -6.8013248724334652E+00 a        80     0     5     1    16
  4.3304394236770971E+00 a        81     0     6     1     1
  1.4518443287666616E+00 a        82     0     6     1     2
  2.6543944911711026E-01 a        83     0     6     1     3
  6.7397777671316339E+00 a        84     0     6     1     4
 -3.4888955240259576E+00 a        85     0     6     1     5
  2.2690290437171097E+00 a        86     0     6     1     6
