################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.4951700172604978E+00 a         1     0     1     1     1
 -1.1859268530279202E+01 a         2     0     1     1     2
  9.9504172655956644E+00 a         3     0     1     1     3
  6.4344223817663835E+00 a         4     0     1     1     4
  2.0011657641348877E+00 a         5     0     1     1     5
 -6.6455655733949843E+00 a         6     0     1     1     6
  3.1190403749839017E+00 a         7     0     1     1     7
  7.1807009326078681E+00 a         8     0     1     1     8
 -1.1086474459909341E+00 a         9     0     1     1     9
 -7.1540583090028935E+00 a        10     0     1     1    10
 -3.5923191619371136E-01 a        11     0     1     1    11
 -5.8231790040299432E+00 a        12     0     1     1    12
  8.2334100017214187E+00 a        13     0     1     1    13
  1.5766153117232770E+01 a        14     0     1     1    14
 -1.2422415385290138E+01 a        15     0     1     1    15
  1.9474743490810496E+01 a        16     0     1     1    16
 -5.7639970103911011E+00 a        17     0     2     1     1
 -1.0704009202193099E+01 a        18     0     2     1     2
  7.9836670601424107E+00 a        19     0     2     1     3
  1.2693787944401748E+01 a        20     0     2     1     4
  2.6050501809626017E+00 a        21     0     2     1     5
  3.5957935257648308E+00 a        22     0     2     1     6
 -8.7393741249994683E-01 a        23     0     2     1     7
  7.3609358969286074E+00 a        24     0     2     1     8
 -1.6592862836742697E+00 a        25     0     2     1     9
  3.0492453424104804E+00 a        26     0     2     1    10
  3.8034099093364953E+00 a        27     0     2     1    11
  3.5662539512430009E+00 a        28     0     2     1    12
  4.1025857827268064E+00 a        29     0     2     1    13
  9.9484915834658203E+00 a        30     0     2     1    14
 -3.4517377601543262E+00 a        31     0     2     1    15
  3.6585798639793947E+00 a        32     0     2     1    16
 -1.0142274892197278E+00 a        33     0     3     1     1
  4.0226273556955228E+00 a        34     0     3     1     2
 -3.7153226032867344E+00 a        35     0     3     1     3
  3.4217953005996304E+00 a        36     0     3     1     4
  8.5148616825893342E+00 a        37     0     3     1     5
  9.0168886287107970E+00 a        38     0     3     1     6
  8.7591840385647117E+00 a        39     0     3     1     7
  7.6208241046663505E-01 a        40     0     3     1     8
 -2.9053295907139516E+00 a        41     0     3     1     9
  2.5755028700347995E+00 a        42     0     3     1    10
 -1.4484782073069680E+00 a        43     0     3     1    11
  2.8811715558713846E+00 a        44     0     3     1    12
 -9.1665109193645389E-01 a        45     0     3     1    13
 -5.2133717707672940E+00 a        46     0     3     1    14
 -3.6839831982395457E+00 a        47     0     3     1    15
  1.5270252179244692E+00 a        48     0     3     1    16
  5.9696877050290640E+00 a        49     0     4     1     1
  1.0808470173627128E+01 a        50     0     4     1     2
 -1.1378086263750919E+01 a        51     0     4     1     3
 -1.0934731003933607E+01 a        52     0     4     1     4
  1.4115801913975978E+00 a        53     0     4     1     5
  4.3914971566238243E+00 a        54     0     4     1     6
 -2.1574898099626302E-01 a        55     0     4     1     7
 -7.4589700909616514E+00 a        56     0     4     1     8
 -2.8121302637867989E+00 a        57     0     4     1     9
  1.1170079224779919E+01 a        58     0     4     1    10
 -3.0762399454805651E-02 a        59     0     4     1    11
  7.4982902733114489E+00 a        60     0     4     1    12
 -8.3701596507466043E+00 a        61     0     4     1    13
 -2.0031164041310838E+01 a        62     0     4     1    14
  7.4321534215220311E+00 a        63     0     4     1    15
 -1.9979970868832297E+01 a        64     0     4     1    16
