################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.7374621616391613E-02 a         1     0     1     1     1
 -1.3394378769006139E+00 a         2     0     1     1     2
  8.4202517411770483E-01 a         3     0     1     1     3
 -2.4288958625709262E-01 a         4     0     1     1     4
 -1.4602081914956058E+00 a         5     0     1     1     5
  1.0979722886758427E+00 a         6     0     1     1     6
  2.9888598955538757E+00 a         7     0     1     1     7
 -5.0304863618307749E-01 a         8     0     1     1     8
  9.5062713330062798E-01 a         9     0     1     1     9
 -1.3353271909391740E+00 a        10     0     1     1    10
 -2.8706217894617021E+00 a        11     0     1     1    11
 -2.4010624430782461E+00 a        12     0     1     1    12
 -2.3057800857480402E+00 a        13     0     1     1    13
  5.1592095681421302E-01 a        14     0     1     1    14
  4.1586445484915446E-01 a        15     0     1     1    15
  1.6788387769816469E+00 a        16     0     1     1    16
  3.6134190338457346E+00 a        17     0     1     1    17
 -1.8416501615251686E+00 a        18     0     1     1    18
 -9.6892251091075898E-01 a        19     0     1     1    19
  6.5932869826041129E-01 a        20     0     1     1    20
 -1.6998501327739794E+00 a        21     0     1     1    21
 -4.7504756384580205E-01 a        22     0     1     1    22
 -2.2109165622453881E+00 a        23     0     1     1    23
 -1.4595828292710851E+00 a        24     0     1     1    24
 -5.0011414546325410E+00 a        25     0     2     1     1
 -5.8684923686444384E+00 a        26     0     2     1     2
 -3.6935689127865601E+00 a        27     0     2     1     3
 -3.7365755113459804E+00 a        28     0     2     1     4
 -1.5859580928864485E+01 a        29     0     2     1     5
  3.2289451941122413E+00 a        30     0     2     1     6
  3.4306849015421865E+00 a        31     0     2     1     7
 -4.0144277576840954E+00 a        32     0     2     1     8
  5.7812825163565149E+00 a        33     0     2     1     9
 -1.0584846426165020E+01 a        34     0     2     1    10
 -6.4994812650175469E+00 a        35     0     2     1    11
 -7.7360303005824527E-01 a        36     0     2     1    12
 -1.7767198521668999E+00 a        37     0     2     1    13
 -2.5191534803944666E+00 a        38     0     2     1    14
 -8.8401953622175249E+00 a        39     0     2     1    15
  8.2470401474126529E+00 a        40     0     2     1    16
  1.0466429552120278E+00 a        41     0     2     1    17
  8.6251445799012694E-01 a        42     0     2     1    18
 -7.0883006199769927E+00 a        43     0     2     1    19
 -2.9691436578551333E+00 a        44     0     2     1    20
 -2.1885173550375550E+00 a        45     0     2     1    21
  5.5627634373285684E+00 a        46     0     2     1    22
 -1.6095179898967413E+00 a        47     0     2     1    23
  4.4824534980203312E-01 a        48     0     2     1    24
  6.4384712223228802E-01 a        49     0     3     1     1
  1.3698539631300275E+00 a        50     0     3     1     2
 -1.9774182457347129E+00 a        51     0     3     1     3
  9.5183748509526414E+00 a        52     0     3     1     4
 -3.5484443267747654E+00 a        53     0     3     1     5
 -2.6548759866716618E+00 a        54     0     3     1     6
  1.8040607378878963E+01 a        55     0     3     1     7
 -9.9986281780276425E+00 a        56     0     3     1     8
  1.5663743252564254E+01 a        57     0     3     1     9
 -5.2308418920383239E+00 a        58     0     3     1    10
 -7.5682785067486540E+00 a        59     0     3     1    11
 -3.0430130284477580E-01 a        60     0     3     1    12
  2.1603794584181801E-01 a        61     0     3     1    13
 -1.0178121250067049E+01 a        62     0     3     1    14
 -5.0988079574142411E+00 a        63     0     3     1    15
  5.0908827913838746E+00 a        64     0     3     1    16
 -3.9972810254231135E+00 a        65     0     3     1    17
  1.2041273978134743E+01 a        66     0     3     1    18
 -3.4002578007885491E+00 a        67     0     3     1    19
 -1.6642437501629480E+01 a        68     0     3     1    20
 -1.8307223744373619E+01 a        69     0     3     1    21
 -1.3958477929780669E+01 a        70     0     3     1    22
  1.6118621979775649E+00 a        71     0     3     1    23
  7.2425746995148463E+00 a        72     0     3     1    24
  3.7819946989493287E+00 a        73     0     4     1     1
  4.5268214580315798E+00 a        74     0     4     1     2
  4.4812302216856548E+00 a        75     0     4     1     3
  1.9884343462831506E+00 a        76     0     4     1     4
  1.5580470840894126E+01 a        77     0     4     1     5
 -3.1835466860389920E+00 a        78     0     4     1     6
 -3.7480638565712456E+00 a        79     0     4     1     7
  6.9046430078153387E+00 a        80     0     4     1     8
 -6.5692031827641326E+00 a        81     0     4     1     9
  1.0524816120667570E+01 a        82     0     4     1    10
  9.7845242899602081E+00 a        83     0     4     1    11
  2.8397628473604353E-01 a        84     0     4     1    12
  1.4036514498924264E+00 a        85     0     4     1    13
  2.7449142848562293E+00 a        86     0     4     1    14
  1.0920746171103534E+01 a        87     0     4     1    15
 -7.0156521308990563E+00 a        88     0     4     1    16
 -1.5303863540757643E+00 a        89     0     4     1    17
 -2.6958137165386966E+00 a        90     0     4     1    18
  6.4739034992156226E+00 a        91     0     4     1    19
  2.0989420744131992E+00 a        92     0     4     1    20
  1.2385611646003636E+00 a        93     0     4     1    21
 -9.0814687338578910E+00 a        94     0     4     1    22
  9.7220225482994560E-01 a        95     0     4     1    23
 -7.4861222727963125E-02 a        96     0     4     1    24
 -2.0317099499203253E-02 a        97     0     5     1     1
 -3.7056740836660085E+00 a        98     0     5     1     2
  2.4719107049622364E+00 a        99     0     5     1     3
 -7.5973778827224709E+00 a       100     0     5     1     4
  3.5206471071235375E+00 a       101     0     5     1     5
  1.5148431395421045E+00 a       102     0     5     1     6
 -1.9464317954650390E+01 a       103     0     5     1     7
  1.2008931296815284E+01 a       104     0     5     1     8
 -1.1833733520192874E+01 a       105     0     5     1     9
  6.1714856932150841E+00 a       106     0     5     1    10
  9.8047211035264734E+00 a       107     0     5     1    11
  6.6931438091156620E-03 a       108     0     5     1    12
 -1.4023135455591373E+00 a       109     0     5     1    13
  1.0945044646534090E+01 a       110     0     5     1    14
  5.2888157123755564E+00 a       111     0     5     1    15
 -9.0949669583573840E+00 a       112     0     5     1    16
  4.8277251078700019E+00 a       113     0     5     1    17
 -1.2258163923511301E+01 a       114     0     5     1    18
  3.4158173412982049E+00 a       115     0     5     1    19
  1.7470772777141637E+01 a       116     0     5     1    20
  1.8073481120154813E+01 a       117     0     5     1    21
  1.1257146774004257E+01 a       118     0     5     1    22
  1.0352573852981306E+00 a       119     0     5     1    23
 -4.6080899408246960E+00 a       120     0     5     1    24
  4.8695303610593688E-01 a       121     0     6     1     1
  8.4898112275077953E-01 a       122     0     6     1     2
  1.3980402081879062E-01 a       123     0     6     1     3
  8.1575042051053470E-01 a       124     0     6     1     4
  1.9015687393566925E+00 a       125     0     6     1     5
 -2.4604150487650722E+00 a       126     0     6     1     6
 -2.1812749631870556E+00 a       127     0     6     1     7
  8.8525868181627709E-01 a       128     0     6     1     8
 -1.7680997978246813E+00 a       129     0     6     1     9
  2.4830353013463141E-01 a       130     0     6     1    10
  2.3881426664071261E+00 a       131     0     6     1    11
  7.2423269172431515E-01 a       132     0     6     1    12
  8.7815026077224989E-01 a       133     0     6     1    13
  1.0138621538814707E-01 a       134     0     6     1    14
 -1.8910851195172756E-01 a       135     0     6     1    15
 -6.1391880306433699E-01 a       136     0     6     1    16
 -2.8980841351825459E+00 a       137     0     6     1    17
  1.2542616341613724E+00 a       138     0     6     1    18
  2.8060092740049597E-01 a       139     0     6     1    19
 -2.2297609966104219E+00 a       140     0     6     1    20
  1.5862367253433480E+00 a       141     0     6     1    21
  7.3081117308050281E-02 a       142     0     6     1    22
  1.9387858902557658E+00 a       143     0     6     1    23
  7.6539978546432152E-01 a       144     0     6     1    24
 -2.2003342892105615E-01 a       145     0     7     1     1
 -6.9433224543906560E-02 a       146     0     7     1     2
 -1.0994765599842156E+00 a       147     0     7     1     3
 -2.5536053278301274E-01 a       148     0     7     1     4
 -2.3200098343617794E+00 a       149     0     7     1     5
 -7.7551060102166960E-02 a       150     0     7     1     6
  1.2117223865475943E+00 a       151     0     7     1     7
 -2.8412161798122195E+00 a       152     0     7     1     8
  2.3001211820939180E+00 a       153     0     7     1     9
 -2.1678285338752592E+00 a       154     0     7     1    10
 -3.2839902388757527E+00 a       155     0     7     1    11
  7.7250055054580186E-02 a       156     0     7     1    12
 -1.5594631577940071E-01 a       157     0     7     1    13
 -4.9603122191250471E-01 a       158     0     7     1    14
 -2.4584391095460281E+00 a       159     0     7     1    15
  4.9865872356080038E-01 a       160     0     7     1    16
  4.9003968294139319E-02 a       161     0     7     1    17
  1.0167276304753654E+00 a       162     0     7     1    18
 -8.2653406434229293E-01 a       163     0     7     1    19
  1.4444775944946531E-01 a       164     0     7     1    20
 -1.5504675912750746E-01 a       165     0     7     1    21
  2.3323039910582124E+00 a       166     0     7     1    22
  6.4108387291769442E-01 a       167     0     7     1    23
 -2.2293683002158907E-01 a       168     0     7     1    24
 -6.1697836932696304E-01 a       169     0     8     1     1
  1.2347655640425319E+00 a       170     0     8     1     2
 -7.6597681415876889E-02 a       171     0     8     1     3
  7.5764153935441214E-01 a       172     0     8     1     4
 -8.6646312902845724E-01 a       173     0     8     1     5
  6.8327144921898264E-01 a       174     0     8     1     6
  4.3012134809809019E+00 a       175     0     8     1     7
 -2.6315229789655903E+00 a       176     0     8     1     8
  1.2984924161088235E-01 a       177     0     8     1     9
 -1.4115802824997801E+00 a       178     0     8     1    10
 -2.8699750234756300E+00 a       179     0     8     1    11
