################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5143080376672042E-01 a         1     0     1     1     1
 -8.0413500248053171E-01 a         2     0     1     1     2
  1.8865107688227183E+00 a         3     0     1     1     3
 -6.6480851013375575E-01 a         4     0     1     1     4
 -2.0011461608367576E+00 a         5     0     1     1     5
  7.7352342541322183E-01 a         6     0     1     1     6
  6.2093135361694554E+00 a         7     0     1     1     7
 -1.7430364225699440E+00 a         8     0     1     1     8
  1.7815367760566903E+00 a         9     0     1     1     9
 -8.6104786096181596E-01 a        10     0     1     1    10
 -5.9465814356161584E+00 a        11     0     1     1    11
 -1.4931671255682173E+00 a        12     0     1     1    12
  8.9363481922192378E-01 a        13     0     1     1    13
 -1.2930691876977423E+00 a        14     0     1     1    14
  2.2317136205110781E+00 a        15     0     1     1    15
  4.9256143868401647E-01 a        16     0     1     1    16
  4.7840953416276948E+00 a        17     0     1     1    17
 -5.1380154144966694E-01 a        18     0     1     1    18
 -3.4276889327380977E-01 a        19     0     1     1    19
  4.7272297583212297E-01 a        20     0     1     1    20
 -1.8174161958486064E+00 a        21     0     1     1    21
  5.7444365217761466E-02 a        22     0     1     1    22
 -3.8734301873920440E+00 a        23     0     1     1    23
 -1.1598841421488251E+00 a        24     0     1     1    24
 -9.5080811358733097E+00 a        25     0     2     1     1
 -8.4436932609748876E+00 a        26     0     2     1     2
 -1.4775033370162932E-01 a        27     0     2     1     3
  4.5700826391120746E+00 a        28     0     2     1     4
 -2.0407879990344792E+01 a        29     0     2     1     5
  3.3412131338600215E+00 a        30     0     2     1     6
  4.3675305756766685E+00 a        31     0     2     1     7
  1.9008802860196361E+00 a        32     0     2     1     8
  8.4046153344772954E+00 a        33     0     2     1     9
 -9.3632246815208759E+00 a        34     0     2     1    10
 -1.2551549040950752E+01 a        35     0     2     1    11
 -3.0415924978381579E+00 a        36     0     2     1    12
 -9.4408117188652021E+00 a        37     0     2     1    13
 -3.9882850715182867E+00 a        38     0     2     1    14
 -9.5445400894478407E+00 a        39     0     2     1    15
  1.4494801674225270E+01 a        40     0     2     1    16
  8.2449110640729248E+00 a        41     0     2     1    17
 -5.1964381050555160E+00 a        42     0     2     1    18
 -1.3477146125827748E+01 a        43     0     2     1    19
 -1.4460592804778444E-01 a        44     0     2     1    20
 -2.8637657605900722E+00 a        45     0     2     1    21
  1.2389787487719335E+01 a        46     0     2     1    22
 -8.9813078828672950E+00 a        47     0     2     1    23
  2.7747273371032088E+00 a        48     0     2     1    24
 -3.7590558705171500E+00 a        49     0     3     1     1
  2.3859958541936681E+00 a        50     0     3     1     2
  4.2478837678677168E+00 a        51     0     3     1     3
  1.4787275577399791E+01 a        52     0     3     1     4
 -2.2178223426686191E+01 a        53     0     3     1     5
  1.9307433705423005E+00 a        54     0     3     1     6
  1.6994864990766608E+01 a        55     0     3     1     7
 -1.0125111074765597E+01 a        56     0     3     1     8
  4.0025165243543015E+01 a        57     0     3     1     9
  4.0507374541994521E+00 a        58     0     3     1    10
 -3.8350160697531739E+00 a        59     0     3     1    11
 -2.7263556143096751E-01 a        60     0     3     1    12
  1.5094461002584257E+01 a        61     0     3     1    13
 -1.0579291225835483E+01 a        62     0     3     1    14
 -3.9792333599562064E+00 a        63     0     3     1    15
  8.2305154662409166E+00 a        64     0     3     1    16
 -4.1878839798869718E+00 a        65     0     3     1    17
  7.8508740035635292E+00 a        66     0     3     1    18
 -9.7696204645254348E+00 a        67     0     3     1    19
 -2.7295800679675079E+01 a        68     0     3     1    20
 -2.2411416247967669E+01 a        69     0     3     1    21
 -2.1351027184158998E+01 a        70     0     3     1    22
 -1.1432044910640251E+01 a        71     0     3     1    23
  1.6915420971806512E+01 a        72     0     3     1    24
  8.6456475300245401E+00 a        73     0     4     1     1
  8.3977279311156146E+00 a        74     0     4     1     2
  2.2130245197738721E-01 a        75     0     4     1     3
 -7.3491031822799640E+00 a        76     0     4     1     4
  1.9689319575076581E+01 a        77     0     4     1     5
 -3.6199196504108082E+00 a        78     0     4     1     6
 -4.1647860623445547E+00 a        79     0     4     1     7
 -1.1974566351923353E+00 a        80     0     4     1     8
 -6.7428369815875087E+00 a        81     0     4     1     9
  1.0010077977021618E+01 a        82     0     4     1    10
  1.8139749003981166E+01 a        83     0     4     1    11
  3.3666956464233309E+00 a        84     0     4     1    12
  1.2159932527138986E+01 a        85     0     4     1    13
  5.2983906471681497E+00 a        86     0     4     1    14
  1.2186806029945101E+01 a        87     0     4     1    15
