################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.2633265590090286E+00 a         1     0     1     1     1
  3.6682891782206262E-01 a         2     0     1     1     2
 -7.4926823053983294E-01 a         3     0     1     1     3
 -2.7477508546022400E+00 a         4     0     1     1     4
 -2.2517008634119930E+00 a         5     0     1     1     5
 -3.2988797268136412E+00 a         6     0     1     1     6
  6.7504198846739671E-01 a         7     0     1     1     7
 -3.4994093330746283E+00 a         8     0     1     1     8
  9.9596465134076162E-01 a         9     0     1     1     9
 -8.2985032066789655E-01 a        10     0     1     1    10
 -2.8451959245832397E+00 a        11     0     1     1    11
 -8.2337063322146065E-01 a        12     0     1     1    12
  2.9738973813646358E-01 a        13     0     1     1    13
  7.1149364253483516E-01 a        14     0     1     1    14
  1.9866234145059770E-02 a        15     0     1     1    15
 -1.4016993339641144E+00 a        16     0     1     1    16
  1.2424004225233287E+00 a        17     0     1     1    17
  2.7832659177311716E+00 a        18     0     1     1    18
  6.5981151560070794E-01 a        19     0     1     1    19
  4.6372318918470062E-01 a        20     0     1     1    20
 -8.2079061357039251E-01 a        21     0     1     1    21
  5.7631521389089435E-01 a        22     0     1     1    22
 -2.4856184713921272E+00 a        23     0     1     1    23
 -4.0785552470537850E-01 a        24     0     1     1    24
 -6.4265802092484858E-01 a        25     0     2     1     1
 -1.2680218652713400E+00 a        26     0     2     1     2
 -1.0078401394136867E+00 a        27     0     2     1     3
 -6.6755167422820216E-01 a        28     0     2     1     4
 -3.4480418050304468E-01 a        29     0     2     1     5
  2.9500877946981809E+00 a        30     0     2     1     6
  1.3323744328239963E-02 a        31     0     2     1     7
