################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.4338565927612965E+00 a         1     0     1     1     1
  3.4663781531313287E+00 a         2     0     1     1     2
 -3.9917267753867933E+00 a         3     0     1     1     3
 -4.0547896308921327E-01 a         4     0     1     1     4
  4.0480977317439608E+00 a         5     0     1     1     5
  3.8921100401158093E-01 a         6     0     1     1     6
  2.0300276544013429E+00 a         7     0     1     1     7
 -6.9189074019501033E+00 a         8     0     1     1     8
  3.0361711186451248E+00 a         9     0     1     1     9
  7.7861061170271721E+00 a        10     0     1     1    10
  1.2395661860503178E+00 a        11     0     1     1    11
  2.5821539108416807E+00 a        12     0     1     1    12
 -5.5635309572308922E-01 a        13     0     1     1    13
  1.2272211930104785E+01 a        14     0     1     1    14
 -6.9469640236051200E+00 a        15     0     1     1    15
 -1.8756881203937994E+00 a        16     0     1     1    16
 -2.2632762654829364E+00 a        17     0     1     1    17
  1.3701430640742105E+00 a        18     0     1     1    18
  2.5501430359610344E+00 a        19     0     1     1    19
  1.0914956378957485E+00 a        20     0     1     1    20
  4.4495252367318088E+00 a        21     0     1     1    21
  5.2692129205086120E+00 a        22     0     1     1    22
  1.6105203172664573E+00 a        23     0     1     1    23
 -2.9467254168018888E+00 a        24     0     1     1    24
  2.1733809999274842E+00 a        25     0     2     1     1
  5.9137259923999004E+00 a        26     0     2     1     2
  2.2789242599906423E+00 a        27     0     2     1     3
 -3.4615511154065297E+00 a        28     0     2     1     4
 -1.4034526890922909E+00 a        29     0     2     1     5
  2.9337005953476867E+00 a        30     0     2     1     6
  2.7217889995020665E+00 a        31     0     2     1     7
  3.2219518012787458E+00 a        32     0     2     1     8
  2.7663943699676130E+00 a        33     0     2     1     9
  4.4147020672625720E-01 a        34     0     2     1    10
 -5.4883496871680064E+00 a        35     0     2     1    11
  5.3465876009750779E-01 a        36     0     2     1    12
  5.0264786991493873E+00 a        37     0     2     1    13
 -4.6289460285673609E+00 a        38     0     2     1    14
 -3.5684578292773184E+00 a        39     0     2     1    15
  2.4671365634368758E+00 a        40     0     2     1    16
  2.1559150751106393E+00 a        41     0     2     1    17
  2.5347018541761723E-01 a        42     0     2     1    18
  4.7278828134903689E-01 a        43     0     2     1    19
 -3.2688716729667577E-01 a        44     0     2     1    20
  2.7350470321232758E+00 a        45     0     2     1    21
  1.7591554361488493E+00 a        46     0     2     1    22
 -3.8167754551594095E+00 a        47     0     2     1    23
 -1.1890103024093233E+00 a        48     0     2     1    24
  1.4002202546618729E+00 a        49     0     3     1     1
  3.0732278704986666E+00 a        50     0     3     1     2
  1.8828758911030226E+00 a        51     0     3     1     3
  9.4348231382683623E-01 a        52     0     3     1     4
  1.7444137426128350E+00 a        53     0     3     1     5
  2.5052523828863329E+00 a        54     0     3     1     6
  1.8538666793905023E+00 a        55     0     3     1     7
  2.1607058812210629E+00 a        56     0     3     1     8
  1.6490075376726341E-02 a        57     0     3     1     9
 -1.1497206082041660E+00 a        58     0     3     1    10
 -1.4550604276988330E+00 a        59     0     3     1    11
 -1.2647591817699317E+00 a        60     0     3     1    12
  3.0562131083068724E+00 a        61     0     3     1    13
 -1.5425608962193027E+00 a        62     0     3     1    14
  2.6522516396958400E+00 a        63     0     3     1    15
 -8.4117024694146267E-02 a        64     0     3     1    16
  7.2018823745927510E-02 a        65     0     3     1    17
  1.8925762260710901E+00 a        66     0     3     1    18
 -3.8412882367380377E+00 a        67     0     3     1    19
  2.2146922037005838E+00 a        68     0     3     1    20
 -1.3638600619131596E+00 a        69     0     3     1    21
 -3.0583819266888690E+00 a        70     0     3     1    22
  4.1811504326285904E+00 a        71     0     3     1    23
 -4.6609334352769305E-01 a        72     0     3     1    24
  6.5155892979458336E+00 a        73     0     4     1     1
 -2.4517895377397938E+00 a        74     0     4     1     2
  4.0994382954945321E+00 a        75     0     4     1     3
  1.4642465457960430E+00 a        76     0     4     1     4
 -1.7299474046686327E+00 a        77     0     4     1     5
  3.3130462353309376E-01 a        78     0     4     1     6
 -1.2647828592830284E+00 a        79     0     4     1     7
  7.7900660604065921E+00 a        80     0     4     1     8
 -2.3489805697237993E+00 a        81     0     4     1     9
 -7.1983280806355365E+00 a        82     0     4     1    10
 -2.5181511405755526E+00 a        83     0     4     1    11
 -1.8486693580400060E+00 a        84     0     4     1    12
  2.9702947790914096E+00 a        85     0     4     1    13
 -1.1242818937911959E+01 a        86     0     4     1    14
  6.3784768749886247E+00 a        87     0     4     1    15
  8.0641169764158027E-01 a        88     0     4     1    16
  2.2552514644443562E+00 a        89     0     4     1    17
