################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.6897546287844136E+00 a         1     0     1     1     1
  1.7026421668723408E+00 a         2     0     1     1     2
  2.3711307516873421E+00 a         3     0     1     1     3
  1.8186722921779086E+00 a         4     0     1     1     4
 -6.5367671826106444E-01 a         5     0     1     1     5
  4.8283736563649979E+00 a         6     0     1     1     6
  2.7819885479520092E+00 a         7     0     1     1     7
 -4.3587840082230844E+00 a         8     0     1     1     8
 -2.3406301164911758E+00 a         9     0     1     1     9
 -6.9018095611713004E-01 a        10     0     1     1    10
  2.9673334770031556E-01 a        11     0     1     1    11
  1.0042837998669945E+00 a        12     0     1     1    12
  1.7792299288153526E+00 a        13     0     1     1    13
 -2.0267130029507880E+00 a        14     0     1     1    14
 -3.8766693006877642E+00 a        15     0     1     1    15
 -4.2240971738651103E+00 a        16     0     1     1    16
  2.9724418586086228E+00 a        17     0     1     1    17
  3.7836761174447178E+00 a        18     0     1     1    18
  2.2344893388529536E+00 a        19     0     1     1    19
 -2.2563330185354245E+00 a        20     0     1     1    20
 -3.8181005556132663E+00 a        21     0     1     1    21
  1.3060840475886688E+00 a        22     0     1     1    22
 -3.7511814815922020E+00 a        23     0     1     1    23
 -1.4783942531898148E-01 a        24     0     1     1    24
  9.4419123992052170E-02 a        25     0     2     1     1
  1.4579534355078461E+00 a        26     0     2     1     2
  1.5348896152556843E-01 a        27     0     2     1     3
  2.2445100361321062E+00 a        28     0     2     1     4
 -4.5345922011780537E+00 a        29     0     2     1     5
  8.8282872555105936E+00 a        30     0     2     1     6
  1.8764037984938453E-01 a        31     0     2     1     7
 -9.7392493746160302E-01 a        32     0     2     1     8
 -5.2127697019438690E-01 a        33     0     2     1     9
  2.6766655906376535E-01 a        34     0     2     1    10
 -9.7191413850389319E-01 a        35     0     2     1    11
 -3.6677011452984321E-01 a        36     0     2     1    12
  2.4509180892065063E+00 a        37     0     2     1    13
  3.8392893582119070E-01 a        38     0     2     1    14
  3.3182994677611073E+00 a        39     0     2     1    15
  9.0356612187517582E-01 a        40     0     2     1    16
 -6.9077453475248751E-01 a        41     0     2     1    17
 -1.5528678271855614E+00 a        42     0     2     1    18
  1.6407197183216895E+00 a        43     0     2     1    19
  3.9144791296316308E+00 a        44     0     2     1    20
 -3.4807408438044141E-01 a        45     0     2     1    21
  6.9098244209872455E+00 a        46     0     2     1    22
  9.8601759432441416E-01 a        47     0     2     1    23
  3.9820840798763135E+00 a        48     0     2     1    24
  9.1707910016492034E-01 a        49     0     3     1     1
 -2.6638492863101282E-01 a        50     0     3     1     2
 -1.3851910896066488E-01 a        51     0     3     1     3
  1.3245179017920303E+00 a        52     0     3     1     4
 -2.9534820786418412E+00 a        53     0     3     1     5
  3.1490260131501374E-01 a        54     0     3     1     6
 -1.0857845784862945E+00 a        55     0     3     1     7
 -9.4632515302067799E-01 a        56     0     3     1     8
  2.8621716498141976E+00 a        57     0     3     1     9
  1.9838268057359527E+00 a        58     0     3     1    10
  1.1752001713358387E+00 a        59     0     3     1    11
  4.7653423336020513E+00 a        60     0     3     1    12
  6.8215046340549057E-01 a        61     0     3     1    13
  2.3723870813644760E-01 a        62     0     3     1    14
 -1.5348644005494714E+00 a        63     0     3     1    15
 -1.8084077104315610E-01 a        64     0     3     1    16
 -2.2767032092338564E+00 a        65     0     3     1    17
  1.5233554779427527E+00 a        66     0     3     1    18
 -4.1195504550567433E-02 a        67     0     3     1    19
 -2.1131057169997316E+00 a        68     0     3     1    20
  3.3733377583017656E+00 a        69     0     3     1    21
 -1.2355614611090706E+00 a        70     0     3     1    22
  3.5837263867408891E+00 a        71     0     3     1    23
 -1.0816083892466455E+00 a        72     0     3     1    24
 -4.0922362540494586E+00 a        73     0     4     1     1
 -1.8060430218990942E+00 a        74     0     4     1     2
 -3.2198106941082965E+00 a        75     0     4     1     3
 -1.9899800974664733E-01 a        76     0     4     1     4
 -7.5986385314371463E-01 a        77     0     4     1     5
 -3.6425965504936908E+00 a        78     0     4     1     6
 -2.2073750409184565E+00 a        79     0     4     1     7
  4.4794475826787421E+00 a        80     0     4     1     8
  3.3142744311924348E+00 a        81     0     4     1     9
  4.0996673868618083E-01 a        82     0     4     1    10
  7.5045506050681787E-01 a        83     0     4     1    11
  3.2473143899455810E+00 a        84     0     4     1    12
 -1.5404125749995290E-01 a        85     0     4     1    13
  2.2487578065326570E+00 a        86     0     4     1    14
  6.4988030731956528E+00 a        87     0     4     1    15
  6.9310394589115312E+00 a        88     0     4     1    16
 -3.8735494943935072E+00 a        89     0     4     1    17
 -4.7985241850327300E+00 a        90     0     4     1    18
 -3.0669494969162958E+00 a        91     0     4     1    19
  2.6880239976456872E+00 a        92     0     4     1    20
  3.3597655889204483E+00 a        93     0     4     1    21
  7.1269185906340154E-02 a        94     0     4     1    22
  1.9034387101838874E+00 a        95     0     4     1    23
 -1.2216746388713917E+00 a        96     0     4     1    24
  1.6007164087087007E+00 a        97     0     5     1     1
 -7.6758555340353918E-01 a        98     0     5     1     2
 -1.3556646183110195E+00 a        99     0     5     1     3
 -2.1328396473732512E+00 a       100     0     5     1     4
  5.9435408761106965E+00 a       101     0     5     1     5
 -1.1755484554405399E+01 a       102     0     5     1     6
  5.6296366365052353E-01 a       103     0     5     1     7
  2.6270219186573102E-01 a       104     0     5     1     8
  1.2795043866141960E+00 a       105     0     5     1     9
  8.8231415105558875E-01 a       106     0     5     1    10
  8.2305182551777134E-01 a       107     0     5     1    11
  1.1937780904652737E-01 a       108     0     5     1    12
 -1.7722436850605687E+00 a       109     0     5     1    13
  1.6049014279288800E+00 a       110     0     5     1    14
 -2.9905346874061305E+00 a       111     0     5     1    15
  6.3495958867398272E-01 a       112     0     5     1    16
  1.6824491581661452E-02 a       113     0     5     1    17
 -7.0388401830086589E-01 a       114     0     5     1    18
 -2.2927374561910505E+00 a       115     0     5     1    19
 -5.8685398966232265E+00 a       116     0     5     1    20
  1.3851469423147347E+00 a       117     0     5     1    21
 -7.6100745610720253E+00 a       118     0     5     1    22
  7.8243950744904214E-02 a       119     0     5     1    23
 -4.4420201279703031E+00 a       120     0     5     1    24
  4.0001449396621569E-01 a       121     0     6     1     1
  4.4305632352968305E-01 a       122     0     6     1     2
  7.3374756267272734E-01 a       123     0     6     1     3
 -4.0692228962948584E-01 a       124     0     6     1     4
  8.0014031903928140E-01 a       125     0     6     1     5
  4.3799726043219533E-01 a       126     0     6     1     6
  4.2276614189463063E-01 a       127     0     6     1     7
 -1.1042038926565074E+00 a       128     0     6     1     8
 -6.1454371438914024E-01 a       129     0     6     1     9
 -8.1876449032285123E-02 a       130     0     6     1    10
 -5.9311394971702325E-01 a       131     0     6     1    11
 -2.3300535987311193E+00 a       132     0     6     1    12
 -3.9451338328640256E-01 a       133     0     6     1    13
 -9.8207405349784171E-02 a       134     0     6     1    14
 -2.0618258266547551E+00 a       135     0     6     1    15
 -1.9846790916818615E+00 a       136     0     6     1    16
  1.2242105186248082E+00 a       137     0     6     1    17
  9.9946534718282987E-01 a       138     0     6     1    18
  1.0945468013490818E+00 a       139     0     6     1    19
 -8.5301277743954029E-01 a       140     0     6     1    20
 -2.7843127328271955E-01 a       141     0     6     1    21
 -6.4064586450039118E-01 a       142     0     6     1    22
  4.2773004824593203E-01 a       143     0     6     1    23
  8.5906507086458594E-01 a       144     0     6     1    24
 -1.8469012856727135E-01 a       145     0     7     1     1
 -8.4230949139078770E-01 a       146     0     7     1     2
 -9.8768058703870981E-02 a       147     0     7     1     3
 -2.7268552534409335E-01 a       148     0     7     1     4
  1.1457134095859272E+00 a       149     0     7     1     5
  1.3057106179229465E+00 a       150     0     7     1     6
  2.9879803715061920E-01 a       151     0     7     1     7
  3.8992028074284041E-01 a       152     0     7     1     8
 -1.1639881232499236E+00 a       153     0     7     1     9
 -8.1265469932359147E-01 a       154     0     7     1    10
 -1.1648904934934996E+00 a       155     0     7     1    11
 -1.9750539911080747E+00 a       156     0     7     1    12
 -3.4724527829123469E-01 a       157     0     7     1    13
  5.2217128647424360E-01 a       158     0     7     1    14
  4.5530484532669342E-02 a       159     0     7     1    15
  3.2102379646671236E-01 a       160     0     7     1    16
  1.4452033363335555E+00 a       161     0     7     1    17
 -1.4039210175086738E+00 a       162     0     7     1    18
  2.9235934035271754E-01 a       163     0     7     1    19
  8.6014762355261587E-01 a       164     0     7     1    20
 -4.9253342827329366E-01 a       165     0     7     1    21
  7.5460673364956043E-01 a       166     0     7     1    22
 -9.3556962856613346E-01 a       167     0     7     1    23
  7.8211189862342501E-01 a       168     0     7     1    24
 -1.1370425883051014E+00 a       169     0     8     1     1
 -6.4310686050504984E-01 a       170     0     8     1     2
  4.0195734994554494E-01 a       171     0     8     1     3
  5.6388590224606350E-01 a       172     0     8     1     4
 -3.1440307868997266E+00 a       173     0     8     1     5
  7.7845351920662704E+00 a       174     0     8     1     6
 -2.9798217965393803E-01 a       175     0     8     1     7
 -1.1795163449074342E+00 a       176     0     8     1     8
 -2.0199802167703651E+00 a       177     0     8     1     9
 -1.0420693885353656E+00 a       178     0     8     1    10
 -5.0496302032201679E-01 a       179     0     8     1    11
 -9.7637539392489237E-01 a       180     0     8     1    12
 -7.8512196849318827E-01 a       181     0     8     1    13
 -2.4123287920862584E+00 a       182     0     8     1    14
  3.4289538765487428E+00 a       183     0     8     1    15
 -1.6241195902149783E+00 a       184     0     8     1    16
 -1.4210057745727805E-01 a       185     0     8     1    17
 -1.2080211043407862E+00 a       186     0     8     1    18
  1.1788971111140056E+00 a       187     0     8     1    19
  4.1536371296497672E+00 a       188     0     8     1    20
 -2.2776226979217302E+00 a       189     0     8     1    21
  2.9959968194990068E+00 a       190     0     8     1    22
 -4.8909551489112646E-01 a       191     0     8     1    23
  2.7642609744743614E+00 a       192     0     8     1    24
 -4.4194176208279110E+00 a       193     0     9     1     1
 -2.9709378440291618E+00 a       194     0     9     1     2
 -5.5717618421468815E+00 a       195     0     9     1     3
 -5.4711732227110961E+00 a       196     0     9     1     4
  4.8576887602584478E+00 a       197     0     9     1     5
  1.5351458166352999E-01 a       198     0     9     1     6
 -8.3290703135382564E+00 a       199     0     9     1     7
  6.4720036601969841E+00 a       200     0     9     1     8
 -7.0389870577689289E+00 a       201     0     9     1     9
  2.6019059399272546E+00 a       202     0     9     1    10
 -2.4099291302528951E+00 a       203     0     9     1    11
 -3.9135674054525373E+00 a       204     0     9     1    12
 -8.2741281190730849E+00 a       205     0     9     1    13
 -1.1804964939242271E+00 a       206     0     9     1    14
 -4.2237723963429827E+00 a       207     0     9     1    15
 -5.4710396338768312E+00 a       208     0     9     1    16
  1.0336065359408826E+00 a       209     0     9     1    17
 -1.8084582887792406E+00 a       210     0     9     1    18
 -4.5589504250637853E+00 a       211     0     9     1    19
 -2.3706063615480284E+00 a       212     0     9     1    20
  3.9022099886674497E+00 a       213     0     9     1    21
  1.3553846972246437E+00 a       214     0     9     1    22
  4.1485330238714910E+00 a       215     0     9     1    23
  2.3617775896355444E+00 a       216     0     9     1    24
 -1.1798821333351130E+01 a       217     0    10     1     1
  2.4091140475110704E+00 a       218     0    10     1     2
  1.2345200970228104E-01 a       219     0    10     1     3
  3.7020619833354756E-01 a       220     0    10     1     4
  1.1215067517502916E+01 a       221     0    10     1     5
 -1.7156574449599871E-01 a       222     0    10     1     6
 -1.3320561192804497E+01 a       223     0    10     1     7
  5.9678554023323782E+00 a       224     0    10     1     8
  5.4258806800352950E+00 a       225     0    10     1     9
 -4.5186492070989939E+00 a       226     0    10     1    10
  3.6619827712913122E+00 a       227     0    10     1    11
  5.6076797864686423E+00 a       228     0    10     1    12
 -1.1344605730505174E+01 a       229     0    10     1    13
  4.7375142677114406E+00 a       230     0    10     1    14
