################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1914542004394082E+00 a         1     0     1     1     1
  1.1885652071785218E+00 a         2     0     1     1     2
  6.6926688530171452E-01 a         3     0     1     1     3
 -3.2542926662684651E-01 a         4     0     1     1     4
  6.8369286748616520E-01 a         5     0     1     1     5
  1.8395113112813324E-01 a         6     0     1     1     6
  2.0488469472073083E+00 a         7     0     1     1     7
  3.2042177198429709E+00 a         8     0     1     1     8
  2.0544246565271548E-01 a         9     0     1     1     9
  1.9930016887508819E+00 a        10     0     1     1    10
 -9.1805882902287061E-01 a        11     0     1     1    11
 -3.7033291430482209E+00 a        12     0     1     1    12
  1.1657162370056244E+00 a        13     0     1     1    13
 -2.8889523363573522E-01 a        14     0     1     1    14
 -1.4155459378865185E+00 a        15     0     1     1    15
  1.5841584983660231E+00 a        16     0     1     1    16
 -1.3116647542107753E+00 a        17     0     1     1    17
 -9.8521446322136985E-01 a        18     0     1     1    18
 -1.4489274866919564E+00 a        19     0     1     1    19
  1.5221266897636627E+00 a        20     0     1     1    20
 -3.0436018446080276E-01 a        21     0     1     1    21
  2.0749825020349077E+00 a        22     0     1     1    22
 -7.8347520560125483E-01 a        23     0     1     1    23
  6.1085354459269790E-02 a        24     0     1     1    24
 -2.6875779298596933E+00 a        25     0     2     1     1
  2.9525342231055500E+00 a        26     0     2     1     2
 -1.1799975033770056E+00 a        27     0     2     1     3
  2.7994910977191467E+00 a        28     0     2     1     4
  9.5788536668050095E-01 a        29     0     2     1     5
 -3.4478956488383472E-01 a        30     0     2     1     6
  5.7804274788756527E-01 a        31     0     2     1     7
  1.2827077174967001E+00 a        32     0     2     1     8
  9.8827214437198341E-01 a        33     0     2     1     9
  1.7165190485516664E+00 a        34     0     2     1    10
 -8.5355342891530495E-01 a        35     0     2     1    11
  2.5822475323512067E-01 a        36     0     2     1    12
 -1.4291514877534386E+00 a        37     0     2     1    13
 -1.3908812030902589E+00 a        38     0     2     1    14
  9.1666661328385593E-02 a        39     0     2     1    15
 -1.3066208690636958E+00 a        40     0     2     1    16
  1.5833084541538237E-01 a        41     0     2     1    17
  9.0425191142121797E-01 a        42     0     2     1    18
 -2.9776417542039052E-01 a        43     0     2     1    19
 -1.4395387088276190E+00 a        44     0     2     1    20
  1.1327936710976536E+00 a        45     0     2     1    21
  1.0067799800912006E-01 a        46     0     2     1    22
  1.2868237676240837E+00 a        47     0     2     1    23
  1.4102218810299643E+00 a        48     0     2     1    24
 -4.8245217752770380E+00 a        49     0     3     1     1
 -1.3404405513247919E+00 a        50     0     3     1     2
  7.1514520617248181E+00 a        51     0     3     1     3
 -1.6165376423903088E-01 a        52     0     3     1     4
 -4.9205898174669223E+00 a        53     0     3     1     5
