################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.6569207991091916E-02 a         1     0     1     1     1
 -2.9657600102973678E+00 a         2     0     1     1     2
 -8.6185326587205491E-01 a         3     0     1     1     3
 -1.2785436319695451E+00 a         4     0     1     1     4
 -1.9190808867102183E+00 a         5     0     1     1     5
  1.5558948797181942E+00 a         6     0     1     1     6
 -7.7601474452858499E-01 a         7     0     1     1     7
  1.5372930566033197E-01 a         8     0     1     1     8
 -1.1698744372645971E+00 a         9     0     1     1     9
 -2.2050580084159428E+00 a        10     0     1     1    10
 -2.7977452782652508E+00 a        11     0     1     1    11
 -2.2974889540711092E+00 a        12     0     1     1    12
 -2.2715534756922575E+00 a        13     0     1     1    13
  1.6711484382337727E+00 a        14     0     1     1    14
  5.6735609051694380E-01 a        15     0     1     1    15
  1.0698016376863988E+00 a        16     0     1     1    16
  1.9044903274873071E+00 a        17     0     1     1    17
 -1.6168247455337745E+00 a        18     0     1     1    18
 -1.0796485094728727E+00 a        19     0     1     1    19
  1.1852314246093405E+00 a        20     0     1     1    20
  8.0004983699975707E-01 a        21     0     1     1    21
 -2.5534552958497236E-01 a        22     0     1     1    22
 -1.4405930833221923E+00 a        23     0     1     1    23
  9.4785695707600548E-01 a        24     0     1     1    24
 -4.1628148213077543E+00 a        25     0     2     1     1
 -2.1497127327843675E+00 a        26     0     2     1     2
  2.0319602063806537E+00 a        27     0     2     1     3
 -3.1888769912639994E+00 a        28     0     2     1     4
 -1.2186014128031866E+00 a        29     0     2     1     5
  2.1855805207847885E+00 a        30     0     2     1     6
  5.2068595048038915E-02 a        31     0     2     1     7
  3.3620342248629448E-01 a        32     0     2     1     8
  1.3854871438587009E+00 a        33     0     2     1     9
  2.5885371495908505E-01 a        34     0     2     1    10
  3.2936339399213443E-01 a        35     0     2     1    11
  1.4842331957442398E+00 a        36     0     2     1    12
 -2.9412797450392464E-01 a        37     0     2     1    13
 -2.0214700049183572E+00 a        38     0     2     1    14
  5.2419323708976462E-01 a        39     0     2     1    15
  1.2934055537939554E-01 a        40     0     2     1    16
