################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7795373555052665E+00 a         1     0     1     1     1
 -8.3198379953144319E-01 a         2     0     1     1     2
  2.8787549808451467E+00 a         3     0     1     1     3
 -3.3828472794061040E+00 a         4     0     1     1     4
  3.5519036171353195E+00 a         5     0     1     1     5
  5.2997036398324484E+00 a         6     0     1     1     6
 -7.3287386235156307E-02 a         7     0     1     1     7
  1.7621791125675457E+00 a         8     0     1     1     8
  8.1627295692695991E+00 a         9     0     1     1     9
 -2.8528935423664721E+00 a        10     0     1     1    10
 -6.5674433942929591E+00 a        11     0     1     1    11
  4.5204198442828050E+00 a        12     0     1     1    12
 -5.3141281187327118E+00 a        13     0     1     1    13
  7.9294285451543356E+00 a        14     0     1     1    14
  7.0717414923466908E+00 a        15     0     1     1    15
  2.8425916940161027E+01 a        16     0     1     1    16
  1.7733816320325417E+01 a        17     0     1     1    17
 -4.9393297687232813E+00 a        18     0     1     1    18
 -1.4123168238217250E+01 a        19     0     1     1    19
  7.5378866791096941E+00 a        20     0     1     1    20
 -1.1351827766811361E+01 a        21     0     2     1     1
  1.2560712449448722E+01 a        22     0     2     1     2
 -1.4473839331848920E+01 a        23     0     2     1     3
  1.5745099951718812E+01 a        24     0     2     1     4
  2.3533942653183811E+01 a        25     0     2     1     5
 -7.2994866979281525E-01 a        26     0     2     1     6
 -8.4598475505892399E+00 a        27     0     2     1     7
  1.3368224919193908E+01 a        28     0     2     1     8
 -1.2187734041677553E+01 a        29     0     2     1     9
 -1.0215109031062788E+01 a        30     0     2     1    10
 -6.7419387501170647E+01 a        31     0     2     1    11
  2.8315922826189542E+01 a        32     0     2     1    12
 -1.2210095728244163E+01 a        33     0     2     1    13
  2.2053220025353863E+00 a        34     0     2     1    14
 -1.9077377535264457E+01 a        35     0     2     1    15
  3.3262458742806915E+00 a        36     0     2     1    16
  5.9159927108066832E+01 a        37     0     2     1    17
  1.5128741519395236E+01 a        38     0     2     1    18
 -2.5040015810094271E+01 a        39     0     2     1    19
  4.1344238954278360E+01 a        40     0     2     1    20
  1.9142351506964388E+01 a        41     0     3     1     1
  2.9418789798303564E+01 a        42     0     3     1     2
  7.0461568194142545E+00 a        43     0     3     1     3
 -2.0203747940132907E+01 a        44     0     3     1     4
 -7.9857136450581514E+00 a        45     0     3     1     5
  2.4776430242729159E+01 a        46     0     3     1     6
 -5.1270220375022362E+00 a        47     0     3     1     7
 -3.7842414599857972E+00 a        48     0     3     1     8
  3.9939023775936796E+01 a        49     0     3     1     9
  1.8519737241760712E+01 a        50     0     3     1    10
 -9.6444874524231725E+00 a        51     0     3     1    11
  7.1305309421141905E+00 a        52     0     3     1    12
 -1.1746705000400491E+01 a        53     0     3     1    13
 -3.5640533397330650E+01 a        54     0     3     1    14
 -1.4183698604838035E+01 a        55     0     3     1    15
 -2.7989826253211127E+01 a        56     0     3     1    16
  4.1335842685577845E+01 a        57     0     3     1    17
  1.1864614185770430E+01 a        58     0     3     1    18
 -5.9795831712534664E+00 a        59     0     3     1    19
 -9.9768660667683684E-01 a        60     0     3     1    20
  1.5204835879913896E+01 a        61     0     4     1     1
 -1.1985736180196758E+01 a        62     0     4     1     2
  2.3151462771281757E+01 a        63     0     4     1     3
 -2.3463076716827352E+01 a        64     0     4     1     4
 -3.2365008264467910E+01 a        65     0     4     1     5
  3.4379793001682701E+00 a        66     0     4     1     6
  1.3392210873700328E+01 a        67     0     4     1     7
 -1.9708244602147772E+01 a        68     0     4     1     8
  1.4038299150966914E+01 a        69     0     4     1     9
  1.1898651881997280E+01 a        70     0     4     1    10
  6.6869472292942021E+01 a        71     0     4     1    11
 -1.5367563748514376E+01 a        72     0     4     1    12
  1.5018699688288141E+01 a        73     0     4     1    13
  6.9655334792167265E+00 a        74     0     4     1    14
  4.0489514170368267E+01 a        75     0     4     1    15
  1.0475911241373611E+01 a        76     0     4     1    16
 -7.7911693394956032E+01 a        77     0     4     1    17
 -2.9769810804787209E+01 a        78     0     4     1    18
  2.6128388041767526E+01 a        79     0     4     1    19
