################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.5520407201989599E+00 a         1     0     1     1     1
  8.4317998010533302E-01 a         2     0     1     1     2
 -1.2605786904986821E-01 a         3     0     1     1     3
  3.6461604009610262E+00 a         4     0     1     1     4
  2.8049834601191564E-01 a         5     0     1     1     5
 -6.4992893735057500E+00 a         6     0     1     1     6
  4.5331110170344147E+00 a         7     0     1     1     7
  6.7889085238351239E+00 a         8     0     1     1     8
 -7.8268957488156410E+00 a         9     0     1     1     9
 -1.4388969488745387E+00 a        10     0     1     1    10
  6.9595323418986521E-01 a        11     0     1     1    11
 -5.8663806477134957E+00 a        12     0     1     1    12
  1.1960644924378041E+00 a        13     0     1     1    13
 -1.1238937665507899E+01 a        14     0     1     1    14
  8.6539997500200838E-01 a        15     0     1     1    15
  5.4704945446409958E+00 a        16     0     1     1    16
 -3.2272771378738061E+00 a        17     0     1     1    17
 -2.7871228289949292E+00 a        18     0     1     1    18
  5.2177362455093883E+00 a        19     0     1     1    19
  1.3000591985977736E+00 a        20     0     1     1    20
  5.2591208803341001E+00 a        21     0     1     1    21
  5.6486518818143301E+00 a        22     0     1     1    22
 -7.2070120730207670E+00 a        23     0     1     1    23
 -2.5495310915755969E+00 a        24     0     1     1    24
 -1.6003628126629055E+00 a        25     0     2     1     1
 -7.3256509713049844E+00 a        26     0     2     1     2
  3.6488776552381097E-01 a        27     0     2     1     3
 -3.8035896890684238E+00 a        28     0     2     1     4
  5.7616630871757177E+00 a        29     0     2     1     5
 -3.6846906002030764E+00 a        30     0     2     1     6
  1.9001347262792115E-01 a        31     0     2     1     7
 -4.6595505405270510E+00 a        32     0     2     1     8
 -8.2768460362231533E+00 a        33     0     2     1     9
  1.3743341598760050E+01 a        34     0     2     1    10
 -1.2198273715780289E+01 a        35     0     2     1    11
 -4.7376914769351711E-04 a        36     0     2     1    12
  1.9282667512561587E+00 a        37     0     2     1    13
 -9.3830326737523269E+00 a        38     0     2     1    14
  1.3693487570459244E+01 a        39     0     2     1    15
  2.8383665250864740E+00 a        40     0     2     1    16
 -2.5736931968546690E+00 a        41     0     2     1    17
 -3.0789321798979841E-01 a        42     0     2     1    18
  7.3399101839527487E+00 a        43     0     2     1    19
  2.2893919013013337E+00 a        44     0     2     1    20
 -1.3478835459510211E+01 a        45     0     2     1    21
 -5.7216783289402304E+00 a        46     0     2     1    22
 -1.7102367905676947E+00 a        47     0     2     1    23
 -7.1734062690858078E+00 a        48     0     2     1    24
  1.0695845900695826E+01 a        49     0     3     1     1
  3.2238860095740622E+00 a        50     0     3     1     2
 -9.5821646477511513E-01 a        51     0     3     1     3
 -8.6530290408685928E-01 a        52     0     3     1     4
 -1.7580796871561613E-01 a        53     0     3     1     5
  2.7986532855744626E+00 a        54     0     3     1     6
  2.2709765710278060E+00 a        55     0     3     1     7
 -1.1935441405022646E+00 a        56     0     3     1     8
 -2.3337117330589452E+00 a        57     0     3     1     9
  2.4139419368986701E+00 a        58     0     3     1    10
 -3.7345511132399372E+00 a        59     0     3     1    11
 -3.5906761720681248E+00 a        60     0     3     1    12
  2.6932723673893411E+00 a        61     0     3     1    13
  8.9053476796196906E-01 a        62     0     3     1    14
  3.1491856544371393E+00 a        63     0     3     1    15
 -4.5802954955223028E+00 a        64     0     3     1    16
  3.0443336913601953E+00 a        65     0     3     1    17
 -4.1955190613221944E+00 a        66     0     3     1    18
 -5.4267903361392333E+00 a        67     0     3     1    19
 -4.4993649446041077E+00 a        68     0     3     1    20
 -1.7403189693768153E+00 a        69     0     3     1    21
  1.5165064984202974E+00 a        70     0     3     1    22
  4.5148407413722556E+00 a        71     0     3     1    23
 -4.3408037192399780E+00 a        72     0     3     1    24
 -7.1893869645710531E+00 a        73     0     4     1     1
 -1.8048048692359469E+00 a        74     0     4     1     2
  6.3080214377211041E-01 a        75     0     4     1     3
 -4.4320335278428074E+00 a        76     0     4     1     4
 -6.7069085814970775E-01 a        77     0     4     1     5
  4.5915607373371587E+00 a        78     0     4     1     6
 -2.2278616144064700E+00 a        79     0     4     1     7
 -5.3150969923584723E+00 a        80     0     4     1     8
  6.9882838047810196E+00 a        81     0     4     1     9
  4.7470252812843583E+00 a        82     0     4     1    10
 -5.9629504612925863E-02 a        83     0     4     1    11
  4.7027227640186604E+00 a        84     0     4     1    12
 -1.7656904834514986E+00 a        85     0     4     1    13
  1.3260783241134586E+01 a        86     0     4     1    14
  4.5402466233472341E+00 a        87     0     4     1    15
 -5.5150396936012926E+00 a        88     0     4     1    16
  2.6257556821080819E+00 a        89     0     4     1    17
  2.6278292788966828E+00 a        90     0     4     1    18
 -6.2798652737319083E+00 a        91     0     4     1    19
  5.4347865227693115E-01 a        92     0     4     1    20
 -5.4928574380089765E+00 a        93     0     4     1    21
 -5.4098922701972825E+00 a        94     0     4     1    22
  1.1228086754379961E+01 a        95     0     4     1    23
 -1.2644448541119882E-01 a        96     0     4     1    24
  2.6188799895347521E+00 a        97     0     5     1     1
  4.7774085169741527E+00 a        98     0     5     1     2
 -1.0991474381482502E+00 a        99     0     5     1     3
