################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.9790859234034777E-01 a         1     0     1     1     1
  1.2310061402953048E+00 a         2     0     1     1     2
  7.8080367374252779E-01 a         3     0     1     1     3
  2.9061569145162093E-02 a         4     0     1     1     4
 -1.0682507366757050E+00 a         5     0     1     1     5
  1.3217743516070761E+00 a         6     0     1     1     6
 -1.3721503378141442E+00 a         7     0     1     1     7
 -1.2642970782940159E+00 a         8     0     1     1     8
 -4.1540156656915963E+00 a         9     0     1     1     9
  1.9619647444409405E+00 a        10     0     1     1    10
  1.9717423871089736E+00 a        11     0     1     1    11
 -7.6295405867535449E-01 a        12     0     1     1    12
  2.9403795617217128E+00 a        13     0     1     1    13
 -4.9716927783053420E+00 a        14     0     1     1    14
  2.1501773254124585E+00 a        15     0     1     1    15
  2.9171546462187341E+00 a        16     0     1     1    16
 -1.3832894362984611E+00 a        17     0     1     1    17
  1.1018804410902092E-01 a        18     0     1     1    18
 -1.5138117894173697E+00 a        19     0     1     1    19
 -1.4429638107486836E-01 a        20     0     1     1    20
  4.6720908593093036E-01 a        21     0     1     1    21
 -9.3944552505560897E-01 a        22     0     1     1    22
  2.0963589692136688E+00 a        23     0     1     1    23
  5.0574203486927294E-01 a        24     0     1     1    24
 -2.8578747213504346E-01 a        25     0     2     1     1
 -7.6898860848948436E-01 a        26     0     2     1     2
  2.7350520712364088E+00 a        27     0     2     1     3
  1.4998338563205618E+00 a        28     0     2     1     4
  1.1618789487531196E+00 a        29     0     2     1     5
  3.6958910713766446E-01 a        30     0     2     1     6
  2.1160568808125886E+00 a        31     0     2     1     7
 -1.7961294927936511E+00 a        32     0     2     1     8
 -2.1921282838576789E-01 a        33     0     2     1     9
  2.0059333131679988E+00 a        34     0     2     1    10
 -2.4086358963603263E+00 a        35     0     2     1    11
 -1.3961516079663988E-01 a        36     0     2     1    12
 -1.6535964713563813E+00 a        37     0     2     1    13
 -8.7289500334757564E-01 a        38     0     2     1    14
 -3.9633359228363929E+00 a        39     0     2     1    15
 -2.1948561878708014E-01 a        40     0     2     1    16
  1.1890603446039743E+00 a        41     0     2     1    17
  8.4856609810101435E-01 a        42     0     2     1    18
 -9.9410857558167565E-01 a        43     0     2     1    19
 -6.0433839953100799E-01 a        44     0     2     1    20
 -4.8523950488683021E-01 a        45     0     2     1    21
 -4.4654007788166461E-01 a        46     0     2     1    22
 -2.8656538251728874E+00 a        47     0     2     1    23
 -4.8902738408371499E-01 a        48     0     2     1    24
 -1.7806833303091369E+00 a        49     0     3     1     1
 -2.6942216018989922E+00 a        50     0     3     1     2
 -3.7466168782878899E+00 a        51     0     3     1     3
  9.6379333468869852E+00 a        52     0     3     1     4
  5.5516003415920823E+00 a        53     0     3     1     5
  3.6451960254968094E+00 a        54     0     3     1     6
  1.7263836087185553E+01 a        55     0     3     1     7
 -1.2396416802308332E+01 a        56     0     3     1     8
  8.3708285789324783E+00 a        57     0     3     1     9
  1.6204722476365244E-01 a        58     0     3     1    10
  5.8231942038721807E-01 a        59     0     3     1    11
 -1.2320485889721313E+01 a        60     0     3     1    12
  1.5984480044428290E-01 a        61     0     3     1    13
 -3.5274561891962288E+00 a        62     0     3     1    14
 -6.8949898235305982E+00 a        63     0     3     1    15
  5.9142251163918456E+00 a        64     0     3     1    16
  5.9571137280088395E+00 a        65     0     3     1    17
 -1.5915241321181723E+00 a        66     0     3     1    18
 -9.7805472876038184E+00 a        67     0     3     1    19
  7.2122598243749865E+00 a        68     0     3     1    20
 -6.4167292660892841E+00 a        69     0     3     1    21
  4.9438388369781725E+00 a        70     0     3     1    22
 -1.2297198464086840E+01 a        71     0     3     1    23
  7.8618052730542942E-01 a        72     0     3     1    24
  3.5942833682547297E+00 a        73     0     4     1     1
  1.9650922145236365E+00 a        74     0     4     1     2
  1.4374604239649140E+00 a        75     0     4     1     3
