################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4539828867155160E-01 a         1     0     1     1     1
  9.4878920164909974E-01 a         2     0     1     1     2
  6.9044821367331907E-02 a         3     0     1     1     3
  3.8613071116148723E-01 a         4     0     1     1     4
 -1.2812838332032868E+00 a         5     0     1     1     5
  6.2302555464742160E-01 a         6     0     1     1     6
 -5.1078745503939638E-01 a         7     0     1     1     7
 -4.7251554829581954E-01 a         8     0     1     1     8
  2.4667308348322745E-01 a         9     0     1     1     9
 -4.8707687365446478E-02 a        10     0     1     1    10
  1.1700586550681927E-01 a        11     0     1     1    11
  1.9017847271829130E-01 a        12     0     1     1    12
 -2.2533666221901807E-01 a        13     0     1     1    13
  3.6609482885605871E-01 a        14     0     1     1    14
  1.2063115611889543E+00 a        15     0     1     1    15
  7.4175562792136474E-01 a        16     0     1     1    16
  2.7829326774296514E-01 a        17     0     1     1    17
  2.1073652272602281E-01 a        18     0     1     1    18
 -1.5710553630070261E+00 a        19     0     1     1    19
 -2.6732203567028401E-01 a        20     0     1     1    20
  1.2154952878367484E+00 a        21     0     1     1    21
 -4.9537740573160122E-01 a        22     0     1     1    22
  2.1824807115532505E+00 a        23     0     1     1    23
  8.8714115691761808E-01 a        24     0     1     1    24
 -8.8824823821394749E-01 a        25     0     2     1     1
 -1.3407138393966778E+00 a        26     0     2     1     2
  1.6388237560231373E+00 a        27     0     2     1     3
  1.3865778011023029E+00 a        28     0     2     1     4
  6.3031725472876243E-01 a        29     0     2     1     5
  5.2717597392567372E-01 a        30     0     2     1     6
 -3.2978980495290577E-01 a        31     0     2     1     7
  3.5306572820873078E-01 a        32     0     2     1     8
  3.7440039853319222E-02 a        33     0     2     1     9
  1.7535610140999012E+00 a        34     0     2     1    10
  4.5615533366374561E-01 a        35     0     2     1    11
 -9.4324761813693747E-01 a        36     0     2     1    12
 -1.1001526697797155E+00 a        37     0     2     1    13
 -9.0287179714040947E-02 a        38     0     2     1    14
  1.5823579878812060E+00 a        39     0     2     1    15
  3.4943470319784815E+00 a        40     0     2     1    16
 -7.7869631283251683E-01 a        41     0     2     1    17
 -4.6056205097027486E-01 a        42     0     2     1    18
 -1.4042484224279725E-01 a        43     0     2     1    19
  4.7688229568506912E-01 a        44     0     2     1    20
  1.1192419593772418E+00 a        45     0     2     1    21
  2.2001329622010473E+00 a        46     0     2     1    22
 -1.3623830481020900E+00 a        47     0     2     1    23
 -9.5238131362296097E-01 a        48     0     2     1    24
 -5.6999408038598348E-02 a        49     0     3     1     1
  1.8533065786135910E-01 a        50     0     3     1     2
 -1.5277926247482314E+00 a        51     0     3     1     3
