################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1231929813578385E+00 a         1     0     1     1     1
  3.3655763622395094E+00 a         2     0     1     1     2
  9.2386389547948422E-01 a         3     0     1     1     3
  8.2291144416814299E-01 a         4     0     1     1     4
  1.6331570395324995E+00 a         5     0     1     1     5
 -4.4681716631632371E+00 a         6     0     1     1     6
 -1.0739769384313411E+00 a         7     0     1     1     7
 -3.8974641322916366E+00 a         8     0     1     1     8
 -1.2478197168740914E+00 a         9     0     1     1     9
 -2.9233157588808427E+00 a        10     0     1     1    10
  1.9181307692050189E+00 a        11     0     1     1    11
  1.5087379567833545E+00 a        12     0     1     1    12
 -1.3272715707375762E+00 a        13     0     1     1    13
  1.6774218290799658E-01 a        14     0     1     1    14
 -2.8556932186954427E+00 a        15     0     1     1    15
 -3.6351213895185905E+00 a        16     0     1     1    16
 -5.2658944445108959E+00 a        17     0     1     1    17
  2.4686701999823120E+00 a        18     0     1     1    18
 -3.4820174937786424E-01 a        19     0     1     1    19
  1.5523478412087834E+00 a        20     0     1     1    20
  1.9465671343143727E+00 a        21     0     1     1    21
  4.6115022604387318E-01 a        22     0     1     1    22
  1.2861242863217230E+00 a        23     0     1     1    23
 -5.7464444565815909E-01 a        24     0     1     1    24
 -2.7149029312456334E+00 a        25     0     2     1     1
  1.2678464565850065E+00 a        26     0     2     1     2
  8.4126023840759434E-01 a        27     0     2     1     3
  3.6526977485172947E+00 a        28     0     2     1     4
  1.2632527154775337E+00 a        29     0     2     1     5
  1.8711788862499001E+00 a        30     0     2     1     6
  3.7305278904811630E+00 a        31     0     2     1     7
  2.1758899705081500E+00 a        32     0     2     1     8
  6.8682739316309693E-01 a        33     0     2     1     9
  3.3948146376800938E+00 a        34     0     2     1    10
 -5.8650753821710344E-01 a        35     0     2     1    11
  3.3832510126867560E-01 a        36     0     2     1    12
  4.7901847473265202E-01 a        37     0     2     1    13
 -7.8898339689348640E-01 a        38     0     2     1    14
 -2.3699964530089956E+00 a        39     0     2     1    15
  7.2584190268632678E-02 a        40     0     2     1    16
  3.6301951291969305E+00 a        41     0     2     1    17
 -2.6055182726887303E+00 a        42     0     2     1    18
  5.3316453086429201E+00 a        43     0     2     1    19
 -7.5106234256392479E-01 a        44     0     2     1    20
  2.3003711530623967E+00 a        45     0     2     1    21
 -3.2593123420565739E-01 a        46     0     2     1    22
 -2.4557535392563792E+00 a        47     0     2     1    23
 -1.8651938861706154E+00 a        48     0     2     1    24
  1.3416393168589430E+01 a        49     0     3     1     1
 -1.0766600528829601E+01 a        50     0     3     1     2
 -5.0179607125638865E+00 a        51     0     3     1     3
 -2.4729153889317894E+00 a        52     0     3     1     4
  2.1226670050993914E+00 a        53     0     3     1     5
 -6.0344068891311089E+00 a        54     0     3     1     6
 -2.5651642943660217E+01 a        55     0     3     1     7
  1.5418888987787118E+00 a        56     0     3     1     8
 -3.1370311411428279E+01 a        57     0     3     1     9
 -1.2683949743398539E+01 a        58     0     3     1    10
 -1.3155224166575422E+01 a        59     0     3     1    11
  3.3212868442818499E+00 a        60     0     3     1    12
  3.9598042535912468E+00 a        61     0     3     1    13
 -6.8009838013490276E+00 a        62     0     3     1    14
 -8.9426263865705788E+00 a        63     0     3     1    15
  5.8699235576491802E+00 a        64     0     3     1    16
  1.4278539785098481E+01 a        65     0     3     1    17
 -1.9983634939568597E+00 a        66     0     3     1    18
 -9.4755015789882204E+00 a        67     0     3     1    19
 -2.5872702057230241E+00 a        68     0     3     1    20
 -1.5275586455759283E+01 a        69     0     3     1    21
  7.0535597944921209E+00 a        70     0     3     1    22
  1.2014765706100448E+01 a        71     0     3     1    23
  1.4829796091615779E+00 a        72     0     3     1    24
 -1.6660654286367592E+01 a        73     0     4     1     1
  1.5375991288838049E+01 a        74     0     4     1     2
