# Ref: http://cst-www.nrl.navy.mil/lattice/prototype.html (21.03.2012)
#          Prototype  NrSpecies  Stochiometry   Pearson's     Struktur   SpaceGroup    Nr    Wyckoff  NrIrr     Notes
              AgAsMg        3           1:1:1        cF12          C1b         F43m   216        abc      3     half-Heusler
             AgAuTe4        3           1:1:4        mP12          E1b         P2/c    13       aeg2      4     --
             AgC2KN2        4         1:1:2:2        hP36         F510         P31c   163      bfhi2      5     Usually_written_KAg(CN)
                Ag2O        2             1:2         cP6           C3         Pn3m   224         ab      2     Cuprite
               Ag2Se        2             1:2        oP12           --      P212121    19         a3      3     Naumannite
            AgZn(nu)        2             1:1         hP9           Bb           P3   147        adg      3     --
                AlB2        2             1:2         hP3          C32       P6/mmm   191         ad      2     hexagonal_omega
              AlB4Mg        3           1:1:4         hP6           --       P6/mmm   191        abh      3     doubled_omega
               Al4Ba        2             1:4        tI10          D13       I4/mmm   139        ade      3     --
              AlCCr2        3           1:1:2         hP8           --      P63/mmc   194        adf      3     some_MAXphase
              Al5C3N        3           1:3:5        hP18          E94        P63mc   186       a4b5      9     --
             Al2CdS4        3           1:2:4        tI14           E3           I4    82       abcg      4     --
               AlCl3        2             1:3        mC16         D015         C2/m    12        gij      3     --
               Al2Cu        2             1:2        tI12          C16       I4/mcm   140         ah      2     --
             AlCu2Mn        3           1:1:2        cF16          L21         Fm3m   225        abc      3     Heusler
                AlF3        2             1:3         hR8         D014          R32   155        cde      3     --
               AlFe3        2             1:3        cF16          D03         Fm3m   225        abc      3     --
             Al2MgO4        3           1:2:4        cF56          H11         Fd3m   227        ade      3     Spinel
       (Al,Zn)49Mg32        2           32:49       cI162           --          Im3   204    ae2fg3h      8     Bergman
             AlN3Ti4        3           1:3:4        hP16           --      P63/mmc   194      acef2      5     MAXphase
              Al3Ni2        2             2:3         hP5         D519         P3m1   164        ad2      3     --
        Al2O3(alpha)        2             2:3        hR10          D51          R3c   167         ce      2     Corundum
               AlPS4        3           1:1:4        oP12           --         P222    16     acdfu2      6     --
