# atomNo bccVol fccVol bccALat fccALat name
89 45.84 45.41 4.51 5.66 Ac
47 18.14 18.02 3.31 4.16 Ag
13 16.91 16.48 3.23 4.04 Al
13 16.33 16.15 3.20 4.01 Al_h
33 19.07 19.33 3.37 4.26 As
79 18.24 18.15 3.32 4.17 Au
4 7.82 7.88 2.50 3.16 Be
4 7.81 7.87 2.50 3.16 Be_sv
5 6.13 5.89 2.31 2.87 B
5 6.13 5.89 2.31 2.87 B_h
83 31.56 31.79 3.98 5.03 Bi_d
35 26.69 26.27 3.77 4.72 Br
5 6.14 5.90 2.31 2.87 B_s
48 23.48 22.94 3.61 4.51 Cd
58 37.70 37.67 4.22 5.32 Ce_3
6 6.67 7.31 2.37 3.08 C
20 42.08 42.16 4.38 5.53 Ca
17 23.22 21.09 3.59 4.39 Cl
27 11.10 10.92 2.81 3.52 Co
24 11.41 11.75 2.84 3.61 Cr
24 11.55 11.88 2.85 3.62 Cr_pv
6 6.68 7.34 2.37 3.08 C_s
29 12.06 12.01 2.89 3.64 Cu
29 11.97 11.92 2.88 3.63 Cu_pv
66 31.95 31.41 4.00 5.01 Dy_3
68 31.09 30.47 3.96 4.96 Er_3
26 11.36 10.52 2.83 3.48 Fe
26 11.41 10.56 2.84 3.48 Fe_pv
9 9.88 9.93 2.70 3.41 F
9 10.55 9.94 2.76 3.41 F_s
31 19.20 18.92 3.37 4.23 Ga_d
64 32.88 32.49 4.04 5.07 Gd_3
32 19.24 19.56 3.38 4.28 Ge_d
32 19.32 19.63 3.38 4.28 Ge
72 22.02 22.28 3.53 4.47 Hf
72 22.22 22.47 3.54 4.48 Hf_pv
80 29.02 31.44 3.87 5.01 Hg
67 31.52 30.93 3.98 4.98 Ho_3
53 35.83 34.92 4.15 5.19 I
49 27.79 27.46 3.82 4.79 In_d
77 15.14 14.56 3.12 3.88 Ir
57 37.74 36.75 4.23 5.28 La
3 20.19 20.15 3.43 4.32 Li_sv
71 29.89 29.31 3.91 4.89 Lu_3
12 22.82 23.03 3.57 4.52 Mg
12 22.83 23.03 3.57 4.52 Mg_pv
25 10.88 10.68 2.79 3.50 Mn
25 10.97 10.76 2.80 3.50 Mn_pv
42 15.62 15.89 3.15 3.99 Mo
42 15.90 16.14 3.17 4.01 Mo_pv
11 36.55 36.56 4.18 5.27 Na_pv
41 18.32 18.93 3.32 4.23 Nb_pv
41 18.11 18.74 3.31 4.22 Nb_sv
60 35.50 35.42 4.14 5.21 Nd_3
10 19.82 19.62 3.41 4.28 Ne
28 11.03 10.93 2.80 3.52 Ni
28 10.96 10.86 2.80 3.52 Ni_pv
93 17.71 20.93 3.28 4.37 Np
93 17.75 20.90 3.29 4.37 Np_s
8 11.35 11.19 2.83 3.55 O
8 11.36 11.20 2.83 3.55 O_s
76 14.77 14.32 3.09 3.85 Os
76 14.86 14.41 3.10 3.86 Os_pv
91 24.67 25.22 3.67 4.66 Pa
91 24.99 25.49 3.68 4.67 Pa_s
46 15.55 15.46 3.14 3.95 Pd
46 15.62 15.52 3.15 3.96 Pd_pv
15 14.19 14.52 3.05 3.87 P
15 14.21 14.54 3.05 3.87 P_h
61 34.69 34.56 4.11 5.17 Pm_3
59 36.44 36.40 4.18 5.26 Pr_3
59 28.11 27.70 3.83 4.80 Pr
78 15.89 15.72 3.17 3.98 Pt
94 16.49 27.45 3.21 4.79 Pu
75 15.06 14.97 3.11 3.91 Re
75 15.22 15.11 3.12 3.92 Re_pv
45 14.62 14.17 3.08 3.84 Rh
45 14.71 14.25 3.09 3.85 Rh_pv
44 14.31 13.90 3.06 3.82 Ru
44 14.40 13.99 3.07 3.82 Ru_pv
51 27.19 27.43 3.79 4.79 Sb
21 24.79 24.57 3.67 4.61 Sc_sv
34 20.37 20.37 3.44 4.34 Se
16 15.71 15.82 3.16 3.98 S
16 15.73 15.85 3.16 3.99 S_h
14 14.63 14.47 3.08 3.87 Si
14 14.58 14.42 3.08 3.86 Si_h
62 34.10 33.87 4.09 5.14 Sm_3
50 27.61 27.99 3.81 4.82 Sn_d
73 18.11 18.64 3.31 4.21 Ta
73 18.32 18.85 3.32 4.22 Ta_pv
65 32.39 31.93 4.02 5.04 Tb_3
43 14.64 14.52 3.08 3.87 Tc
43 14.78 14.65 3.09 3.88 Tc_pv
52 28.43 28.19 3.85 4.83 Te
90 32.47 32.09 4.02 5.04 Th
90 32.46 32.03 4.02 5.04 Th_s
22 16.94 17.10 3.24 4.09 Ti
22 17.18 17.33 3.25 4.11 Ti_pv
22 17.19 17.33 3.25 4.11 Ti_sv
81 31.32 31.03 3.97 4.99 Tl_d
69 30.60 29.97 3.94 4.93 Tm_3
92 20.13 21.74 3.43 4.43 U
92 20.16 21.79 3.43 4.43 U_s
23 13.21 13.66 2.98 3.79 V
23 13.43 13.87 2.99 3.81 V_pv
23 13.45 13.89 3.00 3.82 V_sv
74 15.95 16.27 3.17 4.02 W
74 16.21 16.52 3.19 4.04 W_pv
39 32.99 32.42 4.04 5.06 Y_sv
30 15.43 15.24 3.14 3.94 Zn
40 22.82 23.24 3.57 4.53 Zr
40 22.93 23.31 3.58 4.53 Zr_sv
